visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Nakano-ku Nakano,total_area_visitors,total_genre_visitors
2016-01-01,air_883ca28ef0ed3d55,1,0,0,0,0,0,0,-0.9424352177775671,-0.9210142310280631,1.0,0.9620529055158464,-0.9691510822153806,1,4.0,1,1,-1.970889899840592,-1.9708898998405922
2016-01-03,air_883ca28ef0ed3d55,0,0,0,1,0,0,0,-0.798931006546864,-0.3639575723286197,1.0,0.6331145940341055,-1.0819645877902624,1,10.0,1,1,-1.683939415570542,-1.6839394155705423
2016-01-04,air_883ca28ef0ed3d55,0,1,0,0,0,0,0,-0.7391375852007378,-0.4706279963348961,0.0,0.9114470114417326,-0.8789002777554751,1,7.0,1,1,-1.4859461230582578,-1.485946123058258
2016-01-05,air_883ca28ef0ed3d55,0,0,0,0,0,1,0,-0.5717160054315841,-0.4706279963348961,0.0,0.7343263821823334,-0.7886494732955696,1,10.0,1,1,-1.3555602962818756,-1.3555602962818758
2016-01-06,air_883ca28ef0ed3d55,0,0,0,0,0,0,1,-0.798931006546864,-1.0869460017044932,0.0,-1.315212327819283,-0.5855851632607822,1,11.0,1,1,-1.291256954811262,-1.2912569548112622
2016-01-07,air_883ca28ef0ed3d55,0,0,0,0,1,0,0,-0.8587244278929903,-0.8024915376877559,0.0,0.17766154736707968,-0.9014629788704515,1,12.0,1,1,-1.2218703452402049,-1.2218703452402049
2016-01-08,air_883ca28ef0ed3d55,1,0,0,0,0,0,0,-1.121815481815946,-1.134355079040616,0.0,0.9367499584787895,-1.0481205361177979,1,4.0,1,1,-0.8866288140159392,-0.8866288140159394
2016-01-09,air_883ca28ef0ed3d55,0,0,1,0,0,0,0,-1.0978981132774956,-1.03953692436837,0.0,0.9367499584787895,-1.2173407944801207,1,11.0,1,1,-0.6278904677033521,-0.6278904677033522
2016-01-10,air_883ca28ef0ed3d55,0,0,0,1,0,0,0,-0.9663525863160177,-0.7550824603516333,0.0,0.9620529055158464,-1.1947780933651444,1,17.0,1,1,-0.9143326251633577,-0.9143326251633578
2016-01-11,air_883ca28ef0ed3d55,0,1,0,0,0,0,0,-1.0022286391236934,-1.1462073483746467,1.0,-0.37900328744817424,-0.935307030542916,1,18.0,1,1,-1.2770238041300195,-1.2770238041300197
2016-01-12,air_883ca28ef0ed3d55,0,0,0,0,0,1,0,-1.4207825885465775,-1.715116276408121,0.0,-1.34051527485634,-1.228622145037609,1,6.0,1,1,-1.3309064459947233,-1.3309064459947235
2016-01-13,air_883ca28ef0ed3d55,0,0,0,0,0,0,1,-1.396865220008127,-1.2884345803830153,0.0,0.8608411173676184,-1.4316864550723962,1,16.0,1,1,-1.1265590683568845,-1.1265590683568845
2016-01-14,air_883ca28ef0ed3d55,0,0,0,0,1,0,0,-1.2055262717005228,-0.9565710390301553,0.0,0.9367499584787895,-1.3639983517274672,1,20.0,1,1,-1.0337894255237858,-1.033789425523786
2016-01-15,air_883ca28ef0ed3d55,1,0,0,0,0,0,0,-1.1457328503543966,-1.1462073483746467,0.0,0.40538807070059274,-1.0029951338878451,1,9.0,1,1,-0.7572596408596457,-0.7572596408596458
2016-01-16,air_883ca28ef0ed3d55,0,0,1,0,0,0,0,-1.026146007662144,-1.0513891937024011,0.0,0.8355381703305614,-1.0481205361177979,1,16.0,1,1,-0.6095907025417546,-0.6095907025417547
2016-01-17,air_883ca28ef0ed3d55,0,0,0,1,0,0,0,-1.1576915346236218,-1.3832527350552608,0.0,-0.3030944463370033,-1.0142764844453334,1,14.0,1,1,-1.2132287894694505,-1.2132287894694507
2016-01-18,air_883ca28ef0ed3d55,0,1,0,0,0,0,0,-1.5284107469696049,-1.6202981217358752,0.0,-1.0621828574487129,-1.172215392250168,1,2.0,1,1,-1.4968751494742119,-1.496875149474212
2016-01-19,air_883ca28ef0ed3d55,0,0,0,0,0,1,0,-1.31315443012355,-1.3951050043892916,0.0,1.0126587995899607,-1.228622145037609,1,6.0,1,1,-1.2602490193985552,-1.2602490193985554
2016-01-20,air_883ca28ef0ed3d55,0,0,0,0,0,0,1,-1.4327412728158027,-1.3951050043892916,0.0,1.0126587995899607,-1.3978424033999317,1,15.0,1,1,-1.135200624127639,-1.135200624127639
2016-01-21,air_883ca28ef0ed3d55,0,0,0,0,1,0,0,-1.2653196930466493,-1.300286849717046,0.0,0.7090234351452764,-1.4204051045149082,1,9.0,1,1,-1.0132021897169887,-1.013202189716989
2016-01-22,air_883ca28ef0ed3d55,1,0,0,0,0,0,0,-1.1816089031620722,-1.2410255030468924,0.0,0.8608411173676184,-0.9465883811004041,1,10.0,1,1,-0.704901979425075,-0.7049019794250752
2016-01-23,air_883ca28ef0ed3d55,0,0,1,0,0,0,0,-1.349030482931226,-1.5610367750657215,0.0,-1.112788751522827,-0.9917137833303569,1,11.0,1,1,-0.6317029187786849,-0.631702918778685
2016-01-24,air_883ca28ef0ed3d55,0,0,0,1,0,0,0,-1.4686173256234785,-1.347695927053169,0.0,0.9620529055158464,-1.5106559089748135,1,16.0,1,1,-1.3283648119445015,-1.3283648119445015
2016-01-25,air_883ca28ef0ed3d55,0,1,0,0,0,0,0,-1.5762454840465059,-1.418809543057353,0.0,1.1138705877381883,-1.6798761673371363,1,13.0,1,1,-1.3530186622316538,-1.3530186622316538
