visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,total_genre_visitors
2016-07-01,air_eda179770dfa9f91,1,0,0,0,0,0,0,1.0266511319831984,1.0298474896563943,0.0,0.9053853329618944,1.0001222305542685,1,12.0,1,7270858.0
2016-07-02,air_eda179770dfa9f91,0,0,1,0,0,0,0,1.239118800401151,1.2597844417720614,0.0,1.7238461153028715,1.148713919515196,1,24.0,1,7470662.0
2016-07-03,air_eda179770dfa9f91,0,0,0,1,0,0,0,1.2709889506638439,1.189803630258597,0.0,1.369179776288448,1.3291466846820363,1,8.0,1,4975980.0
2016-07-04,air_eda179770dfa9f91,0,1,0,0,0,0,0,1.3028591009265365,1.2697817005596992,0.0,1.1509235676641876,1.3079193005447611,1,3.0,1,4006596.0
2016-07-05,air_eda179770dfa9f91,0,0,0,0,0,1,0,1.3028591009265365,1.43973509994954,0.0,1.614718010990741,1.244237148132935,1,2.0,1,4844530.0
2016-07-06,air_eda179770dfa9f91,0,0,0,0,0,0,1,1.207248650138458,1.1398173363204085,0.0,1.2054876198202527,1.212396071927022,1,4.0,1,5421954.0
2016-07-07,air_eda179770dfa9f91,0,0,0,0,1,0,0,1.2709889506638439,1.279778959347337,0.0,1.5328719327566431,1.2654645322702103,1,9.0,1,5337826.0
2016-07-08,air_eda179770dfa9f91,1,0,0,0,0,0,0,0.9947809817205053,0.8398995726912775,0.0,-1.522714987983004,0.9470537702110803,1,3.0,1,7011782.0
2016-07-09,air_eda179770dfa9f91,0,0,1,0,0,0,0,0.7079496293562693,0.5199872914868706,0.0,-1.222612701124646,0.7984620812501532,1,10.0,1,7393704.0
2016-07-10,air_eda179770dfa9f91,0,0,0,1,0,0,0,1.1116381993503794,1.059839266019307,0.0,0.49615494179140596,1.095645459172008,1,6.0,1,5177696.0
2016-07-11,air_eda179770dfa9f91,0,1,0,0,0,0,0,1.1860018832966628,1.17980637147096,0.0,0.0323604984648523,1.2336234560642971,1,2.0,1,3943022.0
2016-07-14,air_eda179770dfa9f91,0,0,0,0,1,0,0,1.0478978988249934,1.0798337835945828,0.0,0.16877062885501512,1.1381002274465584,1,4.0,1,5231232.0
2016-07-15,air_eda179770dfa9f91,1,0,0,0,0,0,0,0.8354302304070408,0.6099626205756099,0.0,-1.4681509358269387,1.0001222305542685,1,10.0,1,6741234.0
2016-07-16,air_eda179770dfa9f91,0,0,1,0,0,0,0,0.9841575982996076,0.9598666781429299,0.0,-0.26774178839350604,0.9364400781424429,1,23.0,1,7318658.0
2016-07-17,air_eda179770dfa9f91,0,0,0,1,0,0,0,1.122261582771277,0.9198776429923792,0.0,-1.3044587793587434,1.1593276115838336,1,11.0,1,6137998.0
2016-07-18,air_eda179770dfa9f91,0,1,0,0,0,0,0,1.1328849661921747,1.069836524806945,1.0,1.3146157241323828,1.1062591512406452,1,11.0,1,4191582.0
2016-07-20,air_eda179770dfa9f91,0,0,0,0,0,0,1,1.090391432508584,1.2397899241967856,0.0,2.1603585325513923,0.9576674622797181,1,2.0,1,5029038.0
2016-07-21,air_eda179770dfa9f91,0,0,0,0,1,0,0,1.0585212822458914,1.0798337835945828,0.0,0.9053853329618944,0.9682811543483556,1,2.0,1,5310580.0
2016-07-22,air_eda179770dfa9f91,1,0,0,0,0,0,0,1.090391432508584,1.2497871829844236,0.0,1.17820559374222,0.9682811543483556,1,10.0,1,6822494.0
2016-07-23,air_eda179770dfa9f91,0,0,1,0,0,0,0,1.0372745154040957,1.08983104238222,0.0,1.232769645898285,1.0107359226229065,1,21.0,1,7225448.0
2016-07-24,air_eda179770dfa9f91,0,0,0,1,0,0,0,0.9841575982996076,0.9498694193552921,0.0,-0.21317773623744088,1.0001222305542685,1,6.0,1,4947778.0
2016-07-25,air_eda179770dfa9f91,0,1,0,0,0,0,0,1.005404365141403,0.8698913490541906,0.0,-1.195330675046613,1.1805549957211088,1,8.0,1,4127052.0
2016-07-26,air_eda179770dfa9f91,0,0,0,0,0,1,0,0.9097939143533242,0.7199324672396249,0.0,-1.522714987983004,1.0531906908974569,1,7.0,1,5059630.0
2016-07-27,air_eda179770dfa9f91,0,0,0,0,0,0,1,1.0797680490876864,1.0798337835945828,0.0,0.35974481140124315,1.0425769988288196,1,18.0,1,5319184.0
2016-07-28,air_eda179770dfa9f91,0,0,0,0,1,0,0,1.1860018832966628,1.1498145951080463,0.0,-0.26774178839350604,1.1805549957211088,1,3.0,1,5606462.0
2016-07-29,air_eda179770dfa9f91,1,0,0,0,0,0,0,1.175378499875765,1.1598118538956843,0.0,0.7144111504156662,1.1381002274465584,1,23.0,1,7137018.0
2016-07-30,air_eda179770dfa9f91,0,0,1,0,0,0,0,1.2603655672429461,1.3897488060113514,0.0,1.751128141380904,1.2973056084761234,1,8.0,1,7288066.0
2016-07-31,air_eda179770dfa9f91,0,0,0,1,0,0,0,1.2816123340847414,1.3397625120731629,0.0,1.369179776288448,1.2973056084761234,1,8.0,1,5005138.0
