visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Hokkaidō Sapporo-shi Kotoni 2 Jō,total_area_visitors,total_genre_visitors
2016-01-06,air_cb083b4789a8d3a2,0,0,0,0,0,0,1,-1.3962674155069115,-1.47450285004256,0.0,-0.6935967205532928,-1.239563948332308,1,16.0,1,1,-1.2468071102840796,-1.2468071102840799
2016-01-07,air_cb083b4789a8d3a2,0,0,0,0,1,0,0,-1.4383491854877544,-1.551466744671612,0.0,-0.6461547907351939,-1.1859797936140857,1,25.0,1,1,-1.1740663570301275,-1.1740663570301277
2016-01-08,air_cb083b4789a8d3a2,1,0,0,0,0,0,0,-1.417308300497333,-1.5226052841857174,0.0,-1.049411194189035,-1.2074134555013745,1,15.0,1,1,-0.8226192744588344,-0.8226192744588345
2016-01-09,air_cb083b4789a8d3a2,0,0,1,0,0,0,0,-1.5330331679446514,-1.6861535602724527,0.0,-1.0256902292799854,-1.3145817649378193,1,30.0,1,1,-0.551373535218822,-0.5513735352188222
2016-01-10,air_cb083b4789a8d3a2,0,0,0,1,0,0,0,-1.596155822915916,-1.6284306393006636,0.0,-0.8596434749166392,-1.6146530313598648,1,21.0,1,1,-0.8516622858312916,-0.8516622858312917
2016-01-13,air_cb083b4789a8d3a2,0,0,0,0,0,0,1,-1.596155822915916,-1.6091896656434008,0.0,-0.48010803637184757,-1.60393620041622,1,15.0,1,1,-1.0741477399230501,-1.0741477399230503
2016-01-14,air_cb083b4789a8d3a2,0,0,0,0,1,0,0,-1.5435536104398622,-1.47450285004256,0.0,0.136637051263439,-1.50748472192342,1,369.0,1,1,-0.9768936192721617,-0.9768936192721619
2016-01-15,air_cb083b4789a8d3a2,1,0,0,0,0,0,0,-1.8170851153153427,-1.849701836359188,0.0,0.4687305599901316,-1.753971833627243,1,7.0,1,1,-0.6869964048388282,-0.6869964048388284
2016-01-16,air_cb083b4789a8d3a2,0,0,1,0,0,0,0,-1.6803193628776025,-1.5803282051575063,0.0,-0.053130668008957,-1.8182728192891098,1,33.0,1,1,-0.5321891607342633,-0.5321891607342634
2016-01-17,air_cb083b4789a8d3a2,0,0,0,1,0,0,0,-1.690839805372813,-1.6188101524720324,0.0,-0.0768516329180064,-1.7968391574018208,1,36.0,1,1,-1.1650070690790857,-1.165007069079086
