visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,total_area_visitors,total_genre_visitors
2016-01-01,air_f690c42545146e0a,1,0,0,0,0,0,0,-0.9144060325550061,-1.0634430626661855,1.0,-0.6798066937409539,-0.7449698901484356,1,7.0,1,1,-1.907365309727945,-1.907365309727945
2016-01-02,air_f690c42545146e0a,0,0,1,0,0,0,0,-0.6428621315166982,-0.71134311799346,1.0,-0.8575317408542109,-0.5502982672335491,1,2.0,1,1,-1.7677694076732984,-1.7677694076732984
2016-01-05,air_f690c42545146e0a,0,0,0,0,0,1,0,-1.196007115113251,-1.3043535511264712,0.0,-0.6798066937409539,-1.0318543870756371,1,14.0,1,1,-1.335518137351804,-1.335518137351804
2016-01-09,air_f690c42545146e0a,0,0,1,0,0,0,0,-1.1658355705534391,-1.3228851271618778,0.0,-0.9336996181884638,-0.9601332628438368,1,46.0,1,1,-0.6592692920346246,-0.6592692920346246
2016-01-14,air_f690c42545146e0a,0,0,0,0,1,0,0,-1.1758927520733764,-1.1190377907724052,0.0,0.3103757116043349,-1.144559010868466,1,8.0,1,1,-1.0364852913261144,-1.0364852913261144
2016-01-15,air_f690c42545146e0a,1,0,0,0,0,0,0,-1.4373794715917467,-1.4804035234628339,0.0,0.6658258058308486,-1.3802141333443816,1,9.0,1,1,-0.7794965579327888,-0.7794965579327888
2016-01-16,air_f690c42545146e0a,0,0,1,0,0,0,0,-1.3066361118325613,-1.2209614589671416,0.0,0.10726137204632677,-1.4416893826859247,1,2.0,1,1,-0.6422626846777133,-0.6422626846777133
2016-01-17,air_f690c42545146e0a,0,0,0,1,0,0,0,-1.3166932933524989,-1.2580246110379547,0.0,0.08187207960157587,-1.4211976329054101,1,7.0,1,1,-1.2032445245758276,-1.2032445245758276
2016-01-18,air_f690c42545146e0a,0,1,0,0,0,0,0,-1.3971507455119976,-1.3414167031972843,0.0,-1.1875925426359737,-1.4929187571372107,1,5.0,1,1,-1.4668469386079521,-1.4668469386079521
2016-01-22,air_f690c42545146e0a,1,0,0,0,0,0,0,-1.075320936874003,-1.0634430626661855,0.0,-1.1114246653017208,-0.9908708875146083,1,14.0,1,1,-0.7308387646616261,-0.7308387646616261
2016-01-23,air_f690c42545146e0a,0,0,1,0,0,0,0,-1.1758927520733764,-1.054177274648482,0.0,-0.19741013729068507,-1.247017759771038,1,7.0,1,1,-0.6628123352339811,-0.6628123352339811
2016-01-24,air_f690c42545146e0a,0,0,0,1,0,0,0,-1.3770363824721228,-1.359948279232691,0.0,0.3103757116043349,-1.4007058831248957,1,8.0,1,1,-1.3102444291963942,-1.3102444291963942
2016-01-25,air_f690c42545146e0a,0,1,0,0,0,0,0,-1.477608197671496,-1.4433403713920208,0.0,-0.8321424484094598,-1.574885756259268,1,6.0,1,1,-1.333156108552233,-1.333156108552233
2016-01-27,air_f690c42545146e0a,0,0,0,0,0,0,1,-0.9747491216746299,-1.054177274648482,0.0,-0.34974589195919104,-0.8269368892704932,1,12.0,1,1,-1.0319974366069296,-1.0319974366069296
2016-01-28,air_f690c42545146e0a,0,0,0,0,1,0,0,-1.196007115113251,-1.2487588230202515,0.0,-1.1875925426359737,-1.0523461368561513,1,8.0,1,1,-1.0371938999659858,-1.0371938999659858
2016-01-29,air_f690c42545146e0a,1,0,0,0,0,0,0,-1.3066361118325613,-1.359948279232691,0.0,0.1580399569358288,-1.1240672610879516,1,19.0,1,1,-0.9044478814300951,-0.9044478814300951
2016-01-30,air_f690c42545146e0a,0,0,1,0,0,0,0,-1.38709356399206,-1.4618719474274273,0.0,-0.37513518440394195,-1.308493009112581,1,12.0,1,1,-0.6245474686809307,-0.6245474686809307
2016-02-03,air_f690c42545146e0a,0,0,0,0,0,0,1,-1.1557783890335016,-1.1190377907724052,0.0,0.05648278715682497,-1.257263634661295,1,3.0,1,1,-1.168995106982048,-1.168995106982048
2016-02-04,air_f690c42545146e0a,0,0,0,0,1,0,0,-0.8440057619154447,-0.8503299382590095,0.0,-0.12124225995643202,-0.8884121386120364,1,2.0,1,1,-1.134037080748397,-1.134037080748397
