visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Katsushika-ku Tateishi,total_area_visitors,total_genre_visitors
2016-01-05,air_9241121af22ff1d6,0,0,0,0,0,1,0,-0.5516321836462036,-0.5442192535275926,0.0,0.7844918178298697,-0.7748389319321451,1,17.0,1,1,-1.383621597359453,-1.3836215973594532
2016-01-06,air_9241121af22ff1d6,0,0,0,0,0,0,1,-0.8019311762257904,-1.0527386414167716,0.0,-1.2993579566379623,-0.5350356179079647,1,7.0,1,1,-1.3189533572582712,-1.3189533572582715
2016-01-07,air_9241121af22ff1d6,0,0,0,0,1,0,0,-0.8269610754837491,-0.8542920510209945,0.0,-0.1085866569420584,-0.8467799261393993,1,16.0,1,1,-1.2491730033150987,-1.249173003315099
2016-01-08,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.0647451184343564,-1.1023502890157162,0.0,0.8589150240608634,-1.0146422459563256,1,41.0,1,1,-0.9120290954358151,-0.9120290954358152
2016-01-09,air_9241121af22ff1d6,0,0,1,0,0,0,0,-1.0021703702894598,-1.0155299057175637,0.0,0.9085304948815263,-1.0506127430599526,1,56.0,1,1,-0.6518225008784908,-0.6518225008784909
2016-01-10,air_9241121af22ff1d6,0,0,0,1,0,0,0,-0.9270806725155837,-0.8542920510209945,0.0,0.9581459657021888,-1.0985734058647887,1,45.0,1,1,-0.9398901158746642,-0.9398901158746643
2016-01-11,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.0272002695474185,-1.1519619366146605,1.0,-0.4807026880970284,-0.9307110860478625,1,31.0,1,1,-1.3046394385006974,-1.3046394385006976
2016-01-12,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.490253405819654,-1.697690060203048,0.0,-1.2993579566379623,-1.278425891382924,1,34.0,1,1,-1.3588278452257985,-1.3588278452257985
2016-01-13,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.3776188591588399,-1.2511852318125491,0.0,0.8589150240608634,-1.4942488740046864,1,1.0,1,1,-1.153320868777774,-1.153320868777774
2016-01-14,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.164864715466191,-1.0403357295170357,0.0,0.9581459657021888,-1.3623570512913874,1,16.0,1,1,-1.0600247911614447,-1.0600247911614447
2016-01-15,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.2149245139821085,-1.1023502890157162,0.0,0.7100686115988755,-1.1465340686696248,1,24.0,1,1,-0.781925798157153,-0.7819257981571531
2016-01-16,air_9241121af22ff1d6,0,0,1,0,0,0,0,-1.1022899673212945,-0.9907240819180914,0.0,0.9581459657021888,-1.1705144000720429,1,60.0,1,1,-0.6334188910473245,-0.6334188910473246
2016-01-17,air_9241121af22ff1d6,0,0,0,1,0,0,0,-1.1898946147241498,-1.387617262709646,0.0,-0.530318158917691,-1.1105635715659976,1,41.0,1,1,-1.2404824097837148,-1.2404824097837148
2016-01-18,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.56534310359353,-1.685287148303312,0.0,-0.9520496608933237,-1.3623570512913874,1,17.0,1,1,-1.5257383621667933,-1.5257383621667933
2016-01-19,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.2774992621270052,-1.387617262709646,0.0,0.9581459657021888,-1.278425891382924,1,30.0,1,1,-1.2877694628221283,-1.2877694628221283
2016-01-20,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.4026487584167986,-1.3256027032109656,0.0,0.98295370111252,-1.4702685426022684,1,1.0,1,1,-1.1620114623091582,-1.1620114623091582
2016-01-21,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.239954413240067,-1.2759910556120213,0.0,0.5364144637265563,-1.2664357256817151,1,20.0,1,1,-1.0393207301013825,-1.0393207301013825
2016-01-22,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.1898946147241498,-1.1767677604141324,0.0,0.7100686115988755,-1.0266324116575347,1,23.0,1,1,-0.7292710255846493,-0.7292710255846494
2016-01-23,air_9241121af22ff1d6,0,0,1,0,0,0,0,-1.427678657674757,-1.6604813245038397,0.0,-1.2497424858172994,-1.0745930744623708,1,41.0,1,1,-0.6556565862599838,-0.6556565862599839
2016-01-24,air_9241121af22ff1d6,0,0,0,1,0,0,0,-1.502768355448633,-1.3131997913112297,0.0,0.9333382302918576,-1.5302193711083134,1,46.0,1,1,-1.356271788304803,-1.3562717883048032
2016-01-25,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.5528281539645505,-1.412423086509118,0.0,1.0821846427538455,-1.6980816909252399,1,18.0,1,1,-1.3810655404384578,-1.3810655404384578
2016-01-26,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.4401936073037365,-1.2635881437122853,0.0,0.8341072886505321,-1.5422095368095226,1,21.0,1,1,-1.207509275502875,-1.2075092755028751
2016-01-27,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.127319866579253,-0.7922774915223141,0.0,1.0325691719331829,-1.5182292054071045,1,9.0,1,1,-1.0551682830115534,-1.0551682830115536
2016-01-28,air_9241121af22ff1d6,0,0,0,0,1,0,0,-0.939595622144563,-0.7178600201238977,0.0,1.0325691719331829,-1.134543902968416,1,12.0,1,1,-1.0607916082377433,-1.0607916082377433
2016-01-29,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.239954413240067,-1.4868405579075346,0.0,-1.2993579566379623,-1.0745930744623708,1,33.0,1,1,-0.9171412092778058,-0.917141209277806
2016-01-30,air_9241121af22ff1d6,0,0,1,0,0,0,0,-1.502768355448633,-1.8341220911001448,0.0,-1.2993579566379623,-1.2064848971756699,1,32.0,1,1,-0.6142484641398596,-0.6142484641398597
2016-01-31,air_9241121af22ff1d6,0,0,0,1,0,0,0,-1.152349765837212,-1.065141553316508,0.0,-0.03416345071106444,-1.230465228578088,1,41.0,1,1,-1.1717244786089405,-1.1717244786089405
2016-02-01,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.3275590606429226,-1.6232725888046315,0.0,-1.2993579566379623,-1.0745930744623708,1,11.0,1,1,-1.4273301707084731,-1.4273301707084733
2016-02-02,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.164864715466191,-1.1271561128151883,0.0,0.8092995532402009,-1.0745930744623708,1,19.0,1,1,-1.278567657906545,-1.2785676579065453
2016-02-03,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.2900142117559845,-1.3131997913112297,0.0,0.4619912574955622,-1.2064848971756699,1,5.0,1,1,-1.2034195844292825,-1.2034195844292825
2016-02-04,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.2774992621270052,-1.2759910556120213,0.0,0.16429843257158638,-1.254445559980506,1,10.0,1,1,-1.1655899419985516,-1.1655899419985518
2016-02-05,air_9241121af22ff1d6,1,0,0,0,0,0,0,-0.977140471031501,-0.8046804034220502,0.0,0.9333382302918576,-1.3143963884865513,1,25.0,1,1,-0.7898495746122385,-0.7898495746122386
2016-02-06,air_9241121af22ff1d6,0,0,1,0,0,0,0,-1.077260068063336,-1.226379408013077,0.0,-1.0512806025346488,-0.8587700918406083,1,55.0,1,1,-0.5656833826409483,-0.5656833826409484
2016-02-07,air_9241121af22ff1d6,0,0,0,1,0,0,0,-1.2900142117559845,-1.2883939675117573,0.0,0.9085304948815263,-1.2064848971756699,1,45.0,1,1,-1.179137043679827,-1.179137043679827
2016-02-08,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.3651039095298605,-1.3007968794114932,0.0,0.06506749093026097,-1.230465228578088,1,20.0,1,1,-1.3756978209043675,-1.3756978209043675
2016-02-09,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.089775017692315,-0.6310396368257453,0.0,0.8341072886505321,-1.3143963884865513,1,14.0,1,1,-1.1568993484671675,-1.1568993484671677
2016-02-10,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.164864715466191,-1.1147532009154522,0.0,1.1566078489848397,-1.194494731474461,1,5.0,1,1,-0.8315133024244623,-0.8315133024244624
2016-02-11,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.164864715466191,-1.0279328176172997,1.0,1.1566078489848397,-1.182504565773252,1,19.0,1,1,-0.9051277417491278,-0.9051277417491279
2016-02-12,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.0146853199184391,-0.9783211700183553,0.0,-0.7039723067900103,-1.2064848971756699,1,24.0,1,1,-0.8486388837951311,-0.8486388837951312
2016-02-13,air_9241121af22ff1d6,0,0,1,0,0,0,0,-0.16366874514784416,0.24956710805551657,0.0,-0.1582021277627211,-0.3911536294934564,1,33.0,1,1,-0.6579570374888797,-0.6579570374888798
2016-02-14,air_9241121af22ff1d6,0,0,0,1,0,0,0,0.399503988156226,0.3984020508523494,0.0,-0.20781759858338358,0.42417763818875703,1,37.0,1,1,-1.1967738364346947,-1.1967738364346947
2016-02-15,air_9241121af22ff1d6,0,1,0,0,0,0,0,-0.9020507732576251,-0.5318163416278565,0.0,-1.2001270149966368,-1.0026520802551167,1,13.0,1,1,-1.379276300593761,-1.3792763005937612
2016-02-16,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.2149245139821085,-1.2139764961133408,0.0,1.0325691719331829,-1.242455394279297,1,6.0,1,1,-1.2179891088789558,-1.2179891088789558
2016-02-18,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.1398348162082326,-1.1271561128151883,0.0,0.3875680512645682,-1.254445559980506,1,15.0,1,1,-1.0579799456246484,-1.0579799456246484
2016-02-19,air_9241121af22ff1d6,1,0,0,0,0,0,0,-0.7018115791939558,-0.4077872226304957,0.0,1.0077614365228518,-1.0985734058647887,1,25.0,1,1,-0.7374504077318343,-0.7374504077318345
2016-02-20,air_9241121af22ff1d6,0,0,1,0,0,0,0,-0.9145657228866044,-1.065141553316508,0.0,-1.1505115441759743,-0.6069766121152188,1,19.0,1,1,-0.7717015704731717,-0.7717015704731718
2016-02-21,air_9241121af22ff1d6,0,0,0,1,0,0,0,-0.7268414784519144,-0.5070105178283845,0.0,-0.3566640110453717,-0.6429471092188459,1,27.0,1,1,-1.1420742183253947,-1.1420742183253947
2016-02-22,air_9241121af22ff1d6,0,1,0,0,0,0,0,-1.077260068063336,-1.238782319912813,0.0,-1.1753192795863057,-0.7988192633345632,1,11.0,1,1,-1.3662404102966847,-1.366240410296685
2016-02-23,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.077260068063336,-1.2139764961133408,0.0,-1.274550221227631,-0.7988192633345632,1,33.0,1,1,-1.148975572012082,-1.148975572012082
2016-02-24,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.1898946147241498,-1.4992434698072707,0.0,-1.274550221227631,-1.0865832401635798,1,4.0,1,1,-1.104755787278863,-1.104755787278863
2016-02-25,air_9241121af22ff1d6,0,0,0,0,1,0,0,-1.4401936073037365,-1.412423086509118,0.0,-0.8032032484313356,-1.3383767198889691,1,14.0,1,1,-0.9999574535180544,-0.9999574535180545
2016-02-26,air_9241121af22ff1d6,1,0,0,0,0,0,0,-1.1898946147241498,-1.0403357295170357,0.0,1.3054542614468274,-1.3743472169925963,1,24.0,1,1,-0.5879210778536077,-0.5879210778536078
2016-02-27,air_9241121af22ff1d6,0,0,1,0,0,0,0,-0.939595622144563,-0.9039036986199389,0.0,1.3054542614468274,-1.0626029087611617,1,49.0,1,1,-0.41896571537581656,-0.4189657153758166
2016-02-28,air_9241121af22ff1d6,0,0,0,1,0,0,0,-0.8269610754837491,-0.5938309011265369,0.0,1.1318001135745084,-0.9427012517490715,1,46.0,1,1,-1.0053251730521446,-1.0053251730521446
2016-02-29,air_9241121af22ff1d6,0,1,0,0,0,0,0,-0.8770208739996663,-0.618636724926009,0.0,-0.7783955130210043,-0.8108094290357722,1,18.0,1,1,-1.3181865401819726,-1.3181865401819728
2016-03-01,air_9241121af22ff1d6,0,0,0,0,0,1,0,-1.264984312498026,-1.1767677604141324,0.0,1.404685203088153,-1.134543902968416,1,20.0,1,1,-1.208531698271273,-1.2085316982712733
2016-03-02,air_9241121af22ff1d6,0,0,0,0,0,0,1,-1.127319866579253,-0.9163066105196749,0.0,0.8589150240608634,-1.254445559980506,1,3.0,1,1,-1.0779171896084119,-1.077917189608412
2016-03-03,air_9241121af22ff1d6,0,0,0,0,1,0,0,-0.7643863273388525,-0.42019013453023196,0.0,1.3798774676778216,-1.1105635715659976,1,18.0,1,1,-1.0947871652869812,-1.0947871652869812
2016-03-04,air_9241121af22ff1d6,1,0,0,0,0,0,0,-0.6142069317911003,-0.48220469402891214,0.0,1.1069923781641766,-0.7148881034261001,1,32.0,1,1,-0.7198136149769666,-0.7198136149769666
2016-03-05,air_9241121af22ff1d6,0,0,1,0,0,0,0,-0.5766620829041624,-0.43259304642996776,0.0,-0.6543568359693476,-0.4630946237007106,1,40.0,1,1,-0.49539181731357684,-0.4953918173135769
2016-03-06,air_9241121af22ff1d6,0,0,0,1,0,0,0,-0.26378834217967895,-0.30856392743260697,0.0,-0.530318158917691,-0.3072224695849933,1,47.0,1,1,-1.1333836247940106,-1.1333836247940106
2016-03-07,air_9241121af22ff1d6,0,1,0,0,0,0,0,-0.15115379551886488,-0.5318163416278565,0.0,-1.2993579566379623,0.14840382706094962,1,12.0,1,1,-1.4232404796348805,-1.4232404796348808
