visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-07-01,air_256be208a979e023,1,0,0,0,0,0,0,1.0525554137481357,1.1281293016984304,0.0,-0.16164282016497986,0.9997212533821993,1,6.0,1,1,1.395263648078925,1.395263648078925
2016-07-02,air_256be208a979e023,0,0,1,0,0,0,0,1.2153070611136474,1.2679560718516611,0.0,0.5003064970342397,1.1547820341438504,1,6.0,1,1,1.5520959260440241,1.5520959260440241
2016-07-03,air_256be208a979e023,0,0,0,1,0,0,0,1.4710596498308803,1.687436382311354,0.0,0.685652305850021,1.2876912747966947,1,5.0,1,1,-0.4060563674962952,-0.4060563674962952
2016-07-04,air_256be208a979e023,0,1,0,0,0,0,0,1.3083080024653686,1.5010006887737126,0.0,0.5532624424101771,1.1769335742526579,1,8.0,1,1,-1.166955553413093,-1.166955553413093
2016-07-05,air_256be208a979e023,0,0,0,0,0,1,0,0.5991758246584954,0.5455177593933009,0.0,-1.3266736184356065,0.8003573924029334,1,12.0,1,1,-0.5092354977364921,-0.5092354977364921
2016-07-06,air_256be208a979e023,0,0,0,0,0,0,1,0.7619274720240075,0.6969967603926343,0.0,-0.2410767382288864,0.8335847025661444,1,7.0,1,1,-0.055997718354099786,-0.055997718354099786
2016-07-07,air_256be208a979e023,0,0,0,0,1,0,0,1.2618075317895079,1.8389153833106882,0.0,2.062506885624398,0.9886454833277954,1,11.0,1,1,-0.12203236170782582,-0.12203236170782582
2016-07-08,air_256be208a979e023,1,0,0,0,0,0,0,1.0176800607412402,1.0349114549296095,0.0,-0.7706361919882619,1.010797023436603,1,16.0,1,1,1.1919069622964276,1.1919069622964276
2016-07-09,air_256be208a979e023,0,0,1,0,0,0,0,0.6805516483412511,0.46395214347058256,0.0,-1.3266736184356065,0.8114331624573371,1,12.0,1,1,1.4916892352488542,1.4916892352488542
2016-07-10,air_256be208a979e023,0,0,0,1,0,0,0,1.0525554137481357,1.2096949176211482,0.0,1.771249186056741,0.8003573924029334,1,4.0,1,1,-0.24772330218224756,-0.24772330218224756
2016-07-11,air_256be208a979e023,0,1,0,0,0,0,0,1.3315582378032988,1.466043996235405,0.0,1.9830729675604915,1.0329485635454103,1,3.0,1,1,-1.2168567327656246,-1.2168567327656246
2016-07-12,air_256be208a979e023,0,0,0,0,0,1,0,1.2269321787826126,1.2679560718516611,0.0,0.3414386609064269,1.2876912747966947,1,6.0,1,1,-0.49422762424700895,-0.49422762424700895
2016-07-13,air_256be208a979e023,0,0,0,0,0,0,1,0.99442982540331,0.7785623763153527,0.0,-1.3266736184356065,1.1658578041982541,1,4.0,1,1,-0.42181463466025254,-0.42181463466025254
2016-07-14,air_256be208a979e023,0,0,0,0,1,0,0,1.087430766755031,1.3961306111587894,0.0,-0.2940326836048239,0.9221908630013738,1,5.0,1,1,-0.20570125641169462,-0.20570125641169462
