visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Hokkaidō Asahikawa-shi 6 Jōdōri,total_area_visitors,total_genre_visitors
2016-01-03,air_37189c92b6c761ec,0,0,0,1,0,0,0,-0.8167570955900003,-1.0671330641889125,1.0,-0.7304719300752675,-0.5097526765962589,1,132.0,1,1,-1.753522701661731,-1.753522701661731
2016-01-04,air_37189c92b6c761ec,0,1,0,0,0,0,0,-0.999185291797084,-1.1260933512074462,0.0,-0.3493750769603759,-0.8722526751916581,1,7.0,1,1,-1.5543599450441252,-1.5543599450441252
2016-01-08,air_37189c92b6c761ec,1,0,0,0,0,0,0,-1.0083067016074383,-1.2187452308079991,0.0,-1.0353494125671807,-0.7453776756832683,1,4.0,1,1,-0.9515027176958394,-0.9515027176958394
2016-01-09,air_37189c92b6c761ec,0,0,1,0,0,0,0,-1.1177636193316884,-1.311397110408552,0.0,-0.19693633571441926,-0.9538151748756227,1,45.0,1,1,-0.6912361114869526,-0.6912361114869526
2016-01-10,air_37189c92b6c761ec,0,0,0,1,0,0,0,-1.154249258573105,-1.260859721535523,0.0,-0.8829106713212241,-0.9991276747000476,1,2.0,1,1,-0.9793701637437456,-0.9793701637437456
2016-01-11,air_37189c92b6c761ec,0,1,0,0,0,0,0,-1.400527323452668,-1.5556611566281913,1.0,-0.06990405134278885,-1.1169401742435525,1,167.0,1,1,-1.3442036087929417,-1.3442036087929417
2016-01-15,air_37189c92b6c761ec,1,0,0,0,0,0,0,-1.5647127000390435,-1.5303924621916767,0.0,0.7431025686356465,-1.6063151723473412,1,5.0,1,1,-0.821369414591396,-0.821369414591396
2016-01-17,air_37189c92b6c761ec,0,0,0,1,0,0,0,-1.7106552570047104,-1.4545863788821336,0.0,0.05712823302884167,-1.642565172206881,1,37.0,1,1,-1.2800317834899646,-1.2800317834899646
2016-01-18,air_37189c92b6c761ec,0,1,0,0,0,0,0,-1.7288980766254187,-1.2355910270990087,0.0,-1.111568783190159,-1.9416276710480855,1,7.0,1,1,-1.5653535246777028,-1.5653535246777028
2016-01-19,air_37189c92b6c761ec,0,0,0,0,0,1,0,-0.7802714563485835,-1.0334414716068934,0.0,-1.111568783190159,-0.46444017677183397,1,11.0,1,1,-1.327329742378613,-1.327329742378613
2016-01-22,air_37189c92b6c761ec,1,0,0,0,0,0,0,-1.0812779800902717,-1.1176704530619415,0.0,-0.857504214446898,-1.1169401742435525,1,12.0,1,1,-0.7687024982072794,-0.7687024982072794
2016-01-23,air_37189c92b6c761ec,0,0,1,0,0,0,0,-1.0083067016074383,-1.1008246567709319,0.0,-1.0607558694415067,-1.1622526740679773,1,33.0,1,1,-0.6950710811265727,-0.6950710811265727
2016-01-24,air_37189c92b6c761ec,0,0,0,1,0,0,0,-1.5373484706079807,-1.4040489900091047,0.0,0.5398509136410378,-1.5156901726984915,1,4.0,1,1,-1.3958478666064928,-1.3958478666064928
