visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-03,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-0.6421885251966952,-0.48770156567856193,1.0,0.4715523002355944,-0.6998394824239147,1,21.0,1,1,-1.7203544373101671,-1.7203544373101671
2016-01-05,air_48e9fc98b62495a7,0,0,0,0,0,1,0,-0.7463415669331886,-0.9580470051497738,0.0,-0.9148114624570532,-0.7228427590556583,1,12.0,1,1,-1.3925260908075305,-1.3925260908075305
2016-01-07,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-0.8736397290555694,-0.9580470051497738,0.0,-0.9148114624570532,-0.6883378441080428,1,8.0,1,1,-1.2590603707917511,-1.2590603707917511
2016-01-08,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-0.9430750902132315,-1.111182729628773,0.0,-0.9404848654698801,-0.8953673337937356,1,17.0,1,1,-0.9243811223111184,-0.9243811223111184
2016-01-09,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-1.047228131949725,-1.100244463594559,0.0,0.9850203604921306,-1.1138984617952998,1,64.0,1,1,-0.6660767440296291,-0.6660767440296291
2016-01-10,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-0.9662202105991191,-1.0783679315261303,0.0,0.7282863303638625,-0.9988820786365817,1,32.0,1,1,-0.9520384673333996,-0.9520384673333996
2016-01-12,air_48e9fc98b62495a7,0,0,0,0,0,1,0,-1.0703732523356124,-1.1439975277314156,0.0,0.1891448670944996,-1.0793935468476845,1,7.0,1,1,-1.3679135911088032,-1.3679135911088032
2016-01-13,air_48e9fc98b62495a7,0,0,0,0,0,0,1,-1.3018244561944867,-1.2315036560051296,0.0,-0.5810572232903048,-1.1944099300064026,1,23.0,1,1,-1.1639089544306918,-1.1639089544306918
2016-01-14,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-1.1745262940721057,-1.1768123258340584,0.0,0.06077785203036555,-1.2174132066381465,1,16.0,1,1,-1.071294909172594,-1.071294909172594
2016-01-15,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-1.1860988542650497,-1.1877505918682727,0.0,0.7539597333766892,-1.182908291690531,1,30.0,1,1,-0.7952289331703738,-0.7952289331703738
2016-01-16,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-1.2208165348438806,-1.1221209956629872,0.0,0.4715523002355944,-1.228914844954018,1,46.0,1,1,-0.6478076720883057,-0.6478076720883057
2016-01-17,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-1.1860988542650497,-1.1986888579024868,0.0,-0.4270168052133439,-1.297924674849249,1,45.0,1,1,-1.2504333090416817,-1.2504333090416817
2016-01-18,air_48e9fc98b62495a7,0,1,0,0,0,0,0,-0.9199299698273442,-1.0346148673892734,0.0,-1.4026061197007627,-0.8953673337937356,1,20.0,1,1,-1.5336039241321946,-1.5336039241321946
2016-01-19,air_48e9fc98b62495a7,0,0,0,0,0,1,0,-1.556420780439248,-1.6690342973736987,0.0,-0.3499965961748635,-1.3899377813762235,1,26.0,1,1,-1.2973746744464711,-1.2973746744464711
2016-01-20,air_48e9fc98b62495a7,0,0,0,0,0,0,1,-1.4522677387027547,-1.4940220408262712,0.0,-1.0431784775211874,-1.3899377813762235,1,15.0,1,1,-1.1725360161807612,-1.1725360161807612
2016-01-21,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-1.3365421367733177,-1.3846393804841288,0.0,-0.4270168052133439,-1.297924674849249,1,19.0,1,1,-1.0507422032386051,-1.0507422032386051
2016-01-22,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-1.324969576580374,-1.2096271239367011,0.0,0.34318528517146035,-1.1944099300064026,1,14.0,1,1,-0.7429590884493651,-0.7429590884493651
2016-01-23,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-1.4059774979309798,-1.5268368389289138,0.0,-1.3255859106622823,-1.2634197599016335,1,52.0,1,1,-0.6698828006840716,-0.6698828006840716
2016-01-24,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-1.8920250260346154,-1.920614416160626,0.0,0.394532091197114,-1.7579902074841216,1,10.0,1,1,-1.3653762200058415,-1.3653762200058415
2016-01-25,air_48e9fc98b62495a7,0,1,0,0,0,0,0,-1.6837189425616288,-1.5815281690999847,0.0,0.8823267484408233,-1.8845082289587118,1,6.0,1,1,-1.3899887197045688,-1.3899887197045688
2016-01-26,air_48e9fc98b62495a7,0,0,0,0,0,1,0,-1.3365421367733177,-1.351824582381486,0.0,0.394532091197114,-1.4014394196920954,1,2.0,1,1,-1.2177012218134773,-1.2177012218134773
2016-01-27,air_48e9fc98b62495a7,0,0,0,0,0,0,1,-0.9662202105991191,-1.0674296654919162,0.0,0.42020549420994074,-0.8033542272667609,1,3.0,1,1,-1.066473904076967,-1.066473904076967
2016-01-28,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-0.9777927707920628,-0.9361704730813455,0.0,-0.5810572232903048,-1.1944099300064026,1,8.0,1,1,-1.0720561205034824,-1.0720561205034824
2016-01-29,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-1.0240830115638377,-1.3080715182446292,0.0,-1.4539529257264163,-0.7113411207397864,1,25.0,1,1,-0.9294558645170415,-0.9294558645170415
2016-01-30,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-0.9777927707920628,-1.1221209956629872,0.0,-1.0945252835468409,-0.7343443973715301,1,49.0,1,1,-0.6287773888160939,-0.6287773888160939
2016-01-31,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-0.9430750902132315,-1.001800069286631,0.0,0.90800015145365,-0.9183706104254791,1,32.0,1,1,-1.1821780263720152,-1.1821780263720152
2016-02-02,air_48e9fc98b62495a7,0,0,0,0,0,1,0,-1.1976714144579932,-1.1658740597998443,0.0,0.11212465805601898,-1.0563902702159407,1,8.0,1,1,-1.2882401384758093,-1.2882401384758093
2016-02-03,air_48e9fc98b62495a7,0,0,0,0,0,0,1,-1.3481146969662614,-1.2315036560051296,0.0,-0.4013434022005172,-1.297924674849249,1,6.0,1,1,-1.2136414280487389,-1.2136414280487389
2016-02-04,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-1.243961655229768,-1.15493579376563,0.0,0.7026129273510358,-1.4359443346397107,1,8.0,1,1,-1.1760883357249075,-1.1760883357249075
2016-02-05,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-1.116663493107387,-1.0783679315261303,0.0,0.8823267484408233,-1.1369017384270437,1,44.0,1,1,-0.8030947835895547,-0.8030947835895547
2016-02-06,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-1.1860988542650497,-1.1768123258340584,0.0,-0.17028277508507583,-1.1254001001111718,1,27.0,1,1,-0.5805673378598238,-0.5805673378598238
2016-02-07,air_48e9fc98b62495a7,0,0,0,1,0,0,0,-1.3712598173521489,-1.340886316347272,0.0,0.1891448670944996,-1.2519181215857618,1,33.0,1,1,-1.189536402570604,-1.189536402570604
2016-02-10,air_48e9fc98b62495a7,0,0,0,0,0,0,1,-1.1976714144579932,-1.2315036560051296,0.0,0.42020549420994074,-1.0333869935841973,1,44.0,1,1,-0.8444539325678284,-0.8444539325678284
2016-02-11,air_48e9fc98b62495a7,0,0,0,0,1,0,0,-1.0935183727214999,-0.8377260787734173,1.0,1.164734181581918,-1.3324295897968643,1,3.0,1,1,-0.917530220333122,-0.917530220333122
2016-02-12,air_48e9fc98b62495a7,1,0,0,0,0,0,0,-0.6653336455825828,-0.4220719694732768,0.0,0.34318528517146035,-0.8493607805302482,1,21.0,1,1,-0.8614543189576711,-0.8614543189576711
2016-02-13,air_48e9fc98b62495a7,0,0,1,0,0,0,0,-0.3528745203731026,-0.2908127770627057,0.0,-1.1201986865596678,-0.23977394978904196,1,37.0,1,1,-0.672166434676737,-0.672166434676737
