visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Shinjuku-ku Nishishinjuku,total_area_visitors,total_genre_visitors
2016-07-01,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.1119961180935998,1.1744710221112955,0.0,-0.2496991690280795,1.065943119940913,1,16.0,1,1,1.2994133997994444,1.299413399799445
2016-07-02,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.2750619735236592,1.314210763808531,0.0,0.427883207969128,1.221385142484764,1,9.0,1,1,1.4606736328851677,1.4606736328851684
2016-07-03,air_728ff578acc6ac6e,0,0,0,1,0,0,0,1.5313083177708957,1.7334299889002374,0.0,0.6176062735283459,1.354621161808065,1,1.0,1,1,-0.5527645404985404,-0.5527645404985398
2016-07-04,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.3682424623408362,1.5471103333039231,0.0,0.48208979812890435,1.2435911457053144,1,7.0,1,1,-1.3351467239862125,-1.3351467239862118
2016-07-06,air_728ff578acc6ac6e,0,0,0,0,0,0,1,0.820807090539922,0.7436068185448187,0.0,-0.3310090542677446,0.8993980957867871,1,4.0,1,1,-0.19282244129045462,-0.192822441290454
2016-07-07,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.3216522179322476,1.8848147090722431,0.0,2.0269776176825376,1.054840118330638,1,2.0,1,1,-0.2607214868002329,-0.26072148680023227
2016-07-08,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.0770534347871583,1.0813111943131384,0.0,-0.8730749558655104,1.0770461215511884,1,19.0,1,1,1.090315202831832,1.0903152028318324
2016-07-09,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.7392741628248918,0.5107072490494261,0.0,-1.4422441525431646,0.877192092566237,1,12.0,1,1,1.3985614378449729,1.3985614378449733
2016-07-11,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.3915375845451305,1.5121753978796146,0.0,1.9456677324428726,1.0992521247717384,1,4.0,1,1,-1.3864567981498517,-1.386456798149851
2016-07-12,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.2867095346258066,1.314210763808531,0.0,0.265263437489798,1.354621161808065,1,5.0,1,1,-0.6434251978553466,-0.6434251978553459
2016-07-14,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.1469388014000408,1.4423055270309966,0.0,-0.3852156444275211,0.9882221086689877,1,2.0,1,1,-0.3467526637813723,-0.3467526637813717
2016-07-15,air_728ff578acc6ac6e,1,0,0,0,0,0,0,0.7159790406205977,0.4059024427764996,0.0,-1.4422441525431646,0.9549131038381624,1,15.0,1,1,0.871958045112886,0.8719580451128865
2016-07-16,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.9372827015613932,0.8367666463429759,0.0,-1.008591431264952,0.854986089345687,1,11.0,1,1,1.3379924029300003,1.3379924029300008
2016-07-17,air_728ff578acc6ac6e,0,0,0,1,0,0,0,1.1469388014000408,0.964861409565442,0.0,-1.4151408574632764,1.2435911457053144,1,2.0,1,1,0.38509102560527153,0.38509102560527214
2016-07-18,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.4730705122601602,1.5121753978796146,1.0,0.5905029784484577,1.3990331682491652,1,3.0,1,1,-1.1858459818709615,-1.1858459818709608
2016-07-19,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.3100046568301007,1.3724356561823787,0.0,0.23816014240990982,1.2546941473155893,1,7.0,1,1,-1.0052962472199602,-1.0052962472199596
2016-07-20,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.1935290458086296,1.0929561727879076,0.0,-0.1954925788683031,1.210282140874489,1,7.0,1,1,-0.5099418470236234,-0.5099418470236229
2016-07-21,air_728ff578acc6ac6e,0,0,0,0,1,0,0,0.6693887962120094,0.4408373782008086,0.0,-1.4422441525431646,0.9438101022278872,1,2.0,1,1,-0.28271151858464966,-0.28271151858464905
2016-07-22,air_728ff578acc6ac6e,1,0,0,0,0,0,0,0.6227985518034207,0.2545177226044943,0.0,-1.4422441525431646,0.8882950941765119,1,21.0,1,1,0.9375423504348308,0.9375423504348315
2016-07-23,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.7392741628248918,0.7668967754943583,0.0,-1.0627980214247286,0.8216770845148617,1,15.0,1,1,1.2627633468254165,1.262763346825417
2016-07-25,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.0071680681742756,0.8600566032925151,0.0,-1.2254177919040583,0.9660161054484376,1,10.0,1,1,-1.2379276360972118,-1.2379276360972111
2016-07-26,air_728ff578acc6ac6e,0,0,0,0,0,1,0,0.9023400182549517,0.8018317109186669,0.0,-1.4151408574632764,0.9993251102792625,1,13.0,1,1,-0.4852512850200677,-0.4852512850200671
2016-07-27,air_728ff578acc6ac6e,0,0,0,0,0,0,1,0.9838729459699814,0.7901867324438975,0.0,-1.3609342673034999,1.1103551263820133,1,2.0,1,1,-0.27576729802114963,-0.275767298021149
2016-07-28,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.2168241680129237,1.2326959144851435,0.0,-0.03287280838897316,1.210282140874489,1,11.0,1,1,-0.043907489206509165,-0.04390748920650856
2016-07-29,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.2983570957279535,1.3840806346571484,0.0,1.6746347816439895,1.1658701344333886,1,14.0,1,1,1.191392191033888,1.1913921910338887
2016-07-30,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.2983570957279535,1.4423055270309966,0.0,1.4849117160847718,1.0770461215511884,1,23.0,1,1,1.3133018409264445,1.3133018409264452
2016-08-01,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.3216522179322476,1.279275828384222,0.0,-0.9272815460252871,1.354621161808065,1,4.0,1,1,-1.2942529806678231,-1.2942529806678227
2016-08-02,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.1469388014000408,1.0347312804140596,0.0,-0.9814881361850636,1.1214581279922884,1,3.0,1,1,-0.927752450927543,-0.9277524509275423
2016-08-03,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.2517668513193652,1.33750072075807,0.0,-0.3310090542677446,1.221385142484764,1,5.0,1,1,-0.46287546320434536,-0.46287546320434475
2016-08-04,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.4031851456472777,1.4539505055057664,0.0,0.8615359292473407,1.3324151585875146,1,2.0,1,1,-0.33132106252915,-0.3313210625291494
2016-08-05,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.4730705122601602,1.5005304194048448,0.0,1.4849117160847718,1.354621161808065,1,13.0,1,1,0.7600789360342741,0.7600789360342747
2016-08-06,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.519660756668749,1.5936902472030023,0.0,0.9428458144870058,1.487857181131366,1,18.0,1,1,0.5085438356230502,0.5085438356230507
2016-08-09,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.8457924675288677,2.0012644938199395,0.0,0.7531227489277873,1.4767541795210906,1,6.0,1,1,-0.410793808978095,-0.41079380897809437
2016-08-10,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.519660756668749,1.5704002902534628,0.0,-0.114182693628638,1.5100631843519159,1,5.0,1,1,0.6319966456408288,0.6319966456408294
2016-08-11,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.3100046568301007,1.34914569923284,1.0,-0.114182693628638,1.4212391714697152,1,3.0,1,1,0.3094761794693821,0.3094761794693827
2016-08-12,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.2401192902172178,1.3258557422833004,0.0,0.048437076850691686,1.3102091553669646,1,8.0,1,1,-0.13996920700159315,-0.13996920700159254
2016-08-13,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.2168241680129237,1.314210763808531,1.0,0.5091930932087928,1.210282140874489,1,14.0,1,1,0.03247893699199135,0.032478936991991954
2016-08-15,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.228471729115071,1.1977609790608346,1.0,-1.2525210869839465,1.3324151585875146,1,2.0,1,1,-1.590539724710492,-1.5905397247104913
2016-08-17,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.4730705122601602,1.6053352256777713,0.0,1.268085355445665,1.1769731360436637,1,2.0,1,1,-0.9462703724302097,-0.9462703724302092
2016-08-18,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.263414412421512,1.2909208068589917,0.0,-1.1441079066643933,1.4212391714697152,1,6.0,1,1,-0.6600141692014856,-0.6600141692014849
2016-08-19,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.3449473401365422,1.3724356561823787,0.0,0.427883207969128,1.3990331682491652,1,7.0,1,1,0.7218857229350238,0.7218857229350244
2016-08-20,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.1236436791957467,1.1046011512626774,0.0,-1.008591431264952,1.2991061537566897,1,12.0,1,1,0.5999760730424675,0.599976073042468
2016-08-21,air_728ff578acc6ac6e,0,0,0,1,0,0,0,1.3798900234429832,1.5121753978796146,0.0,0.6989161587680109,1.2324881440950393,1,7.0,1,1,-0.9335393013971264,-0.9335393013971257
2016-08-23,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.2517668513193652,1.1511810651617558,0.0,-0.9814881361850636,1.3102091553669646,1,4.0,1,1,-0.7271416346486527,-0.7271416346486521
2016-08-24,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.2168241680129237,1.244340892959913,0.0,-0.9272815460252871,1.2324881440950393,1,8.0,1,1,-0.5300029286515124,-0.5300029286515119
2016-08-25,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.3915375845451305,1.419015570081458,0.0,1.7830479619635429,1.2324881440950393,1,6.0,1,1,-0.3957479977571782,-0.3957479977571776
2016-08-26,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.4264802678515718,1.430660548556227,0.0,1.3222919456054416,1.2880031521464146,1,8.0,1,1,1.0309035380107758,1.0309035380107765
2016-08-27,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.9605778237656872,0.7552517970195886,0.0,-1.4422441525431646,1.021531113499813,1,11.0,1,1,1.0961020533014152,1.0961020533014159
2016-08-28,air_728ff578acc6ac6e,0,0,0,1,0,0,0,0.7625692850291864,0.47577231362511757,0.0,-1.4422441525431646,0.9882221086689877,1,18.0,1,1,-0.36334163512751133,-0.3633416351275107
2016-08-30,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.0537583125828642,0.8833465602420546,0.0,-1.279624382063835,1.1214581279922884,1,6.0,1,1,-0.7545327268713473,-0.7545327268713468
2016-08-31,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.2517668513193652,1.2326959144851435,0.0,1.6204281914842131,1.1214581279922884,1,7.0,1,1,-0.30971682077603874,-0.3097168207760381
2016-09-01,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.2750619735236592,1.3957256131319182,0.0,1.2951886505255532,1.065943119940913,1,4.0,1,1,-0.7171110938347082,-0.7171110938347076
2016-09-02,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.2401192902172178,1.0813111943131384,0.0,-0.114182693628638,1.1769731360436637,1,13.0,1,1,0.5293764973135503,0.5293764973135509
2016-09-06,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.4847180733623075,1.3840806346571484,0.0,1.1596721751261119,1.4989601827416408,1,5.0,1,1,-0.7545327268713473,-0.7545327268713468
2016-09-07,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.2867095346258066,1.1395360866869864,0.0,-0.818868365705734,1.4434451746902652,1,8.0,1,1,-0.6546131087632078,-0.6546131087632071
2016-09-08,air_728ff578acc6ac6e,0,0,0,0,1,0,0,1.2051766069107765,1.1511810651617558,0.0,-1.089901316504617,1.36572416341834,1,13.0,1,1,-0.5022260463975123,-0.5022260463975117
2016-09-09,air_728ff578acc6ac6e,1,0,0,0,0,0,0,1.2750619735236592,1.3957256131319182,0.0,-0.005769513309084958,1.1325611296025637,1,11.0,1,1,0.8572980239232747,0.8572980239232754
2016-09-10,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.228471729115071,1.244340892959913,0.0,-0.3310090542677446,1.210282140874489,1,7.0,1,1,1.382744046561445,1.3827440465614456
2016-09-12,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.0071680681742756,0.8367666463429759,0.0,-1.3609342673034999,1.1214581279922884,1,5.0,1,1,-1.4589853240352966,-1.458985324035296
2016-09-14,air_728ff578acc6ac6e,0,0,0,0,0,0,1,0.820807090539922,0.7086718831205102,0.0,-1.3609342673034999,0.9105010973970623,1,20.0,1,1,-0.516500277555818,-0.5165002775558173
2016-09-15,air_728ff578acc6ac6e,0,0,0,0,1,0,0,0.9372827015613932,0.6853819261709706,0.0,-1.4151408574632764,1.0881491231614633,1,6.0,1,1,-0.18124874035128788,-0.18124874035128727
2016-09-16,air_728ff578acc6ac6e,1,0,0,0,0,0,0,0.7975119683356274,0.45248235667557796,0.0,-1.4422441525431646,1.054840118330638,1,13.0,1,1,0.7870842382256632,0.7870842382256638
2016-09-17,air_728ff578acc6ac6e,0,0,1,0,0,0,0,1.0770534347871583,1.0347312804140596,0.0,-0.005769513309084958,1.021531113499813,1,9.0,1,1,1.2643065069506387,1.2643065069506392
2016-09-21,air_728ff578acc6ac6e,0,0,0,0,0,0,1,0.4713802574755085,0.31274261497834244,0.0,-1.4151408574632764,0.5774110490888102,1,7.0,1,1,0.2627955856814096,0.2627955856814102
2016-09-22,air_728ff578acc6ac6e,0,0,0,0,1,0,0,0.38984732976047837,0.04490811005864085,1.0,-1.4422441525431646,0.6329260571401856,1,5.0,1,1,-0.4246822501050951,-0.42468225010509447
2016-09-24,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.6693887962120094,0.3942574643017298,0.0,-1.4422441525431646,0.9327071006176124,1,7.0,1,1,1.0305177479794703,1.030517747979471
2016-09-26,air_728ff578acc6ac6e,0,1,0,0,0,0,0,1.0887009958893052,1.1162461297374473,0.0,-0.6020420050666274,1.054840118330638,1,4.0,1,1,-1.2232676149076005,-1.2232676149075998
2016-09-27,air_728ff578acc6ac6e,0,0,0,0,0,1,0,1.1119961180935998,1.0813111943131384,0.0,-0.818868365705734,1.1547671328231137,1,5.0,1,1,-0.5793840526586239,-0.5793840526586234
2016-09-28,air_728ff578acc6ac6e,0,0,0,0,0,0,1,1.2168241680129237,1.1744710221112955,0.0,-0.8730749558655104,1.2880031521464146,1,13.0,1,1,-0.460560723016512,-0.4605607230165114
2016-09-29,air_728ff578acc6ac6e,0,0,0,0,1,0,0,0.9955205070721287,0.8600566032925151,0.0,-1.2525210869839465,1.0326341151100877,1,13.0,1,1,-0.3351789628422056,-0.335178962842205
2016-09-30,air_728ff578acc6ac6e,1,0,0,0,0,0,0,0.6227985518034207,0.48741729209988693,0.0,-0.7917650706258456,0.710647068412111,1,23.0,1,1,1.1011173237083876,1.101117323708388
2016-10-01,air_728ff578acc6ac6e,0,0,1,0,0,0,0,0.42479001306691977,0.14971291633156777,0.0,-1.4422441525431646,0.5774110490888102,1,16.0,1,1,1.1362242165571934,1.1362242165571939
