visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_4974785f48853db9,1,0,0,0,0,0,0,0.9692214346028002,0.9858930642550889,0.0,0.57437715972637,0.8878202039211037,1,12.0,1,1,1.270355203602,1.270355203602
2016-07-02,air_4974785f48853db9,0,0,1,0,0,0,0,1.0331874460186783,0.7709572545689551,0.0,-1.2208368590890422,1.2207830277410652,1,2.0,1,1,1.4263495770830543,1.4263495770830543
2016-07-04,air_4974785f48853db9,0,1,0,0,0,0,0,1.182441472655728,1.2545628263627562,0.0,0.5182767216383883,1.1687575865191961,1,2.0,1,1,-1.2781748837236449,-1.2781748837236449
2016-07-05,air_4974785f48853db9,0,0,0,0,0,1,0,1.2464074840716062,1.2545628263627562,0.0,1.359783292958113,1.1999728512523176,1,2.0,1,1,-0.6239688150339603,-0.6239688150339603
2016-07-06,air_4974785f48853db9,0,0,0,0,0,0,1,1.2570684859742527,1.2330692453941434,0.0,0.9670802263422416,1.335238998429177,1,12.0,1,1,-0.17315253951933457,-0.17315253951933457
2016-07-08,air_4974785f48853db9,1,0,0,0,0,0,0,0.7133573889392866,0.6527425592415818,0.0,-1.389138173352987,0.8774151156767298,1,12.0,1,1,1.0680849872701068,1.0680849872701068
2016-07-09,air_4974785f48853db9,0,0,1,0,0,0,0,0.8412894117710432,0.7709572545689551,0.0,0.12557365502251713,0.8149845862104873,1,10.0,1,1,1.3662656198331746,1.3662656198331746
2016-07-10,air_4974785f48853db9,0,0,0,1,0,0,0,1.1184754612398495,0.9858930642550889,0.0,0.57437715972637,1.1999728512523176,1,3.0,1,1,-0.3638537951385181,-0.3638537951385181
2016-07-12,air_4974785f48853db9,0,0,0,0,0,1,0,1.0864924555319102,1.0181334357080092,0.0,-0.6317822591652349,1.1687575865191961,1,14.0,1,1,-0.6090411237917541,-0.6090411237917541
2016-07-13,air_4974785f48853db9,0,0,0,0,0,0,1,0.9052554231869218,0.6527425592415818,0.0,-1.389138173352987,1.0959219688085797,1,6.0,1,1,-0.5370150135481094,-0.5370150135481094
2016-07-14,air_4974785f48853db9,0,0,0,0,1,0,0,1.1184754612398495,1.1363481310353825,0.0,0.3499754073744436,1.1271372335417011,1,11.0,1,1,-0.3220562596603409,-0.3220562596603409
2016-07-15,air_4974785f48853db9,1,0,0,0,0,0,0,0.8412894117710432,0.6742361402101951,0.0,-0.6598324782092257,0.9606558216317203,1,8.0,1,1,0.8568581561928897,0.8568581561928897
2016-07-19,air_4974785f48853db9,0,0,0,0,0,1,0,1.161119468850435,1.1256013405510765,0.0,1.8646872357499475,1.0334914393423367,1,2.0,1,1,-0.9590954834214883,-0.9590954834214883
2016-07-20,air_4974785f48853db9,0,0,0,0,0,0,1,1.129136463142496,1.17933529297261,0.0,0.9390300072982508,1.1271372335417011,1,8.0,1,1,-0.47991659454667096,-0.47991659454667096
2016-07-21,air_4974785f48853db9,0,0,0,0,1,0,0,1.097153457434557,1.157841712003996,0.0,2.0329885500138922,1.0334914393423367,1,2.0,1,1,-0.26010634100518537,-0.26010634100518537
2016-07-22,air_4974785f48853db9,1,0,0,0,0,0,0,1.0651704517266176,1.1470949215196893,0.0,0.8829295692102689,0.9606558216317203,1,11.0,1,1,0.9203008439722659,0.9203008439722659
2016-07-23,air_4974785f48853db9,0,0,1,0,0,0,0,1.1504584669477889,1.168588502488303,0.0,1.6963859214860026,1.0647067040754583,1,8.0,1,1,1.2349019369017604,1.2349019369017604
2016-07-24,air_4974785f48853db9,0,0,0,1,0,0,0,1.1397974650451423,1.0396270166766224,0.0,-0.8000835734291799,1.1687575865191961,1,2.0,1,1,-0.5433592823260471,-0.5433592823260471
2016-07-25,air_4974785f48853db9,0,1,0,0,0,0,0,1.097153457434557,0.9106655308649422,0.0,-1.3610879543089962,1.1895677630079438,1,3.0,1,1,-1.1841304288977461,-1.1841304288977461
2016-07-26,air_4974785f48853db9,0,0,0,0,0,1,0,1.1184754612398495,1.028880226192316,0.0,-0.32322984968133606,1.2207830277410652,1,4.0,1,1,-0.45603228855914113,-0.45603228855914113
