visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-04,air_8c119d1f16049f20,0,1,0,0,0,0,0,-0.7536484481077578,-0.5612582660689169,0.0,0.9027027691296647,-0.8461617658378794,1,30.0,1,1,-1.5111709778633773,-1.5111709778633773
2016-01-05,air_8c119d1f16049f20,0,0,0,0,0,1,0,-0.5405830902359373,-0.5363731308269456,0.0,0.7785104053134093,-0.7621956863409808,1,24.0,1,1,-1.3796220592179385,-1.3796220592179385
2016-01-06,air_8c119d1f16049f20,0,0,0,0,0,0,1,-0.7912482171439612,-1.0465184032873531,0.0,-1.3079213067996818,-0.5222926020641275,1,31.0,1,1,-1.3147451071374394,-1.3147451071374394
2016-01-07,air_8c119d1f16049f20,0,0,0,0,1,0,0,-0.8163147298347637,-0.8474373213515843,0.0,-0.11567461416362987,-0.8341666116240367,1,28.0,1,1,-1.2447395422442527,-1.2447395422442527
2016-01-08,air_8c119d1f16049f20,1,0,0,0,0,0,0,-1.0544466003973865,-1.0962886737712954,0.0,0.8530258236031623,-1.002098770617834,1,22.0,1,1,-0.9065075272475007,-0.9065075272475007
2016-01-09,air_8c119d1f16049f20,0,0,1,0,0,0,0,-0.9917803186703804,-1.0091907004243965,0.0,0.9027027691296647,-1.0380842332593618,1,62.0,1,1,-0.6454611350816981,-0.6454611350816981
2016-01-10,air_8c119d1f16049f20,0,0,0,1,0,0,0,-0.9165807805979732,-0.8474373213515843,0.0,0.9523797146561667,-1.0860648501147325,1,50.0,1,1,-0.9344584670766485,-0.9344584670766485
2016-01-11,air_8c119d1f16049f20,0,1,0,0,0,0,0,-1.016846831361183,-1.1460589442552376,1.0,-0.4882517056123961,-0.9181326911209353,1,41.0,1,1,-1.3003849912619139,-1.3003849912619139
2016-01-12,air_8c119d1f16049f20,0,0,0,0,0,1,0,-1.480577316141027,-1.6935319195786018,0.0,-1.3079213067996818,-1.2659921633223725,1,19.0,1,1,-1.3547482870764034,-1.3547482870764034
2016-01-13,air_8c119d1f16049f20,0,0,0,0,0,0,1,-1.3677780090324165,-1.245599485223122,0.0,0.8530258236031623,-1.4819049391715404,1,27.0,1,1,-1.1485780520063589,-1.1485780520063589
2016-01-14,air_8c119d1f16049f20,0,0,0,0,1,0,0,-1.154712651160596,-1.0340758356663675,0.0,0.9523797146561667,-1.3499582428192711,1,29.0,1,1,-1.0549808681748087,-1.0549808681748087
2016-01-15,air_8c119d1f16049f20,1,0,0,0,0,0,0,-1.2048456765422009,-1.0962886737712954,0.0,0.7039949870236559,-1.1340454669701032,1,32.0,1,1,-0.7759843311645994,-0.7759843311645994
2016-01-16,air_8c119d1f16049f20,0,0,1,0,0,0,0,-1.09204636943359,-0.9843055651824254,0.0,0.9523797146561667,-1.1580357753977886,1,67.0,1,1,-0.6269981289560225,-0.6269981289560225
2016-01-17,air_8c119d1f16049f20,0,0,0,1,0,0,0,-1.1797791638513986,-1.382467729053963,0.0,-0.5379286511388982,-1.098060004328575,1,48.0,1,1,-1.2360209004626836,-1.2360209004626836
2016-01-18,air_8c119d1f16049f20,0,1,0,0,0,0,0,-1.5557768542134343,-1.6810893519576162,0.0,-0.9601826881141667,-1.3499582428192711,1,18.0,1,1,-1.5221974954106559,-1.5221974954106559
2016-01-19,air_8c119d1f16049f20,0,0,0,0,0,1,0,-1.2675119582692067,-1.382467729053963,0.0,0.9523797146561667,-1.2659921633223725,1,29.0,1,1,-1.2834605689800447,-1.2834605689800447
2016-01-20,air_8c119d1f16049f20,0,0,0,0,0,0,1,-1.3928445217232188,-1.3202548909490353,0.0,0.9772181874194177,-1.457914630743855,1,28.0,1,1,-1.1572966937879279,-1.1572966937879279
2016-01-21,air_8c119d1f16049f20,0,0,0,0,1,0,0,-1.2299121892330032,-1.270484620465093,0.0,0.5301256776808985,-1.25399700910853,1,29.0,1,1,-1.0342099862834238,-1.0342099862834238
2016-01-22,air_8c119d1f16049f20,1,0,0,0,0,0,0,-1.1797791638513986,-1.1709440794972086,0.0,0.7039949870236559,-1.0140939248316767,1,27.0,1,1,-0.7231596191939164,-0.7231596191939164
2016-01-23,air_8c119d1f16049f20,0,0,1,0,0,0,0,-1.417911034414021,-1.656204216715645,0.0,-1.2582443612731797,-1.0620745416870474,1,54.0,1,1,-0.6493075946912139,-0.6493075946912139
2016-01-24,air_8c119d1f16049f20,0,0,0,1,0,0,0,-1.4931105724864284,-1.3078123233280499,0.0,0.9275412418929158,-1.5178904018130683,1,35.0,1,1,-1.3521839806700595,-1.3521839806700595
2016-01-25,air_8c119d1f16049f20,0,1,0,0,0,0,0,-1.543243597868033,-1.407352864295934,0.0,1.0765720784724222,-1.6858225608068655,1,30.0,1,1,-1.3770577528115946,-1.3770577528115946
2016-01-26,air_8c119d1f16049f20,0,0,0,0,0,1,0,-1.4304442907594224,-1.2580420528441076,0.0,0.8281873508399112,-1.5298855560269111,1,33.0,1,1,-1.2029413478208482,-1.2029413478208482
2016-01-27,air_8c119d1f16049f20,0,0,0,0,0,0,1,-1.1171128821243925,-0.7852244832466566,0.0,1.0268951329459202,-1.5058952475992258,1,38.0,1,1,-1.0501086860027555,-1.0501086860027555
2016-01-28,air_8c119d1f16049f20,0,0,0,0,1,0,0,-0.9291140369433745,-0.7105690775207434,0.0,1.0268951329459202,-1.1220503127562607,1,30.0,1,1,-1.0557501600967119,-1.0557501600967119
