visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-07-01,air_15ae33469e9ea2dd,1,0,0,0,0,0,0,1.0734774965219256,1.1481212041727766,0.0,-0.16768268275787046,1.0209376804472063,1,7.0,1,1,1.2713102092649928,1.2713102092649928
2016-07-02,air_15ae33469e9ea2dd,0,0,1,0,0,0,0,1.2352593741847198,1.2871174525407438,0.0,0.4966148511035842,1.175572359298679,1,15.0,1,1,1.4235666024299845,1.4235666024299845
2016-07-03,air_15ae33469e9ea2dd,0,0,0,1,0,0,0,1.4894880390833967,1.7041061976446457,0.0,0.6826181605847913,1.308116369742799,1,5.0,1,1,-0.47745281366592823,-0.47745281366592823
2016-07-04,air_15ae33469e9ea2dd,0,1,0,0,0,0,0,1.3277061614206025,1.5187778664873557,0.0,0.5497586538125004,1.1976630277060327,1,27.0,1,1,-1.2161512953372275,-1.2161512953372275
2016-07-05,air_15ae33469e9ea2dd,0,0,0,0,0,1,0,0.622799408746998,0.5689701693062458,0.0,-1.3368463423540309,0.8221216647810267,1,10.0,1,1,-0.5776214933797386,-0.5776214933797386
2016-07-06,air_15ae33469e9ea2dd,0,0,0,0,0,0,1,0.7845812864097926,0.7195494383715434,0.0,-0.2473983868212452,0.8552576673920567,1,4.0,1,1,-0.1376078021278009,-0.1376078021278009
2016-07-07,air_15ae33469e9ea2dd,0,0,0,0,1,0,0,1.281482767802661,1.8546854667099442,0.0,2.0643570310166175,1.0098923462435294,1,10.0,1,1,-0.20171575714463952,-0.20171575714463952
2016-07-08,air_15ae33469e9ea2dd,1,0,0,0,0,0,0,1.0388099513084696,1.0554570385941315,0.0,-0.7788364139104088,1.031983014650883,1,12.0,1,1,1.073886847792683,1.073886847792683
2016-07-09,air_15ae33469e9ea2dd,0,0,1,0,0,0,0,0.7036903475783951,0.48788902442493115,0.0,-1.3368463423540309,0.8331669989847034,1,19.0,1,1,1.3649223935793537,1.3649223935793537
2016-07-11,air_15ae33469e9ea2dd,0,1,0,0,0,0,0,1.3508178582295731,1.4840288043953642,0.0,1.9846413269532426,1.0540736830582362,1,3.0,1,1,-1.2645965113442703,-1.2645965113442703
2016-07-12,air_15ae33469e9ea2dd,0,0,0,0,0,1,0,1.2468152225892053,1.2871174525407438,0.0,0.33718344297683495,1.308116369742799,1,5.0,1,1,-0.5630515036031843,-0.5630515036031843
2016-07-13,air_15ae33469e9ea2dd,0,0,0,0,0,0,1,1.015698254499499,0.8006305832528581,0.0,-1.3368463423540309,1.1866176935023558,1,20.0,1,1,-0.4927513029313102,-0.4927513029313102
2016-07-14,air_15ae33469e9ea2dd,0,0,0,0,1,0,0,1.1081450417353813,1.4145306802113804,0.0,-0.3005421895301615,0.9436203410214699,1,27.0,1,1,-0.28294345014892935,-0.28294345014892935
2016-07-15,air_15ae33469e9ea2dd,1,0,0,0,0,0,0,0.6805786507694246,0.38364183814895575,0.0,-1.3368463423540309,0.9104843384104399,1,26.0,1,1,0.8677214924544407,0.8677214924544407
2016-07-16,air_15ae33469e9ea2dd,0,0,1,0,0,0,0,0.9001397704546459,0.8122136039501885,0.0,-0.9116959206826998,0.8110763305773502,1,12.0,1,1,1.3077351837063784,1.3077351837063784
2016-07-19,air_15ae33469e9ea2dd,0,0,0,0,0,1,0,1.269926919398176,1.3450325560273966,0.0,0.31061154162237686,1.208708361909709,1,6.0,1,1,-0.904717763863381,-0.904717763863381
