visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Fukuoka-ken Kitakyūshū-shi None,total_area_visitors,total_genre_visitors
2016-07-01,air_61b8d37c33617f21,1,0,0,0,0,0,0,1.1484279349226958,1.2548038418776906,0.0,0.6785013826768036,1.0197552908807535,1,26.0,1,1,1.4019332184050726,1.4019332184050726
2016-07-02,air_61b8d37c33617f21,0,0,1,0,0,0,0,1.2273339379644013,1.068537908110874,0.0,-0.5429978048834009,1.4215705165932984,1,24.0,1,1,1.5552867670504422,1.5552867670504424
2016-07-03,air_61b8d37c33617f21,0,0,0,1,0,0,0,1.2160616518155865,1.2000197437109796,0.0,-0.35711749373293494,1.3672711617672788,1,65.0,1,1,-0.3594313439069365,-0.3594313439069365
2016-07-04,air_61b8d37c33617f21,0,1,0,0,0,0,0,1.2498785102620318,1.2438470222443483,0.0,0.28018643021151957,1.378131032732483,1,23.0,1,1,-1.1034528669997825,-1.1034528669997827
2016-07-05,air_61b8d37c33617f21,0,0,0,0,0,1,0,1.3738736578989974,1.5396811523445866,0.0,1.7406745892508944,1.1935132263240165,1,29.0,1,1,-0.4603218364367849,-0.460321836436785
2016-07-06,air_61b8d37c33617f21,0,0,0,0,0,0,1,1.317512227154922,1.298631120411059,0.0,1.820337579743951,1.3672711617672788,1,12.0,1,1,-0.017137418342032407,-0.017137418342032397
2016-07-07,air_61b8d37c33617f21,0,0,0,0,1,0,0,1.2160616518155865,1.2657606615110328,0.0,0.4926210715263377,1.1935132263240165,1,16.0,1,1,-0.08170733356113542,-0.08170733356113542
2016-07-08,air_61b8d37c33617f21,1,0,0,0,0,0,0,0.7764424920117978,0.5864378442438194,0.0,-1.2865190494852643,0.9111565812287142,1,30.0,1,1,1.2030872294916986,1.2030872294916986
2016-07-09,air_61b8d37c33617f21,0,0,1,0,0,0,0,0.9004376396487639,0.9589697117774525,0.0,-0.5961064652121053,0.8894368392983065,1,38.0,1,1,1.4962199696056946,1.4962199696056946
2016-07-10,air_61b8d37c33617f21,0,0,0,1,0,0,0,1.1033387903274356,1.0137538099441632,0.0,-0.9944214176773893,1.1826533553588123,1,31.0,1,1,-0.20461029718840537,-0.20461029718840537
2016-07-11,air_61b8d37c33617f21,0,1,0,0,0,0,0,1.1258833626250657,0.9370560725107682,0.0,-1.153747398663503,1.2586724521152397,1,18.0,1,1,-1.1522471779324002,-1.1522471779324004
2016-07-12,air_61b8d37c33617f21,0,0,0,0,0,1,0,1.058249645732175,1.0466242688441898,0.0,-0.7288781160338667,1.1717934843936082,1,19.0,1,1,-0.4456468557051706,-0.44564685570517065
2016-07-13,air_61b8d37c33617f21,0,0,0,0,0,0,1,1.0018882149880997,1.0466242688441898,0.0,-1.0209757478417416,1.1392138714979967,1,21.0,1,1,-0.3748400736751315,-0.3748400736751315
2016-07-14,air_61b8d37c33617f21,0,0,0,0,1,0,0,1.0695219318809903,1.0466242688441898,0.0,0.6519470525124512,1.0849145166719771,1,19.0,1,1,-0.16352035113988528,-0.16352035113988528
2016-07-15,air_61b8d37c33617f21,1,0,0,0,0,0,0,0.8328039227558732,0.6850492209438986,0.0,0.7847187033342126,0.9871756779851416,1,40.0,1,1,0.9954362521393558,0.9954362521393559
2016-07-16,air_61b8d37c33617f21,0,0,1,0,0,0,0,1.0695219318809903,1.298631120411059,0.0,0.0146431285679969,0.8677170973678987,1,49.0,1,1,1.4386206702341082,1.4386206702341084
2016-07-17,air_61b8d37c33617f21,0,0,0,1,0,0,0,0.9906159288392847,0.9808833510441367,0.0,0.7050557128411558,1.0849145166719771,1,47.0,1,1,0.5324406100569239,0.532440610056924
2016-07-18,air_61b8d37c33617f21,0,1,0,0,0,0,0,1.0131605011369147,1.057581088477532,1.0,1.1564793256351442,1.0414750328111613,1,51.0,1,1,-0.961472428421414,-0.9614724284214141
2016-07-19,air_61b8d37c33617f21,0,0,0,0,0,1,0,1.0695219318809903,1.145235645544269,0.0,1.820337579743951,0.9220164521939184,1,17.0,1,1,-0.7897751538615264,-0.7897751538615265
2016-07-20,air_61b8d37c33617f21,0,0,0,0,0,0,1,1.0695219318809903,1.2000197437109796,0.0,1.2892509764569056,1.1392138714979967,1,26.0,1,1,-0.31870827237670674,-0.31870827237670674
2016-07-21,air_61b8d37c33617f21,0,0,0,0,1,0,0,0.9906159288392847,0.9699265314107948,0.0,1.92655490040136,0.9980355489503457,1,11.0,1,1,-0.10261918110368583,-0.10261918110368583
2016-07-22,air_61b8d37c33617f21,1,0,0,0,0,0,0,0.8891653534999487,0.8165310565440044,0.0,1.8468919099083037,0.8568572264026947,1,31.0,1,1,1.0578049202487168,1.0578049202487168
