visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-05,air_bf21b8350771879b,0,0,0,0,0,1,0,-0.5664947408662254,-0.46040000250673785,0.0,0.7283421582305237,-0.7967125802683434,1,18.0,1,1,-1.3708894592173857,-1.3708894592173857
2016-01-07,air_bf21b8350771879b,0,0,0,0,1,0,0,-0.8544877589609746,-0.7910633475430962,0.0,0.17217697259474396,-0.910768004651631,1,21.0,1,1,-1.239489271194138,-1.239489271194138
2016-01-08,air_bf21b8350771879b,1,0,0,0,0,0,0,-1.1184813588811613,-1.1217266925794547,0.0,0.9305840439162621,-1.059040056349905,1,25.0,1,1,-0.9099895601624582,-0.9099895601624582
2016-01-09,air_bf21b8350771879b,0,0,1,0,0,0,0,-1.094481940706599,-1.027251451140495,0.0,0.9305840439162621,-1.2301231929248362,1,29.0,1,1,-0.6556827323912299,-0.6556827323912299
2016-01-10,air_bf21b8350771879b,0,0,0,1,0,0,0,-0.9624851407465055,-0.7438257268236166,0.0,0.9558642796269793,-1.2073121080481788,1,37.0,1,1,-0.9372188766919906,-0.9372188766919906
2016-01-11,air_bf21b8350771879b,0,1,0,0,0,0,0,-0.9984842680083492,-1.1335360977593245,1.0,-0.3839882130410361,-0.9449846319666172,1,31.0,1,1,-1.2936980940098126,-1.2936980940098126
2016-01-12,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.4184740860631917,-1.700387546393082,0.0,-1.3446371700482924,-1.241528735363165,1,14.0,1,1,-1.346657865608536,-1.346657865608536
2016-01-14,air_bf21b8350771879b,0,0,0,0,1,0,0,-1.2024793224921297,-0.9445856148814056,0.0,0.9305840439162621,-1.3783952446231102,1,22.0,1,1,-1.0546296910853867,-1.0546296910853867
2016-01-15,air_bf21b8350771879b,1,0,0,0,0,0,0,-1.1424807770557237,-1.1335360977593245,0.0,0.3996990939911995,-1.0134178865965897,1,23.0,1,1,-0.7828361462768441,-0.7828361462768441
2016-01-16,air_bf21b8350771879b,0,0,1,0,0,0,0,-1.0224836861829116,-1.0390608563203652,0.0,0.8294631010733929,-1.059040056349905,1,22.0,1,1,-0.6376963948671351,-0.6376963948671351
2016-01-17,air_bf21b8350771879b,0,0,0,1,0,0,0,-1.1544804861430051,-1.3697242013567235,0.0,-0.30814750590888434,-1.0248234290349187,1,24.0,1,1,-1.230995722918871,-1.230995722918871
2016-01-18,air_bf21b8350771879b,0,1,0,0,0,0,0,-1.5264714678487228,-1.6059123049541224,0.0,-1.0665545772304026,-1.1845010231715212,1,25.0,1,1,-1.5097839545423395,-1.5097839545423395
2016-01-19,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.310476704277661,-1.3815336065365933,0.0,1.0064247510484141,-1.241528735363165,1,27.0,1,1,-1.277210617946059,-1.277210617946059
2016-01-21,air_bf21b8350771879b,0,0,0,0,1,0,0,-1.2624778679285358,-1.287058365097634,0.0,0.7030619225198066,-1.435422956814754,1,30.0,1,1,-1.0343950613707802,-1.0343950613707802
2016-01-22,air_bf21b8350771879b,1,0,0,0,0,0,0,-1.1784799043175676,-1.2280113391982843,0.0,0.8547433367841102,-0.9563901744049462,1,19.0,1,1,-0.7313752361384619,-0.7313752361384619
2016-01-23,air_bf21b8350771879b,0,0,1,0,0,0,0,-1.3464758315395045,-1.5468652790547726,0.0,-1.1171150486518369,-1.0020123441582611,1,37.0,1,1,-0.659429886042083,-0.659429886042083
2016-01-24,air_bf21b8350771879b,0,0,0,1,0,0,0,-1.4664729224123167,-1.3342959858171137,0.0,0.9558642796269793,-1.526667296321384,1,23.0,1,1,-1.3441597631746338,-1.3441597631746338
2016-01-25,air_bf21b8350771879b,0,1,0,0,0,0,0,-1.5744703041978476,-1.4051524168963334,0.0,1.1075456938912829,-1.6977504328963156,1,23.0,1,1,-1.3683913567834838,-1.3683913567834838
2016-01-26,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.4664729224123167,-1.1925831236586744,0.0,0.8547433367841102,-1.6065060933896853,1,17.0,1,1,-1.1987702015215347,-1.1987702015215347
2016-01-28,air_bf21b8350771879b,0,0,0,0,1,0,0,-0.986484558921068,-0.6847787009242668,0.0,1.0569852224698486,-1.3441786173081238,1,26.0,1,1,-1.0553791218155573,-1.0553791218155573
2016-01-29,air_bf21b8350771879b,1,0,0,0,0,0,0,-1.2144790315794112,-1.487818253155423,0.0,-1.3446371700482924,-0.9449846319666172,1,21.0,1,1,-0.9149857650302623,-0.9149857650302623
2016-01-30,air_bf21b8350771879b,0,0,1,0,0,0,0,-1.3944746678886295,-1.7240063567528219,0.0,-1.3446371700482924,-1.0818511412265626,1,30.0,1,1,-0.6189606266128698,-0.6189606266128698
2016-01-31,air_bf21b8350771879b,0,0,0,1,0,0,0,-1.0824822316193177,-1.0154420459606253,0.0,0.12161650117330935,-1.1388788534182064,1,28.0,1,1,-1.163796767446906,-1.163796767446906
2016-02-01,air_bf21b8350771879b,0,1,0,0,0,0,0,-1.250478158841255,-1.5704840894145127,0.0,-1.3446371700482924,-0.9449846319666172,1,27.0,1,1,-1.4136070108371108,-1.4136070108371108
2016-02-02,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.1184813588811613,-1.1453455029391946,0.0,0.47553980112335126,-0.9221735470899598,1,29.0,1,1,-1.2682174491840117,-1.2682174491840117
2016-02-04,air_bf21b8350771879b,0,0,0,0,1,0,0,-1.2384784497539736,-1.1807737184788045,0.0,0.14689673688402677,-1.150284395856535,1,28.0,1,1,-1.1578013216055412,-1.1578013216055412
2016-02-05,air_bf21b8350771879b,1,0,0,0,0,0,0,-1.0104839770956306,-0.8028727527229663,0.0,0.9558642796269793,-1.3213675324314664,1,22.0,1,1,-0.7905802638219404,-0.7905802638219404
2016-02-06,air_bf21b8350771879b,0,0,1,0,0,0,0,-1.0224836861829116,-1.2162019340184143,0.0,-1.1423952843625542,-0.9449846319666172,1,19.0,1,1,-0.5714966803687309,-0.5714966803687309
2016-02-07,air_bf21b8350771879b,0,0,0,1,0,0,0,-1.2744775770158172,-1.3461053909969838,0.0,1.0317049867591312,-1.1388788534182064,1,31.0,1,1,-1.171041264505222,-1.171041264505222
2016-02-08,air_bf21b8350771879b,0,1,0,0,0,0,0,-1.3344761224522232,-1.3815336065365933,0.0,-0.08062538451242879,-1.1274733109798774,1,26.0,1,1,-1.3631453416722894,-1.3631453416722894
2016-02-09,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.094481940706599,-0.5784940543054373,0.0,0.8800235724948278,-1.3669897021847814,1,33.0,1,1,-1.1493077733302743,-1.1493077733302743
2016-02-11,air_bf21b8350771879b,0,0,0,0,1,0,0,-1.10648164979388,-1.098107882219715,1.0,1.1328259296020005,-1.0020123441582611,1,37.0,1,1,-0.9032446835909227,-0.9032446835909227
2016-02-12,air_bf21b8350771879b,1,0,0,0,0,0,0,-0.986484558921068,-0.8501103734424459,0.0,-0.4851091558839052,-1.1730954807331924,1,26.0,1,1,-0.8480366198016874,-0.8480366198016874
2016-02-13,air_bf21b8350771879b,0,0,1,0,0,0,0,-0.12250550463682044,0.20092668756597903,0.0,-0.28286727019816693,-0.3518964251735219,1,37.0,1,1,-0.6616781782325948,-0.6616781782325948
2016-02-14,air_bf21b8350771879b,0,0,0,1,0,0,0,0.5014793679018028,0.6260652740412972,0.0,0.07105602975187476,0.46930263038614894,1,22.0,1,1,-1.1882781712991461,-1.1882781712991461
2016-02-15,air_bf21b8350771879b,0,1,0,0,0,0,0,-0.8544877589609746,-0.5430658387658274,0.0,-1.2687964629161408,-0.9563901744049462,1,29.0,1,1,-1.3666426850797522,-1.3666426850797522
2016-02-16,air_bf21b8350771879b,0,0,0,0,0,1,0,-1.2144790315794112,-1.1217266925794547,0.0,1.1328259296020005,-1.2757453626781514,1,26.0,1,1,-1.2090124215005331,-1.2090124215005331
2016-02-18,air_bf21b8350771879b,0,0,0,0,1,0,0,-1.1784799043175676,-1.0036326407807552,0.0,0.9811445153376965,-1.3213675324314664,1,20.0,1,1,-1.052631209138265,-1.052631209138265
2016-02-19,air_bf21b8350771879b,1,0,0,0,0,0,0,-0.7464903771754436,-0.3777341662476481,0.0,1.0569852224698486,-1.19590656560985,1,23.0,1,1,-0.7393691639269484,-0.7393691639269484
