visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Minato-ku Akasaka,total_area_visitors,total_genre_visitors
2016-07-01,air_990a642a3deb2903,1,0,0,0,0,0,0,1.0745665971515943,1.1486168021610403,0.0,-0.15857271948430057,1.0165768533764241,1,48.0,1,1,1.2821929573423179,1.2821929573423176
2016-07-02,air_990a642a3deb2903,0,0,1,0,0,0,0,1.236651066471659,1.2879946966360887,0.0,0.506123761587037,1.1705182118031845,1,11.0,1,1,1.4356746956987796,1.4356746956987794
2016-07-04,air_990a642a3deb2903,0,1,0,0,0,0,0,1.3292707632259817,1.5202911874278358,0.0,0.5592994800727438,1.1925098344355791,1,20.0,1,1,-1.2252874044669568,-1.2252874044669575
2016-07-05,air_990a642a3deb2903,0,0,0,0,0,1,0,0.6230455754742711,0.567875575181672,0.0,-1.3284385261698546,0.8186522496848748,1,24.0,1,1,-0.5816187744696427,-0.5816187744696433
2016-07-06,air_990a642a3deb2903,0,0,0,0,0,0,1,0.785130044794336,0.7188682941963074,0.0,-0.23833629721286126,0.8516396836334665,1,28.0,1,1,-0.13806389424331325,-0.1380638942433137
2016-07-07,air_990a642a3deb2903,0,0,0,0,1,0,0,1.2829609148488201,1.8571210990758702,0.0,2.0748074569153934,1.0055810420602267,1,26.0,1,1,-0.2026877840776129,-0.20268778407761337
2016-07-08,air_990a642a3deb2903,1,0,0,0,0,0,0,1.0398342108687233,1.0556982058443414,0.0,-0.7700934820699311,1.0275726646926215,1,35.0,1,1,1.0831807511480542,1.0831807511480538
2016-07-09,air_990a642a3deb2903,0,0,1,0,0,0,0,0.7040878101343033,0.48657180340456,0.0,-1.3284385261698546,0.8296480610010722,1,13.0,1,1,1.376558523748085,1.3765585237480849
2016-07-11,air_990a642a3deb2903,0,1,0,0,0,0,0,1.3524256874145624,1.485446713809074,0.0,1.9950438791868328,1.0495642873250157,1,11.0,1,1,-1.274122503034922,-1.2741225030349226
2016-07-12,air_990a642a3deb2903,0,0,0,0,0,1,0,1.2482285285659493,1.2879946966360887,0.0,0.3465966061299158,1.302467947597551,1,5.0,1,1,-0.5669315267800291,-0.5669315267800297
2016-07-13,air_990a642a3deb2903,0,0,0,0,0,0,1,1.0166792866801426,0.8001720659734193,0.0,-1.3284385261698546,1.1815140231193817,1,23.0,1,1,-0.49606555667764374,-0.49606555667764424
2016-07-14,air_990a642a3deb2903,0,0,0,0,1,0,0,1.109298983434465,1.4157577665715495,0.0,-0.2915120156985682,0.9396061741630439,1,33.0,1,1,-0.2845691899472085,-0.284569189947209
2016-07-15,air_990a642a3deb2903,1,0,0,0,0,0,0,0.6809328859457228,0.3820383825482738,0.0,-1.3284385261698546,0.9066187402144523,1,34.0,1,1,0.8753561963400223,0.875356196340022
2016-07-16,air_990a642a3deb2903,0,0,1,0,0,0,0,0.9009046657372394,0.8117868905130065,0.0,-0.9030327782841987,0.807656438368678,1,24.0,1,1,1.3189110765663519,1.3189110765663516
2016-07-19,air_990a642a3deb2903,0,0,0,0,0,1,0,1.27138345275453,1.3460688193340251,0.0,0.3200087468870624,1.203505645751776,1,27.0,1,1,-0.9113474851014671,-0.9113474851014677
2016-07-20,air_990a642a3deb2903,0,0,0,0,0,0,1,1.1556088318116267,1.0673130303839284,0.0,-0.10539700099859377,1.1595224004869875,1,29.0,1,1,-0.43988683426487185,-0.43988683426487235
2016-07-21,air_990a642a3deb2903,0,0,0,0,1,0,0,0.6346230375685615,0.416882856167036,0.0,-1.3284385261698546,0.895622928898255,1,37.0,1,1,-0.2236171120353122,-0.22361711203531268
2016-07-22,air_990a642a3deb2903,1,0,0,0,0,0,0,0.5883131891914,0.23104566353363795,0.0,-1.3284385261698546,0.8406438723172691,1,44.0,1,1,0.93777699902088,0.9377769990208796
2016-07-23,air_990a642a3deb2903,0,0,1,0,0,0,0,0.7040878101343033,0.7420979432754825,0.0,-0.9562084967699057,0.7746690044200863,1,6.0,1,1,1.2473107440794857,1.2473107440794855
