visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-08-05,air_61668cc2b0778898,1,0,0,0,0,0,0,1.6452620296285665,1.7077926319482817,0.0,1.5252693062222962,1.4907210257249395,1,2.0,1,1,0.8117933010896435,0.8117933010896436
2016-08-06,air_61668cc2b0778898,0,0,1,0,0,0,0,1.6935223572599991,1.8054107725574957,0.0,0.9826141972755725,1.6267786552247578,1,21.0,1,1,0.5683179503740567,0.5683179503740569
2016-08-07,air_61668cc2b0778898,0,0,0,1,0,0,0,1.6331969477207084,1.7321971671005854,0.0,1.6338003280116404,1.4793828899332877,1,10.0,1,1,-0.6344950935751843,-0.6344950935751841
2016-08-08,air_61668cc2b0778898,0,1,0,0,0,0,0,1.6211318658128502,1.683388096795979,0.0,-0.15696153151254705,1.5700879762665,1,1.0,1,1,-1.1580417833040995,-1.1580417833040992
2016-08-10,air_61668cc2b0778898,0,0,0,0,0,0,1,1.6935223572599991,1.781006237405192,0.0,-0.07556326517053834,1.649454926808061,1,5.0,1,1,0.6878150550197435,0.6878150550197436
2016-08-11,air_61668cc2b0778898,0,0,0,0,1,0,0,1.476350882918553,1.5491631534583103,1.0,-0.07556326517053834,1.5587498404748483,1,17.0,1,1,0.3756288691328868,0.37562886913288696
2016-08-12,air_61668cc2b0778898,1,0,0,0,0,0,0,1.403960391471404,1.5247586183060067,0.0,0.08723326751347861,1.4453684825583328,1,16.0,1,1,-0.05941527746781664,-0.05941527746781649
2016-08-13,air_61668cc2b0778898,0,0,1,0,0,0,0,1.3798302276556877,1.5125563507298552,1.0,0.5484901101181936,1.3433252604334691,1,3.0,1,1,0.10750724058412708,0.10750724058412724
2016-08-14,air_61668cc2b0778898,0,0,0,1,0,0,0,1.3195048181163973,1.3417246046637314,1.0,-0.3740235750912364,1.3660015320167722,1,7.0,1,1,-0.9347315689974723,-0.9347315689974721
2016-08-15,air_61668cc2b0778898,0,1,0,0,0,0,0,1.391895309563546,1.3905336749683386,1.0,-1.2151389939586577,1.468044754141636,1,7.0,1,1,-1.4635062570546364,-1.4635062570546362
2016-08-16,air_61668cc2b0778898,0,0,0,0,0,1,0,1.4280905552871201,1.6711858292198272,0.0,-0.8352804176959513,1.388677803600075,1,5.0,1,1,-1.345129437765003,-1.3451294377650027
2016-08-17,air_61668cc2b0778898,0,0,0,0,0,0,1,1.6452620296285665,1.8176130401336466,0.0,1.3082072626436065,1.3093108530585145,1,13.0,1,1,-0.8398807421849585,-0.8398807421849582
2016-08-18,air_61668cc2b0778898,0,0,0,0,1,0,0,1.4280905552871201,1.488151815577552,0.0,-1.106607972169313,1.5587498404748483,1,3.0,1,1,-0.5627968307877722,-0.5627968307877721
2016-08-19,air_61668cc2b0778898,1,0,0,0,0,0,0,1.5125461286421273,1.5735676886106131,0.0,0.4670918437761852,1.5360735688915454,1,7.0,1,1,0.7748238843398843,0.7748238843398844
2016-08-20,air_61668cc2b0778898,0,0,1,0,0,0,0,1.2833095723928227,1.292915534359125,0.0,-0.9709441949326322,1.4340303467666815,1,24.0,1,1,0.6568204935022686,0.6568204935022687
2016-08-21,air_61668cc2b0778898,0,0,0,1,0,0,0,1.5487413743657013,1.7199948995244336,0.0,0.7384193982495469,1.3660015320167722,1,12.0,1,1,-0.827557603268372,-0.8275576032683718
2016-08-22,air_61668cc2b0778898,0,1,0,0,0,0,0,1.2833095723928227,1.0854769855645465,0.0,-1.4050682820900111,1.3319871246418173,1,1.0,1,1,-2.020661507465151,-2.020661507465151
2016-08-23,air_61668cc2b0778898,0,0,0,0,0,1,0,1.4160254733792623,1.3417246046637314,0.0,-0.943811439485296,1.4453684825583328,1,1.0,1,1,-0.6277733814388644,-0.6277733814388642
2016-08-24,air_61668cc2b0778898,0,0,0,0,0,0,1,1.3798302276556877,1.439342745272945,0.0,-0.8895459285906238,1.3660015320167722,1,13.0,1,1,-0.43695144245778333,-0.43695144245778317
2016-08-25,air_61668cc2b0778898,0,0,0,0,1,0,0,1.5608064562735597,1.6223767589152205,0.0,1.823729616142994,1.3660015320167722,1,6.0,1,1,-0.30699834115559893,-0.30699834115559876
2016-08-26,air_61668cc2b0778898,1,0,0,0,0,0,0,1.597001701997134,1.6345790264913715,0.0,1.3624727735382787,1.42269221097503,1,7.0,1,1,1.073940074406119,1.0739400744061192
2016-08-27,air_61668cc2b0778898,0,0,1,0,0,0,0,1.1143984256828092,0.9268475070745748,0.0,-1.4050682820900111,1.1505769519753928,1,16.0,1,1,1.1370494827971223,1.1370494827971225
2016-08-28,air_61668cc2b0778898,0,0,0,1,0,0,0,0.9092920332492213,0.6339930852469348,0.0,-1.4050682820900111,1.1165625446004381,1,4.0,1,1,-0.2756303511861062,-0.275630351186106
2016-08-29,air_61668cc2b0778898,0,1,0,0,0,0,0,1.271244490484965,1.305117801935277,0.0,-0.6996166404592704,1.2072676309336505,1,6.0,1,1,-1.4485691189739256,-1.4485691189739254
2016-08-31,air_61668cc2b0778898,0,0,0,0,0,0,1,1.4160254733792623,1.4271404776967935,0.0,1.660933083458977,1.2526201741002567,1,3.0,1,1,-0.22372379635563597,-0.2237237963556358
2016-09-01,air_61668cc2b0778898,0,0,0,0,1,0,0,1.4401556371949784,1.5979722237629168,0.0,1.3353400180909425,1.195929495141999,1,6.0,1,1,-0.6180642416864024,-0.6180642416864022
2016-09-02,air_61668cc2b0778898,1,0,0,0,0,0,0,1.403960391471404,1.2685109992068218,0.0,-0.07556326517053834,1.3093108530585145,1,15.0,1,1,0.5884830867830164,0.5884830867830165
2016-09-03,air_61668cc2b0778898,0,0,1,0,0,0,0,1.4642858010106945,1.5979722237629168,0.0,0.6027556210128661,1.4907210257249395,1,13.0,1,1,1.171778328834775,1.1717783288347752
2016-09-04,air_61668cc2b0778898,0,0,0,1,0,0,0,1.403960391471404,1.5247586183060067,0.0,-0.18409428695988314,1.42269221097503,1,3.0,1,1,-0.7603404819051732,-0.760340481905173
2016-09-05,air_61668cc2b0778898,0,1,0,0,0,0,0,1.609066783904992,1.6589835616436752,0.0,1.1996762408542616,1.5133972973082424,1,8.0,1,1,-1.3574525766815893,-1.357452576681589
2016-09-06,air_61668cc2b0778898,0,0,0,0,0,1,0,1.6573271115364248,1.585769956186765,0.0,1.1996762408542616,1.6381167910164092,1,4.0,1,1,-0.6542868015321261,-0.654286801532126
2016-09-07,air_61668cc2b0778898,0,0,0,0,0,0,1,1.4522207191028367,1.3295223370875802,0.0,-0.781014906801279,1.5814261120581514,1,7.0,1,1,-0.5575688324595234,-0.5575688324595233
2016-09-08,air_61668cc2b0778898,0,0,0,0,1,0,0,1.3677651457478295,1.3417246046637314,0.0,-1.0523424612746408,1.5020591615165906,1,2.0,1,1,-0.4100645939125038,-0.4100645939125036
