visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hokkaidō Sapporo-shi Kotoni 2 Jō,total_area_visitors,total_genre_visitors
2016-07-01,air_04cae7c1bc9b2a0b,1,0,0,0,0,0,0,1.1933564513179802,1.2154450070804619,0.0,1.9050437113908723,1.1266886074082498,1,29.0,1,1,1.3873095846701364,1.387309584670136
2016-07-02,air_04cae7c1bc9b2a0b,0,0,1,0,0,0,0,1.0384486839198426,0.9507748795130324,0.0,-1.1675220104388542,1.17273275187804,1,35.0,1,1,1.541748497585438,1.5417484975854376
2016-07-03,air_04cae7c1bc9b2a0b,0,0,0,1,0,0,0,1.1113464568130837,1.147143038675964,0.0,0.22432400030452626,1.0069738317867958,1,17.0,1,1,-0.386521087354655,-0.38652108735465546
2016-07-04,air_04cae7c1bc9b2a0b,0,1,0,0,0,0,0,0.6830720410652918,0.549500815136607,0.0,0.7232876645332854,0.8320060828015934,1,6.0,1,1,-1.1358084447523382,-1.1358084447523387
2016-07-05,air_04cae7c1bc9b2a0b,0,0,0,0,0,1,0,0.7924187004051536,0.9080861492602211,0.0,1.4586025381335619,0.7122913071801392,1,12.0,1,1,-0.48812563532524816,-0.48812563532524855
2016-07-06,air_04cae7c1bc9b2a0b,0,0,0,0,0,0,1,0.7104087059002574,0.6861047519456027,0.0,0.8808551374476302,0.8227972539076353,1,25.0,1,1,-0.04180456642169721,-0.04180456642169764
2016-07-07,air_04cae7c1bc9b2a0b,0,0,0,0,1,0,0,0.8744286949100502,1.0276145939680925,0.0,2.2727011481910107,0.7951707672257614,1,6.0,1,1,-0.10683147712287683,-0.10683147712287724
2016-07-08,air_04cae7c1bc9b2a0b,1,0,0,0,0,0,0,0.9564386894149463,0.9678503716141568,0.0,2.010088693333769,0.8043795961197193,1,21.0,1,1,1.1870562573971857,1.1870562573971852
2016-07-09,air_04cae7c1bc9b2a0b,0,0,1,0,0,0,0,1.0840097919781182,1.0190768479175305,0.0,0.5394589461332162,0.9793473451049217,1,14.0,1,1,1.4822636531372,1.4822636531371993
2016-07-10,air_04cae7c1bc9b2a0b,0,0,0,1,0,0,0,0.8562042516867395,0.6946424979961651,0.0,-1.1675220104388542,0.9885561739988796,1,27.0,1,1,-0.23060429010523575,-0.23060429010523617
2016-07-11,air_04cae7c1bc9b2a0b,0,1,0,0,0,0,0,0.8015309220168089,0.8056331966534743,0.0,0.8545938919619062,0.8964678850592994,1,9.0,1,1,-1.1849480988617525,-1.1849480988617527
2016-07-12,air_04cae7c1bc9b2a0b,0,0,0,0,0,1,0,0.9655509110266016,0.9763881176647192,0.0,2.14139492076239,0.9701385162109636,1,2.0,1,1,-0.473346791984071,-0.47334679198407137
2016-07-13,air_04cae7c1bc9b2a0b,0,0,0,0,0,0,1,1.1660197864830149,1.3349734517883334,0.0,1.484863783619286,1.17273275187804,1,22.0,1,1,-0.4020388728628911,-0.40203887286289147
2016-07-14,air_04cae7c1bc9b2a0b,0,0,0,0,1,0,0,1.1113464568130837,1.1727562768276505,0.0,0.644503928076113,1.154315094090124,1,12.0,1,1,-0.1892235287499396,-0.18922352874994006
2016-07-15,air_04cae7c1bc9b2a0b,1,0,0,0,0,0,0,1.1477953432597046,1.2069072610298996,0.0,1.1172063468191475,1.17273275187804,1,12.0,1,1,0.9779356241195285,0.977935624119528
2016-07-16,air_04cae7c1bc9b2a0b,0,0,1,0,0,0,0,1.1751320080946697,1.2239827531310241,0.0,1.2222513287620442,1.227985725241788,1,15.0,1,1,1.4242566930230796,1.424256693023079
2016-07-17,air_04cae7c1bc9b2a0b,0,0,0,1,0,0,0,1.0111120190848772,0.7885577045523495,0.0,-1.0624770284959575,1.1635239229840821,1,13.0,1,1,0.5116631167053883,0.5116631167053879
