visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-07-01,air_2a184c1745274b2b,1,0,0,0,0,0,0,1.1001171337018305,1.142208787089027,0.0,2.0452800120975883,0.9445859164841477,1,5.0,1,1,1.4072246120337486,1.4072246120337486
2016-07-02,air_2a184c1745274b2b,0,0,1,0,0,0,0,1.0462839051686998,0.8582683296284427,0.0,-1.2578380794423432,1.1334939737878709,1,8.0,1,1,1.5711013533616964,1.5711013533616964
2016-07-03,air_2a184c1745274b2b,0,0,0,1,0,0,0,1.1754836536482134,0.9949804017390945,0.0,-1.2578380794423432,1.301412246946736,1,10.0,1,1,-0.4750056155152403,-0.4750056155152403
2016-07-04,air_2a184c1745274b2b,0,1,0,0,0,0,0,1.1001171337018305,1.1947903532854316,0.0,-0.5300323982555786,0.9131012402668605,1,4.0,1,1,-1.2700822456900684,-1.2700822456900684
2016-07-05,air_2a184c1745274b2b,0,0,0,0,0,1,0,0.5294849112506449,0.27987110146799293,0.0,-1.3978007104397978,0.7556778591804245,1,4.0,1,1,-0.5828192611257322,-0.5828192611257322
2016-07-06,air_2a184c1745274b2b,0,0,0,0,0,0,1,0.6586846597301586,0.40606686033936373,0.0,-1.3978007104397978,0.7556778591804245,1,4.0,1,1,-0.10922331968037118,-0.10922331968037118
2016-07-07,air_2a184c1745274b2b,0,0,0,0,1,0,0,0.7125178882632892,0.6374257516035435,0.0,-1.0898829222453974,0.8186472116149991,1,5.0,1,1,-0.17822405287108603,-0.17822405287108603
2016-07-08,air_2a184c1745274b2b,1,0,0,0,0,0,0,0.7986510539162984,0.7846541369534764,0.0,-0.3060921886596511,0.797657427470141,1,7.0,1,1,1.1947337177759791,1.1947337177759791
2016-07-09,air_2a184c1745274b2b,0,0,1,0,0,0,0,0.9386174481024384,0.7951704501927571,0.0,-1.285830605641834,1.1334939737878709,1,8.0,1,1,1.5079813644770084,1.5079813644770084
2016-07-10,air_2a184c1745274b2b,0,0,0,1,0,0,0,1.2077835907680918,1.3209861121568023,0.0,0.8695939117189684,1.0705246213532964,1,3.0,1,1,-0.30956067570568535,-0.30956067570568535
