visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-01-05,air_4d71826793c09b22,0,0,0,0,0,1,0,-0.5409547425886558,-0.5355693264626782,0.0,0.7802048200571932,-0.7634614817072705,1,18.0,1,1,-1.3877803108670093,-1.3877803108670093
2016-01-06,air_4d71826793c09b22,0,0,0,0,0,0,1,-0.7913020258425003,-1.0447482803170502,0.0,-1.3054345030822314,-0.5237091027609245,1,21.0,1,1,-1.3228834172577761,-1.3228834172577761
2016-01-07,air_4d71826793c09b22,0,0,0,0,1,0,0,-0.816336754167885,-0.8460442983251002,0.0,-0.11364060414541739,-0.8353871953911742,1,24.0,1,1,-1.252856334430422,-1.2528563344304218
2016-01-08,air_4d71826793c09b22,1,0,0,0,0,0,0,-1.0541666732590373,-1.0944242758150378,0.0,0.8546919387407438,-1.0032138606536165,1,25.0,1,1,-0.9145203554953293,-0.9145203554953292
2016-01-09,air_4d71826793c09b22,0,0,1,0,0,0,0,-0.9915798524455761,-1.0074912836935597,0.0,0.9043500178631113,-1.0391767174955682,1,20.0,1,1,-0.6533937242929605,-0.6533937242929605
2016-01-10,air_4d71826793c09b22,0,0,0,1,0,0,0,-0.9164756674694227,-0.8460442983251002,0.0,0.9540080969854784,-1.0871271932848374,1,18.0,1,1,-0.9424798867340898,-0.9424798867340897
2016-01-11,air_4d71826793c09b22,0,1,0,0,0,0,0,-1.0166145807709606,-1.1441002713130253,1.0,-0.4860761975631718,-0.9193005280223954,1,20.0,1,1,-1.3085188874470368,-1.3085188874470368
2016-01-12,air_4d71826793c09b22,0,0,0,0,0,1,0,-1.479757054790573,-1.6905362217908881,0.0,-1.3054345030822314,-1.2669414774945968,1,19.0,1,1,-1.3628988931591215,-1.3628988931591215
2016-01-13,air_4d71826793c09b22,0,0,0,0,0,0,1,-1.367100777326343,-1.2434522623090005,0.0,0.8546919387407438,-1.4827186185463084,1,21.0,1,1,-1.1566652865906495,-1.1566652865906495
2016-01-14,air_4d71826793c09b22,0,0,0,0,1,0,0,-1.154305586560575,-1.0323292814425533,0.0,0.9540080969854784,-1.3508548101258182,1,18.0,1,1,-1.0630393333599377,-1.0630393333599377
2016-01-15,air_4d71826793c09b22,1,0,0,0,0,0,0,-1.204375043211344,-1.0944242758150378,0.0,0.7057177013736422,-1.1350776690741067,1,18.0,1,1,-0.7839570398941449,-0.7839570398941448
2016-01-16,air_4d71826793c09b22,0,0,1,0,0,0,0,-1.091718765747114,-0.9826532859445658,0.0,0.9540080969854784,-1.1590529069687412,1,19.0,1,1,-0.6349250431077242,-0.6349250431077241
2016-01-17,air_4d71826793c09b22,0,0,0,1,0,0,0,-1.1793403148859596,-1.3800612499284661,0.0,-0.535734276685539,-1.0991148122321548,1,19.0,1,1,-1.244135012759616,-1.2441350127596158
2016-01-18,air_4d71826793c09b22,0,1,0,0,0,0,0,-1.5548612397667265,-1.6781172229163912,0.0,-0.9578279492256606,-1.3508548101258182,1,15.0,1,1,-1.5303995711307785,-1.5303995711307785
2016-01-19,air_4d71826793c09b22,0,0,0,0,0,1,0,-1.266961864024805,-1.3800612499284661,0.0,0.9540080969854784,-1.2669414774945968,1,25.0,1,1,-1.291589263027237,-1.291589263027237
2016-01-20,air_4d71826793c09b22,0,0,0,0,0,0,1,-1.3921355056517275,-1.3179662555559817,0.0,0.9788371365466619,-1.4587433806516736,1,21.0,1,1,-1.1653866082614557,-1.1653866082614555
2016-01-21,air_4d71826793c09b22,0,0,0,0,1,0,0,-1.2294097715367283,-1.2682902600579942,0.0,0.531914424445357,-1.2549538585472797,1,18.0,1,1,-1.042262067026547,-1.0422620670265468
2016-01-22,air_4d71826793c09b22,1,0,0,0,0,0,0,-1.1793403148859596,-1.168938269062019,0.0,0.7057177013736422,-1.0152014796009337,1,19.0,1,1,-0.7311160909474965,-0.7311160909474965
2016-01-23,air_4d71826793c09b22,0,0,1,0,0,0,0,-1.4171702339771117,-1.6532792251673973,0.0,-1.255776423959864,-1.063151955390203,1,19.0,1,1,-0.6572413662065514,-0.6572413662065514
2016-01-24,air_4d71826793c09b22,0,0,0,1,0,0,0,-1.4922744189532653,-1.305547256681485,0.0,0.9291790574242949,-1.5186814753882603,1,18.0,1,1,-1.360333798550061,-1.3603337985500608
