visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hyōgo-ken Kōbe-shi Motomachidōri,total_area_visitors,total_genre_visitors
2016-01-02,air_7cf5a02c0e01b647,0,0,1,0,0,0,0,-0.8841392978892303,-0.8567118336267346,1.0,0.17317245001043832,-0.9563374763300818,1,20.0,1,1,-1.8273307267094985,-1.8273307267094985
2016-01-03,air_7cf5a02c0e01b647,0,0,0,1,0,0,0,-0.6236701329560457,-0.6465011684751707,1.0,0.4005632901288564,-0.6080734440031113,1,24.0,1,1,-1.6904879200440932,-1.6904879200440932
2016-01-04,air_7cf5a02c0e01b647,0,1,0,0,0,0,0,-0.528954072980342,-0.447968873609805,0.0,0.12264115220634533,-0.619682245080677,1,9.0,1,1,-1.4923456405044078,-1.4923456405044078
2016-01-05,air_7cf5a02c0e01b647,0,0,0,0,0,1,0,-0.7065466854347862,-0.9151036850577245,0.0,-1.0648443461898387,-0.5384206375377173,1,15.0,1,1,-1.361861700319737,-1.3618617003197369
2016-01-06,air_7cf5a02c0e01b647,0,0,0,0,0,0,1,-0.7183861929317493,-0.8216767227681405,0.0,-0.6858596126591416,-0.6080734440031113,1,4.0,1,1,-1.2975099715347043,-1.2975099715347043
2016-01-07,air_7cf5a02c0e01b647,0,0,0,0,1,0,0,-0.8486207753983417,-0.9267820553439226,0.0,-0.6100626659530023,-0.7125526537012025,1,14.0,1,1,-1.2280711495650842,-1.228071149565084
2016-01-08,air_7cf5a02c0e01b647,1,0,0,0,0,0,0,-0.9788553578649339,-1.0669224987782986,0.0,-0.9890473994836994,-0.8750758687871221,1,29.0,1,1,-0.8925773540415347,-0.8925773540415346
2016-01-09,air_7cf5a02c0e01b647,0,0,1,0,0,0,0,-1.0617319103436744,-1.0202090176335066,0.0,0.8048136725616,-1.0375990838730418,1,31.0,1,1,-0.6336443109460279,-0.6336443109460279
2016-01-10,air_7cf5a02c0e01b647,0,0,0,1,0,0,0,-0.9788553578649339,-0.9501387959163186,0.0,0.17317245001043832,-0.9679462774076474,1,27.0,1,1,-0.9203020118975369,-0.9203020118975368
2016-01-11,air_7cf5a02c0e01b647,0,1,0,0,0,0,0,-0.9196578203801192,-0.9734955364887145,1.0,-0.3574061769325376,-0.8054230623217279,1,15.0,1,1,-1.2832661106178591,-1.2832661106178591
2016-01-12,air_7cf5a02c0e01b647,0,0,0,0,0,1,0,-1.0617319103436744,-1.1837062016402784,0.0,-0.05421839010797998,-1.0375990838730418,1,13.0,1,1,-1.3371892983744873,-1.3371892983744873
2016-01-13,air_7cf5a02c0e01b647,0,0,0,0,0,0,1,-1.2630035377920448,-1.2187413124988722,0.0,-1.039578697287792,-1.1188606914160013,1,15.0,1,1,-1.1326881523540675,-1.1326881523540673
2016-01-14,air_7cf5a02c0e01b647,0,0,0,0,1,0,0,-1.2748430452890076,-1.1253143502092884,0.0,-0.10474968791207295,-1.2233399011140926,1,10.0,1,1,-1.0398487017353446,-1.0398487017353444
2016-01-15,air_7cf5a02c0e01b647,1,0,0,0,0,0,0,-1.20380600030723,-1.1720278313540802,0.0,0.905876268169786,-1.1188606914160013,1,25.0,1,1,-0.7631108324937813,-0.7631108324937812
2016-01-16,air_7cf5a02c0e01b647,0,0,1,0,0,0,0,-1.168287477816341,-1.0902792393506944,0.0,-0.05421839010797998,-1.1420782935711327,1,31.0,1,1,-0.6153307754815127,-0.6153307754815127
2016-01-17,air_7cf5a02c0e01b647,0,0,0,1,0,0,0,-1.1090899403315264,-1.2070629422126742,0.0,-0.6100626659530023,-1.1536870946486986,1,15.0,1,1,-1.2194230911512853,-1.219423091151285
2016-01-18,air_7cf5a02c0e01b647,0,1,0,0,0,0,0,-0.8959788053861935,-0.9034253147715267,0.0,-1.039578697287792,-1.211731100036527,1,16.0,1,1,-1.5032828908512712,-1.503282890851271
2016-01-19,air_7cf5a02c0e01b647,0,0,0,0,0,1,0,-1.618188762700933,-1.604127531943406,0.0,0.29950069452067063,-1.4903423258981032,1,19.0,1,1,-1.2664787031087203,-1.2664787031087201
2016-01-20,air_7cf5a02c0e01b647,0,0,0,0,0,0,1,-1.4524356577434518,-1.3121682747884562,0.0,0.6279541302472744,-1.4903423258981032,1,28.0,1,1,-1.1413362107678664,-1.1413362107678662
