visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Kōtō-ku Kameido,total_area_visitors,total_genre_visitors
2016-01-03,air_4cca5666eaf5c709,0,0,0,1,0,0,0,-0.7298683626217359,-0.4274624580288256,1.0,0.7464891226314518,-1.002704515339267,1,34.0,1,1,-1.7009584115519756,-1.7009584115519756
2016-01-04,air_4cca5666eaf5c709,0,1,0,0,0,0,0,-0.742417783848294,-0.5520957328445886,0.0,0.8960005348895393,-0.8345432378459015,1,21.0,1,1,-1.501849923570666,-1.501849923570666
2016-01-05,air_4cca5666eaf5c709,0,0,0,0,0,1,0,-0.52907762299681,-0.5271690778814359,0.0,0.7714076913411331,-0.7504625990992188,1,28.0,1,1,-1.3707296997780962,-1.3707296997780962
2016-01-06,air_4cca5666eaf5c709,0,0,0,0,0,0,1,-0.7800660475279675,-1.0381655046260643,0.0,-1.321752080272093,-0.5102322026801251,1,19.0,1,1,-1.3060641703053475,-1.3060641703053475
2016-01-07,air_4cca5666eaf5c709,0,0,0,0,1,0,0,-0.8051648899810834,-0.8387522649208434,0.0,-0.12566078220739246,-0.8225317180249468,1,27.0,1,1,-1.2362867412695355,-1.2362867412695355
2016-01-08,air_4cca5666eaf5c709,1,0,0,0,0,0,0,-1.0436038932856826,-1.0880188145523695,0.0,0.8461633974701765,-0.9906929955183124,1,41.0,1,1,-0.8991569650855208,-0.8991569650855208
2016-01-09,air_4cca5666eaf5c709,0,0,1,0,0,0,0,-0.9808567871528934,-1.0007755221813355,0.0,0.8960005348895393,-1.0267275549811763,1,50.0,1,1,-0.6389612773256065,-0.6389612773256065
2016-01-10,air_4cca5666eaf5c709,0,0,0,1,0,0,0,-0.9055602597935462,-0.8387522649208434,0.0,0.9458376723089017,-1.0747736342649952,1,42.0,1,1,-0.9270168177042148,-0.927016817704215
2016-01-11,air_4cca5666eaf5c709,0,1,0,0,0,0,0,-1.0059556296060093,-1.1378721244786747,1.0,-0.4994393128526114,-0.9066123567716297,1,19.0,1,1,-1.2917508515287706,-1.2917508515287706
2016-01-12,air_4cca5666eaf5c709,0,0,0,0,0,1,0,-1.4702842149886501,-1.686258533668032,0.0,-1.321752080272093,-1.2549464315793153,1,25.0,1,1,-1.34593698689724,-1.34593698689724
2016-01-13,air_4cca5666eaf5c709,0,0,0,0,0,0,1,-1.3573394239496293,-1.2375787443312851,0.0,0.8461633974701765,-1.4711537883564996,1,31.0,1,1,-1.1404386244621014,-1.1404386244621014
2016-01-14,air_4cca5666eaf5c709,0,0,0,0,1,0,0,-1.1439992630981457,-1.0257021771444879,0.0,0.9458376723089017,-1.339027070325998,1,25.0,1,1,-1.0471464574361988,-1.0471464574361988
2016-01-15,air_4cca5666eaf5c709,1,0,0,0,0,0,0,-1.1941969480043773,-1.0880188145523695,0.0,0.696651985212089,-1.1228197135488138,1,50.0,1,1,-0.7690591212055636,-0.7690591212055636
2016-01-16,air_4cca5666eaf5c709,0,0,1,0,0,0,0,-1.0812521569653564,-0.9758488672181826,0.0,0.9458376723089017,-1.146842753190723,1,39.0,1,1,-0.6205584388985791,-0.6205584388985792
2016-01-17,air_4cca5666eaf5c709,0,0,0,1,0,0,0,-1.1690981055512613,-1.3746753466286246,0.0,-0.5492764502719738,-1.0867851540859497,1,44.0,1,1,-1.227596512012328,-1.227596512012328
2016-01-18,air_4cca5666eaf5c709,0,1,0,0,0,0,0,-1.5455807423479975,-1.6737952061864558,0.0,-0.9728921183365553,-1.339027070325998,1,16.0,1,1,-1.5128405076312519,-1.5128405076312519
2016-01-19,air_4cca5666eaf5c709,0,0,0,0,0,1,0,-1.2569440541371666,-1.3746753466286246,0.0,0.9458376723089017,-1.2549464315793153,1,29.0,1,1,-1.2748815829706621,-1.2748815829706621
2016-01-20,air_4cca5666eaf5c709,0,0,0,0,0,0,1,-1.3824382664027453,-1.312358709220743,0.0,0.9707562410185828,-1.4471307487145901,1,41.0,1,1,-1.1491288537193087,-1.1491288537193087
