visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-01-05,air_539d693f7317c62d,0,0,0,0,0,1,0,-0.8957219490142052,-0.9573165690727865,0.0,-0.4315794029736645,-0.7564720108026655,1,9.0,1,1,-1.4385277160545529,-1.4385277160545529
2016-01-06,air_539d693f7317c62d,0,0,0,0,0,0,1,-0.9907284331401659,-0.8768235600125622,0.0,-0.6680746759569655,-0.9995206876328234,1,2.0,1,1,-1.3750595582714575,-1.3750595582714575
2016-01-07,air_539d693f7317c62d,0,0,0,0,1,0,0,-1.0026042436559106,-1.1527995910761883,0.0,-0.19508412999036376,-0.837488236412718,1,6.0,1,1,-1.306574154813809,-1.306574154813809
2016-01-08,air_539d693f7317c62d,1,0,0,0,0,0,0,-1.0026042436559106,-0.9918135729557399,0.0,-0.11625237232926328,-0.9185044620227707,1,12.0,1,1,-0.9756868025770385,-0.9756868025770385
2016-01-09,air_539d693f7317c62d,0,0,1,0,0,0,0,-1.1213623488133615,-1.0953045846045995,0.0,0.14652015320773767,-1.0110944341485453,1,16.0,1,1,-0.7203089977422908,-0.7203089977422908
2016-01-10,air_539d693f7317c62d,0,0,0,1,0,0,0,-1.0144800541716559,-0.8768235600125622,0.0,-0.1688068774366635,-1.0573894202114325,1,18.0,1,1,-1.0030307915033525,-1.0030307915033525
2016-01-11,air_539d693f7317c62d,0,1,0,0,0,0,0,-1.3351269380967727,-1.4057776195511793,1.0,-0.6155201708495652,-1.1152581527900416,1,14.0,1,1,-1.361011270382709,-1.361011270382709
2016-01-13,air_539d693f7317c62d,0,0,0,0,0,0,1,-1.1451139698448516,-1.0033125742500575,0.0,0.3830154261910384,-1.2888643505258686,1,7.0,1,1,-1.2125007984159402,-1.2125007984159402
2016-01-14,air_539d693f7317c62d,0,0,0,0,1,0,0,-1.204493022423577,-1.2907876066080015,0.0,-0.011143362114463033,-1.080536913242876,1,12.0,1,1,-1.120936064855348,-1.120936064855348
2016-01-15,air_539d693f7317c62d,1,0,0,0,0,0,0,-1.370754369644008,-1.3137856091966371,0.0,-0.4053021504199645,-1.2078481249158162,1,14.0,1,1,-0.8479979001596647,-0.8479979001596647
2016-01-16,air_539d693f7317c62d,0,0,1,0,0,0,0,-1.4657608537699687,-1.4287756221398147,0.0,-0.4578566555273646,-1.3120118435573123,1,9.0,1,1,-0.7022469133139,-0.7022469133139
2016-01-17,air_539d693f7317c62d,0,0,0,1,0,0,0,-1.2876236960337926,-1.267789604019366,0.0,-0.03742061466816304,-1.393028069167365,1,13.0,1,1,-1.298044837167069,-1.298044837167069
2016-01-19,air_539d693f7317c62d,0,0,0,0,0,1,0,-1.168865590876342,-1.267789604019366,0.0,-0.9834017066013665,-1.022668180664267,1,9.0,1,1,-1.3444543596566843,-1.3444543596566843
2016-01-20,air_539d693f7317c62d,0,0,0,0,0,0,1,-1.204493022423577,-1.2447916014307305,0.0,0.7246197093891397,-1.265716857494425,1,15.0,1,1,-1.2210301160626804,-1.2210301160626804
