visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,total_area_visitors,total_genre_visitors
2016-01-02,air_dfad598ff642dab7,0,0,1,0,0,0,0,-0.674873300217471,-0.5941301728353087,1.0,-0.7702104959805103,-0.7557089194484807,1,25.0,1,1,-1.8356054724786839,-1.8356054724786839
2016-01-03,air_dfad598ff642dab7,0,0,0,1,0,0,0,-0.8164579192568856,-0.9470813683391845,1.0,-0.8451368308405391,-0.8446461416438681,1,19.0,1,1,-1.6991425050890812,-1.6991425050890812
2016-01-04,air_dfad598ff642dab7,0,1,0,0,0,0,0,-1.059174409038739,-1.0138559188399179,0.0,-0.7702104959805103,-1.0818120674982339,1,22.0,1,1,-1.5015502158762553,-1.5015502158762553
2016-01-05,air_dfad598ff642dab7,0,0,0,0,0,1,0,-1.1198535314842022,-1.1092481338409654,0.0,-0.320652486820338,-1.1213397218072951,1,14.0,1,1,-1.3714284644434187,-1.3714284644434187
2016-01-06,air_dfad598ff642dab7,0,0,0,0,0,0,1,-1.0086084736675194,-0.8993852608386608,0.0,-0.6703087161671387,-1.269568425466274,1,10.0,1,1,-1.3072553589609475,-1.3072553589609475
2016-01-07,air_dfad598ff642dab7,0,0,0,0,1,0,0,-1.0288348478160072,-1.128326576841175,0.0,-0.870112275793882,-0.9335833638392552,1,9.0,1,1,-1.2380092807130638,-1.2380092807130636
2016-01-08,air_dfad598ff642dab7,1,0,0,0,0,0,0,-0.9782689124447878,-0.9089244823387655,0.0,-0.4205542666337096,-0.9039376231074594,1,25.0,1,1,-0.9034467268340939,-0.9034467268340939
2016-01-09,air_dfad598ff642dab7,0,0,1,0,0,0,0,-1.0996271573357144,-1.0710912478405465,0.0,0.1538809672931773,-1.1509854625390907,1,52.0,1,1,-0.6452324130745858,-0.6452324130745857
2016-01-10,air_dfad598ff642dab7,0,0,0,1,0,0,0,-1.0389480348902511,-0.9947774758397083,0.0,-0.04592259233356593,-0.8940557095301943,1,21.0,1,1,-0.9310944284055933,-0.9310944284055933
2016-01-11,air_dfad598ff642dab7,0,1,0,0,0,0,0,-1.3726832083402993,-1.5098954368453652,1.0,-1.2197685051406828,-1.1114578082300297,1,35.0,1,1,-1.293051035217792,-1.293051035217792
2016-01-12,air_dfad598ff642dab7,0,0,0,0,0,1,0,-1.3625700212660554,-1.3477286713435845,0.0,-0.4455297115870525,-1.3881513883934569,1,21.0,1,1,-1.3468245465311668,-1.3468245465311668
2016-01-13,air_dfad598ff642dab7,0,0,0,0,0,0,1,-1.231098589300885,-1.1569442413414892,0.0,0.253782747106549,-1.3881513883934569,1,27.0,1,1,-1.142891041361575,-1.142891041361575
2016-01-14,air_dfad598ff642dab7,0,0,0,0,1,0,0,-0.9782689124447878,-1.042473583340232,0.0,-1.169817615233997,-0.8940557095301943,1,7.0,1,1,-1.0503092883927927,-1.0503092883927925
2016-01-15,air_dfad598ff642dab7,1,0,0,0,0,0,0,-1.2917777117463483,-1.3763463358438985,0.0,-0.6453332712137958,-1.269568425466274,1,48.0,1,1,-0.7743395699543398,-0.7743395699543397
2016-01-16,air_dfad598ff642dab7,0,0,1,0,0,0,0,-1.4030227695630308,-1.2427972348424319,0.0,0.7782670911267503,-1.5660258327842314,1,32.0,1,1,-0.6269697111190999,-0.6269697111190998
2016-01-17,air_dfad598ff642dab7,0,0,0,1,0,0,0,-1.2917777117463483,-1.195101127341908,0.0,-0.29567704186699506,-1.279450339043539,1,15.0,1,1,-1.2293852270118621,-1.2293852270118621
2016-01-18,air_dfad598ff642dab7,0,1,0,0,0,0,0,-1.129966718558446,-0.9756990328394989,0.0,-0.4954806014937383,-1.4968524377433745,1,34.0,1,1,-1.5124571073218926,-1.5124571073218926
2016-01-21,air_dfad598ff642dab7,0,0,0,0,1,0,0,-0.8366842934053733,-1.042473583340232,0.0,-1.169817615233997,-0.5580706479031757,1,38.0,1,1,-1.029763748692871,-1.029763748692871
