visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Nerima-ku Toyotamakita,total_area_visitors,total_genre_visitors
2016-01-06,air_bf7591560077332d,0,0,0,0,0,0,1,-0.7747703672483184,-1.0597602399238855,0.0,-1.2691665653180249,-0.5632221176746792,1,13.0,1,1,-1.238182182593894,-1.2381821825938941
2016-01-07,air_bf7591560077332d,0,0,0,0,1,0,0,-0.8357349293002924,-0.7714638509173946,0.0,0.19890942822856297,-0.8857456199021548,1,8.0,1,1,-1.1707599687349586,-1.1707599687349588
2016-01-08,air_bf7591560077332d,1,0,0,0,0,0,0,-1.103979002328978,-1.107809638091634,0.0,0.9453887469810652,-1.0354886745077685,1,10.0,1,1,-0.8450094189916043,-0.8450094189916044
2016-01-09,air_bf7591560077332d,0,0,1,0,0,0,0,-1.0795931775081884,-1.011710841756137,0.0,0.9453887469810652,-1.2082691221296304,1,16.0,1,1,-0.593596181964512,-0.5935961819645121
2016-01-10,air_bf7591560077332d,0,0,0,1,0,0,0,-0.9454711409938454,-0.7234144527496462,0.0,0.9702713909394819,-1.1852317291133823,1,3.0,1,1,-0.8719289109719118,-0.8719289109719119
2016-01-11,air_bf7591560077332d,0,1,0,0,0,0,0,-0.9820498782250299,-1.119821987633571,1.0,-0.3485087388566054,-0.9203017094265272,1,1.0,1,1,-1.2243519848792406,-1.2243519848792406
2016-01-12,air_bf7591560077332d,0,0,0,0,0,1,0,-1.4088018125888477,-1.696414765646553,0.0,-1.2940492092764415,-1.2197878186377544,1,7.0,1,1,-1.2767091619418571,-1.2767091619418571
2016-01-13,air_bf7591560077332d,0,0,0,0,0,0,1,-1.3844159877680582,-1.2639701821368168,0.0,0.8707408151058149,-1.4271243557839888,1,3.0,1,1,-1.0781470376100475,-1.0781470376100475
2016-01-14,air_bf7591560077332d,0,0,0,0,1,0,0,-1.1893293892017414,-0.9276243949625772,0.0,0.9453887469810652,-1.3580121767352442,1,4.0,1,1,-0.9880037846484672,-0.9880037846484673
2016-01-15,air_bf7591560077332d,1,0,0,0,0,0,0,-1.1283648271497673,-1.119821987633571,0.0,0.42285322385431373,-0.9894138884752719,1,5.0,1,1,-0.7193028004780582,-0.7193028004780583
2016-01-16,air_bf7591560077332d,0,0,1,0,0,0,0,-1.0064357030458193,-1.0237231912980742,0.0,0.8458581711473983,-1.0354886745077685,1,10.0,1,1,-0.5758144991885291,-0.5758144991885292
2016-01-19,air_bf7591560077332d,0,0,0,0,0,1,0,-1.2990656008952948,-1.3720813280142505,0.0,1.0200366788563158,-1.2197878186377544,1,9.0,1,1,-1.2080521090012561,-1.2080521090012564
2016-01-20,air_bf7591560077332d,0,0,0,0,0,0,1,-1.4209947249992427,-1.3720813280142505,0.0,1.0200366788563158,-1.3925682662596164,1,7.0,1,1,-1.0865439433653727,-1.0865439433653727
2016-01-21,air_bf7591560077332d,0,0,0,0,1,0,0,-1.2502939512537152,-1.2759825316787539,0.0,0.7214449513553145,-1.4156056592758648,1,1.0,1,1,-0.9679993915254864,-0.9679993915254864
2016-01-22,air_bf7591560077332d,1,0,0,0,0,0,0,-1.1649435643809518,-1.2159207839690682,0.0,0.8707408151058149,-0.9318204059346513,1,2.0,1,1,-0.6684274303134403,-0.6684274303134404
2016-01-23,air_bf7591560077332d,0,0,1,0,0,0,0,-1.335644338126479,-1.5402542216013704,0.0,-1.070105413650691,-0.9778951919671478,1,11.0,1,1,-0.5973006992095085,-0.5973006992095086
2016-01-25,air_bf7591560077332d,0,1,0,0,0,0,0,-1.5673096739239802,-1.396106027098125,0.0,1.1195672546899822,-1.6805356789627195,1,8.0,1,1,-1.2981953619628364,-1.2981953619628366
2016-01-26,air_bf7591560077332d,0,0,0,0,0,1,0,-1.457573462230427,-1.1798837353432567,0.0,0.8707408151058149,-1.5883861068977267,1,2.0,1,1,-1.1305042146726638,-1.130504214672664
2016-01-27,air_bf7591560077332d,0,0,0,0,0,0,1,-1.1161719147393727,-0.7474391518335204,0.0,1.0449193228147324,-1.4847178383246096,1,8.0,1,1,-0.9833113961381383,-0.9833113961381384
2016-01-28,air_bf7591560077332d,0,0,0,0,1,0,0,-0.9698569658146351,-0.6633527050399607,0.0,1.0698019667731489,-1.3234560872108716,1,12.0,1,1,-0.9887446880974665,-0.9887446880974666
2016-01-29,air_bf7591560077332d,1,0,0,0,0,0,0,-1.2015223016121364,-1.4801924738916847,0.0,-1.2940492092764415,-0.9203017094265272,1,12.0,1,1,-0.8499487753182663,-0.8499487753182663
2016-01-30,air_bf7591560077332d,0,0,1,0,0,0,0,-1.3844159877680582,-1.720439464730427,0.0,-1.2940492092764415,-1.058526067524017,1,8.0,1,1,-0.5572919129635469,-0.557291912963547
