visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Ōsaka-fu Higashiōsaka-shi Aramotokita,total_area_visitors,total_genre_visitors
2016-01-05,air_1c95a84924d72500,0,0,0,0,0,1,0,-0.7377570503087372,-0.9058883228760299,0.0,-0.6598512589082991,-0.5433586278945084,1,16.0,1,1,-1.3710345220133375,-1.3710345220133375
2016-01-06,air_1c95a84924d72500,0,0,0,0,0,0,1,-0.7607023857390458,-0.8184011153066566,0.0,-0.447410707973737,-0.5891446034410144,1,23.0,1,1,-1.3064976625248474,-1.3064976625248477
2016-01-07,air_1c95a84924d72500,0,0,0,0,1,0,0,-0.9557377368966691,-1.0371191342300898,0.0,-1.1112874296442437,-0.8180744811735449,1,15.0,1,1,-1.236859075013552,-1.2368590750135522
2016-01-08,air_1c95a84924d72500,1,0,0,0,0,0,0,-1.0589917463330578,-1.244901252207352,0.0,-0.9519570164433221,-0.8981999383799305,1,18.0,1,1,-0.9004001119095273,-0.9004001119095274
2016-01-09,air_1c95a84924d72500,0,0,1,0,0,0,0,-1.1278277526239837,-1.004311431391575,0.0,0.9068978042340967,-1.1271298161124612,1,31.0,1,1,-0.6407221555487258,-0.6407221555487259
2016-01-10,air_1c95a84924d72500,0,0,0,1,0,0,0,-1.0360464109027494,-1.0917986389609482,0.0,0.8537876665004559,-0.9668789016996897,1,23.0,1,1,-0.9282045296338174,-0.9282045296338176
2016-01-11,air_1c95a84924d72500,0,1,0,0,0,0,0,-1.0016284077572863,-0.9824396294992316,1.0,0.057135600495848156,-0.8981999383799305,1,25.0,1,1,-1.292212824060992,-1.2922128240609922
2016-01-12,air_1c95a84924d72500,0,0,0,0,0,1,0,-1.1507730880542921,-1.1355422427456352,0.0,0.11024573822948873,-1.1271298161124612,1,15.0,1,1,-1.3462911411027307,-1.3462911411027307
2016-01-13,air_1c95a84924d72500,0,0,0,0,0,0,1,-1.2999177683512984,-1.1902217474764936,0.0,-0.6332961900414789,-1.1958087794322203,1,16.0,1,1,-1.1412016745859483,-1.1412016745859486
2016-01-14,air_1c95a84924d72500,0,0,0,0,1,0,0,-1.2999177683512984,-1.2230294503150085,0.0,0.030580531629027744,-1.1843622855455935,1,10.0,1,1,-1.0480951381697474,-1.0480951381697476
2016-01-15,air_1c95a84924d72500,1,0,0,0,0,0,0,-1.2654997652058353,-1.2230294503150085,0.0,1.0927832863018385,-1.241594754978726,1,16.0,1,1,-0.7705611337291266,-0.7705611337291267
2016-01-16,air_1c95a84924d72500,0,0,1,0,0,0,0,-1.2081364266300638,-1.1683499455841502,0.0,0.08369066936266832,-1.150022803885714,1,28.0,1,1,-0.6223559346666259,-0.622355934666626
2016-01-17,air_1c95a84924d72500,0,0,0,1,0,0,0,-1.0704644140482122,-1.1683499455841502,0.0,-0.20841508817235452,-1.0355578650194488,1,19.0,1,1,-1.2281861373747827,-1.2281861373747827
2016-01-18,air_1c95a84924d72500,0,1,0,0,0,0,0,-0.9442650691815148,-1.1355422427456352,0.0,-1.3237279805788058,-1.012664877246196,1,3.0,1,1,-1.5128625610473312,-1.5128625610473314
2016-01-19,air_1c95a84924d72500,0,0,0,0,0,1,0,-1.6785158029513905,-1.8026322004621071,0.0,-0.8988468787096815,-1.539203596031016,1,14.0,1,1,-1.2753771215857337,-1.275377121585734
2016-01-20,air_1c95a84924d72500,0,0,0,0,0,0,1,-1.5408437903695387,-1.4526833701846136,0.0,-1.0847323607774233,-1.539203596031016,1,9.0,1,1,-1.1498746122247177,-1.1498746122247179
2016-01-21,air_1c95a84924d72500,0,0,0,0,1,0,0,-1.3916991100725329,-1.3542602616690687,0.0,-0.447410707973737,-1.2301482610921,1,9.0,1,1,-1.027433139677385,-1.027433139677385
2016-01-22,air_1c95a84924d72500,1,0,0,0,0,0,0,-1.368753774642224,-1.266773054099695,0.0,0.11024573822948873,-1.241594754978726,1,6.0,1,1,-0.7180133350942296,-0.7180133350942297
2016-01-23,air_1c95a84924d72500,0,0,1,0,0,0,0,-1.43758978093315,-1.376132063561412,0.0,-1.1112874296442437,-1.321720212185112,1,19.0,1,1,-0.64454845156583,-0.6445484515658301
