visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-07-01,air_fee8dcf4d619598e,1,0,0,0,0,0,0,0.8829684848121868,0.8903916103027095,0.0,0.9612755296639183,0.8403959410624798,1,18.0,1,1,1.4316066356202033,1.431606635620204
2016-07-02,air_fee8dcf4d619598e,0,0,1,0,0,0,0,1.0556223671198381,0.9541233819929894,0.0,1.5902307486087552,1.1372026230543815,1,31.0,1,1,1.5910057943622236,1.5910057943622244
2016-07-03,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.109576705340979,1.060343001476789,0.0,0.9874819971199531,1.1478028616969491,1,41.0,1,1,-0.39919566371099185,-0.3991956637109913
2016-07-04,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.1851127788505762,1.2515383165476281,0.0,0.8564496598397786,1.1266023844118134,1,16.0,1,1,-1.1725485200000283,-1.1725485200000278
2016-07-05,air_fee8dcf4d619598e,0,0,0,0,0,1,0,1.2390671170717171,1.2834042023927676,0.0,1.5902307486087552,1.2220045321949244,1,31.0,1,1,-0.5040635313044263,-0.5040635313044257
2016-07-06,air_fee8dcf4d619598e,0,0,0,0,0,0,1,1.1311584406294353,1.017855153683269,0.0,1.2757531391363368,1.2432050094800606,1,24.0,1,1,-0.04340758929399435,-0.04340758929399377
2016-07-07,air_fee8dcf4d619598e,0,0,0,0,1,0,0,1.1527401759178917,1.1559406590122088,0.0,1.9833277604492785,1.1690033389820849,1,30.0,1,1,-0.11052302455379238,-0.11052302455379182
2016-07-08,air_fee8dcf4d619598e,1,0,0,0,0,0,0,0.9477136906775561,0.8585257244575696,0.0,-1.4759259437473267,0.9357980888455909,1,39.0,1,1,1.2249216020360525,1.2249216020360532
2016-07-09,air_fee8dcf4d619598e,0,0,1,0,0,0,0,0.667151131927623,0.47613509431589157,0.0,-0.9517965946266289,0.7767945092070722,1,47.0,1,1,1.529610424607522,1.5296104246075228
2016-07-10,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.0340406318313813,0.9966112297865091,0.0,0.3847332456311504,1.0312002366287023,1,32.0,1,1,-0.2382711541676125,-0.23827115416761194
2016-07-11,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.0879949700525222,1.1878065448573483,0.0,0.20128797343890636,1.0948016684841095,1,9.0,1,1,-1.2232664341452166,-1.2232664341452162
2016-07-12,air_fee8dcf4d619598e,0,0,0,0,0,1,0,1.0772041024082943,0.9116355341994694,0.0,-1.2662742040990476,1.1584031003395172,1,34.0,1,1,-0.48881002329083584,-0.4888100232908353
2016-07-13,air_fee8dcf4d619598e,0,0,0,0,0,0,1,0.9800862936102404,0.7098182571802505,0.0,-1.4759259437473267,1.1478028616969491,1,12.0,1,1,-0.4152118471252619,-0.4152118471252613
2016-07-14,air_fee8dcf4d619598e,0,0,0,0,1,0,0,0.9692954259660124,1.0815869253735488,0.0,0.27990737580701097,0.9675988047732947,1,8.0,1,1,-0.19556133172955922,-0.19556133172955864
2016-07-15,air_fee8dcf4d619598e,1,0,0,0,0,0,0,0.8290141465910459,0.8372818005608098,0.0,-1.161448334274908,0.9251978502030233,1,28.0,1,1,1.0090844636437475,1.0090844636437482
2016-07-16,air_fee8dcf4d619598e,0,0,1,0,0,0,0,0.958504558321784,0.8797696483543298,0.0,-0.7159383875223149,0.9039973729178871,1,36.0,1,1,1.4697404056541794,1.46974040565418
2016-07-17,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.1419493082736634,1.0709649634251686,0.0,-1.213861269186978,1.1266023844118134,1,41.0,1,1,0.5278362858149684,0.5278362858149691
2016-07-18,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.120367572985207,1.060343001476789,1.0,0.8302431923837438,1.1266023844118134,1,39.0,1,1,-1.0249708299685405,-1.02497082996854
2016-07-19,air_fee8dcf4d619598e,0,0,0,0,0,1,0,1.1527401759178917,1.1240747731670684,0.0,1.9571212929932438,1.0312002366287023,1,27.0,1,1,-0.8465047862095322,-0.8465047862095316
2016-07-20,air_fee8dcf4d619598e,0,0,0,0,0,0,1,1.1311584406294353,1.1665626209605882,0.0,2.088153630273418,1.04180047527127,1,13.0,1,1,-0.35686717897327835,-0.3568671789732778
2016-07-21,air_fee8dcf4d619598e,0,0,0,0,1,0,0,1.0987858376967508,1.1665626209605882,0.0,1.170927269312197,1.052400713913838,1,14.0,1,1,-0.1322592734731588,-0.13225927347315822
2016-07-22,air_fee8dcf4d619598e,1,0,0,0,0,0,0,1.1311584406294353,1.2515383165476281,0.0,1.5902307486087552,1.0312002366287023,1,41.0,1,1,1.073911872701507,1.0739118727015076
2016-07-23,air_fee8dcf4d619598e,0,0,1,0,0,0,0,1.0232497641871534,1.092208887321929,0.0,1.4854048787846161,1.052400713913838,1,41.0,1,1,1.395379554087926,1.3953795540879266
2016-07-24,air_fee8dcf4d619598e,0,0,0,1,0,0,0,0.9477136906775561,0.8903916103027095,0.0,-0.7159383875223149,0.9993995207009985,1,42.0,1,1,-0.4216945880310378,-0.42169458803103727
2016-07-25,air_fee8dcf4d619598e,0,1,0,0,0,0,0,0.9369228230333277,0.7098182571802505,0.0,-1.4759259437473267,1.1266023844118134,1,32.0,1,1,-1.0764514195144084,-1.076451419514408
2016-07-26,air_fee8dcf4d619598e,0,0,0,0,0,1,0,0.8613867495237305,0.6248425615932107,0.0,-1.4235130088352568,0.9993995207009985,1,18.0,1,1,-0.3324615661515336,-0.33246156615153305
2016-07-27,air_fee8dcf4d619598e,0,0,0,0,0,0,1,1.0340406318313813,0.9328794580962296,0.0,0.5681785178233947,1.1054019071266776,1,20.0,1,1,-0.1253951948670431,-0.1253951948670425
2016-07-28,air_fee8dcf4d619598e,0,0,0,0,1,0,0,1.16353104356212,1.0815869253735488,0.0,1.3543725415044416,1.2220045321949244,1,33.0,1,1,0.1037887630371536,0.1037887630371542
2016-07-29,air_fee8dcf4d619598e,1,0,0,0,0,0,0,1.16353104356212,1.1771845829089682,0.0,1.1185143344001276,1.2008040549097887,1,33.0,1,1,1.32483207952507,1.3248320795250708
2016-07-30,air_fee8dcf4d619598e,0,0,1,0,0,0,0,1.1743219112063479,1.315270088237908,0.0,1.5640242811527205,1.2220045321949244,1,46.0,1,1,1.4453347928324347,1.4453347928324354
2016-07-31,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.1743219112063479,1.1878065448573483,0.0,1.0136884645759878,1.1690033389820849,1,29.0,1,1,-0.3759340639902664,-0.37593406399026585
2016-08-01,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.2822305876486297,1.3683798979798079,0.0,0.8040367249277085,1.2220045321949244,1,18.0,1,1,-1.1321267237640136,-1.1321267237640131
2016-08-02,air_fee8dcf4d619598e,0,0,0,0,0,1,0,1.2822305876486297,1.2834042023927676,0.0,0.6730043876475341,1.317406679978036,1,14.0,1,1,-0.7698559084412401,-0.7698559084412396
2016-08-03,air_fee8dcf4d619598e,0,0,0,0,0,0,1,1.2714397200044019,1.3365140121346675,0.0,1.0923078669440927,1.2114042935523568,1,20.0,1,1,-0.31034397953182746,-0.31034397953182685
2016-08-04,air_fee8dcf4d619598e,0,0,0,0,1,0,0,1.2606488523601735,1.3258920501862874,0.0,1.432991943872546,1.2856059640503321,1,35.0,1,1,-0.18030782371596876,-0.18030782371596818
2016-08-05,air_fee8dcf4d619598e,1,0,0,0,0,0,0,1.2390671170717171,1.379001859928187,0.0,1.4591984113285807,1.1372026230543815,1,31.0,1,1,0.8984965305452167,0.8984965305452173
2016-08-06,air_fee8dcf4d619598e,0,0,1,0,0,0,0,1.2498579847159452,1.4958434413603667,0.0,0.9612755296639183,1.2962062026929002,1,36.0,1,1,0.6498643499236921,0.6498643499236928
2016-08-07,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.3038123229370862,1.4321116696700869,0.0,1.5902307486087552,1.3280069186206036,1,19.0,1,1,-0.5784243828706798,-0.5784243828706793
2016-08-08,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.4009301317351401,1.6870387564312064,0.0,1.3805790089604764,1.2008040549097887,1,34.0,1,1,-1.1130598387470254,-1.113059838747025
2016-08-09,air_fee8dcf4d619598e,0,0,0,0,0,1,0,1.3469757935139992,1.5170873652571268,0.0,0.22749444089494114,1.3598076345483074,1,23.0,1,1,-0.25886338998595965,-0.2588633899859591
2016-08-10,air_fee8dcf4d619598e,0,0,0,0,0,0,1,1.2282762494274888,1.3896238218765673,0.0,1.66885015097686,1.1372026230543815,1,35.0,1,1,0.7718924140324158,0.7718924140324165
2016-08-11,air_fee8dcf4d619598e,0,0,0,0,1,0,0,1.217485381783261,1.2515383165476281,1.0,1.7212630858889297,1.0736011911989738,1,29.0,1,1,0.4530940965483752,0.4530940965483758
2016-08-12,air_fee8dcf4d619598e,1,0,0,0,0,0,0,1.1959036464948043,1.1240747731670684,0.0,1.8522954231691042,1.2114042935523568,1,31.0,1,1,0.008835675652552976,0.008835675652553563
2016-08-13,air_fee8dcf4d619598e,0,0,1,0,0,0,0,1.2390671170717171,1.1984285068057283,1.0,1.5640242811527205,1.275005725407764,1,41.0,1,1,0.1792936277044264,0.179293627704427
2016-08-14,air_fee8dcf4d619598e,0,0,0,1,0,0,0,1.2390671170717171,1.1665626209605882,1.0,0.8564496598397786,1.3704078731908755,1,35.0,1,1,-0.8850198939438481,-0.8850198939438476
2016-08-15,air_fee8dcf4d619598e,0,1,0,0,0,0,0,1.3038123229370862,1.2727822404443876,1.0,0.14887503852683653,1.4446095436888509,1,29.0,1,1,-1.4249940776249503,-1.42499407762495
