visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Toshima-ku Higashiikebukuro,total_area_visitors,total_genre_visitors
2016-07-01,air_3bd49f98ab7f36ab,1,0,0,0,0,0,0,1.1055505413684652,1.1786404969138122,0.0,-0.19321732409309494,1.0501604086316814,1,13.0,1,1,1.391026241520531,1.3910262415205312
2016-07-02,air_3bd49f98ab7f36ab,0,0,1,0,0,0,0,1.2685409146666866,1.3184843526219248,0.0,0.4716537791596261,1.2056681812595962,1,29.0,1,1,1.55195773071094,1.55195773071094
2016-07-03,air_3bd49f98ab7f36ab,0,0,0,1,0,0,0,1.5246686441353205,1.738015919746263,0.0,0.6578176880703878,1.3389605577978094,1,2.0,1,1,-0.45737586279323295,-0.4573758627932328
2016-07-04,air_3bd49f98ab7f36ab,0,1,0,0,0,0,0,1.3616782708370991,1.551557445468779,0.0,0.5248434674198436,1.2278835773492986,1,6.0,1,1,-1.2381630878605758,-1.2381630878605756
2016-07-05,air_3bd49f98ab7f36ab,0,0,0,0,0,1,0,0.6515059300377049,0.5959577647966755,0.0,-1.363390465817884,0.8502218438243618,1,10.0,1,1,-0.5632518425237651,-0.563251842523765
2016-07-06,air_3bd49f98ab7f36ab,0,0,0,0,0,0,1,0.8144963033359267,0.7474552751471307,0.0,-0.2730018564834216,0.8835449379589152,1,7.0,1,1,-0.0981675388347364,-0.09816753883473626
2016-07-07,air_3bd49f98ab7f36ab,0,0,0,0,1,0,0,1.3151095927518928,1.889513430096719,0.0,2.040749582836048,1.0390527105868301,1,6.0,1,1,-0.16592816586227702,-0.16592816586227688
2016-07-08,air_3bd49f98ab7f36ab,1,0,0,0,0,0,0,1.0706240328045604,1.0854112597750702,0.0,-0.8048987390855983,1.0612681066765326,1,18.0,1,1,1.1823543105607186,1.1823543105607186
2016-07-09,air_3bd49f98ab7f36ab,0,0,1,0,0,0,0,0.7330011166868156,0.5143821823002761,0.0,-1.363390465817884,0.8613295418692131,1,18.0,1,1,1.4899721571232465,1.4899721571232467
2016-07-10,air_3bd49f98ab7f36ab,0,0,0,1,0,0,0,1.1055505413684652,1.260216079410211,0.0,1.7482062974048502,0.8502218438243618,1,5.0,1,1,-0.29490435935219805,-0.29490435935219794
2016-07-11,air_3bd49f98ab7f36ab,0,1,0,0,0,0,0,1.384962609879702,1.5165964815417512,0.0,1.960965050445721,1.0834835027662346,1,2.0,1,1,-1.2893685616938877,-1.2893685616938877
2016-07-12,air_3bd49f98ab7f36ab,0,0,0,0,0,1,0,1.2801830841879884,1.3184843526219248,0.0,0.3120847143789729,1.3389605577978094,1,8.0,1,1,-0.5478517000175059,-0.5478517000175057
2016-07-13,air_3bd49f98ab7f36ab,0,0,0,0,0,0,1,1.0473396937619575,0.8290308576435301,0.0,-1.363390465817884,1.2167758793044474,1,6.0,1,1,-0.4735460124248051,-0.473546012424805
2016-07-14,air_3bd49f98ab7f36ab,0,0,0,0,1,0,0,1.1404770499323695,1.4466745536876946,0.0,-0.32619154474363926,0.9724065223177238,1,5.0,1,1,-0.2517839603346722,-0.2517839603346721
2016-07-15,air_3bd49f98ab7f36ab,1,0,0,0,0,0,0,0.7097167776442126,0.40949929051919165,0.0,-1.363390465817884,0.9390834281831706,1,14.0,1,1,0.9644422940971504,0.9644422940971505
2016-07-16,air_3bd49f98ab7f36ab,0,0,1,0,0,0,0,0.9309179985489421,0.8406845122858726,0.0,-0.9378729597361425,0.839114145779511,1,19.0,1,1,1.429526597786179,1.4295265977861793
2016-07-17,air_3bd49f98ab7f36ab,0,0,0,1,0,0,0,1.1404770499323695,0.9688747133516429,0.0,-1.3367956216877752,1.2278835773492986,1,12.0,1,1,0.4785677980246717,0.47856779802467186
2016-07-19,air_3bd49f98ab7f36ab,0,0,0,0,0,1,0,1.3034674232305914,1.376752625833638,0.0,0.28548987024886413,1.2389912753941497,1,7.0,1,1,-0.9089850417892849,-0.9089850417892846
2016-07-20,air_3bd49f98ab7f36ab,0,0,0,0,0,0,1,1.187045728017576,1.0970649144174127,0.0,-0.14002763583287745,1.1945604832147454,1,1.0,1,1,-0.41464046733836357,-0.4146404673383634
