visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-05,air_c8a657c8c5c93d69,0,0,0,0,0,1,0,-0.7278517363793999,-0.8794755052798163,0.0,-1.243698439038855,-0.5146476199038953,1,3.0,1,1,-1.3642854070371488,-1.3642854070371488
2016-01-06,air_c8a657c8c5c93d69,0,0,0,0,0,0,1,-0.7763968850908352,-0.9260265308077076,0.0,-1.243698439038855,-0.6454392740372126,1,2.0,1,1,-1.3034887225679808,-1.3034887225679808
2016-01-08,air_c8a657c8c5c93d69,1,0,0,0,0,0,0,-1.0191226286480104,-1.298434735030838,0.0,-1.243698439038855,-0.704890025915993,1,10.0,1,1,-0.9209261863034925,-0.9209261863034925
2016-01-09,air_c8a657c8c5c93d69,0,0,1,0,0,0,0,-0.9705774799365754,-1.2635214658849196,0.0,-1.192141054574252,-0.6573294244129687,1,2.0,1,1,-0.6762976298228085,-0.6762976298228085
2016-01-12,air_c8a657c8c5c93d69,0,0,0,0,0,1,0,-1.0191226286480104,-1.251883709502947,0.0,-1.1405836701096488,-0.9070225823038468,1,13.0,1,1,-1.34097600627229,-1.34097600627229
2016-01-13,air_c8a657c8c5c93d69,0,0,0,0,0,0,1,-1.2254395106716096,-1.4730010807604306,0.0,-0.9859115167158394,-1.0734846875644324,1,6.0,1,1,-1.1477723133346966,-1.1477723133346966
2016-01-14,air_c8a657c8c5c93d69,0,0,0,0,1,0,0,-1.1162129260708806,-1.298434735030838,0.0,-0.8054606710897285,-1.0021437853098958,1,7.0,1,1,-1.06006168159064,-1.06006168159064
2016-01-15,air_c8a657c8c5c93d69,1,0,0,0,0,0,0,-1.2254395106716096,-1.042404094627436,0.0,1.076383861868285,-1.2161664920735056,1,13.0,1,1,-0.7986119080631505,-0.7986119080631505
2016-01-16,air_c8a657c8c5c93d69,0,0,1,0,0,0,0,-1.0191226286480104,-0.8212867233699521,0.0,0.7670395550806662,-1.2280566424492616,1,8.0,1,1,-0.6589958065746658,-0.6589958065746658
2016-01-18,air_c8a657c8c5c93d69,0,1,0,0,0,0,0,-1.1162129260708806,-1.1587816584471642,0.0,-0.6765672099282207,-1.3112876950795544,1,16.0,1,1,-1.4978939310089174,-1.4978939310089174
