visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shinjuku-ku Nishishinjuku,total_area_visitors,total_genre_visitors
2016-01-02,air_232dcee6f7c51d37,0,0,1,0,0,0,0,-0.9764167804033087,-0.7730997736464421,1.0,0.5421831097649809,-1.0468169165614292,1,9.0,1,1,-1.8168993433577567,-1.8168993433577563
2016-01-03,air_232dcee6f7c51d37,0,0,0,1,0,0,0,-0.726121939807897,-0.42457070361949206,1.0,0.7413572314806042,-0.9989040381678367,1,9.0,1,1,-1.6800668852561709,-1.6800668852561704
2016-01-04,air_232dcee6f7c51d37,0,1,0,0,0,0,0,-0.7386366818376677,-0.54904537148626,0.0,0.8907378227673213,-0.8312089637902628,1,8.0,1,1,-1.4819395899752499,-1.4819395899752497
2016-01-05,air_232dcee6f7c51d37,0,0,0,0,0,1,0,-0.5258860673315678,-0.5241504379129063,0.0,0.7662539966950569,-0.7473614266014759,1,6.0,1,1,-1.3514655174731802,-1.3514655174731798
2016-01-06,air_232dcee6f7c51d37,0,0,0,0,0,0,1,-0.7761809079269794,-1.0344965761666547,0.0,-1.325074281318985,-0.5077970346335132,1,7.0,1,1,-1.2871186552060776,-1.2871186552060772
2016-01-07,air_232dcee6f7c51d37,0,0,0,0,1,0,0,-0.8012103919865207,-0.835337107579826,0.0,-0.13002955102524688,-0.8192307441918647,1,5.0,1,1,-1.217685084459362,-1.2176850844593616
2016-01-08,air_232dcee6f7c51d37,1,0,0,0,0,0,0,-1.0389904905521616,-1.0842864433133619,0.0,0.8409442923384153,-0.9869258185694385,1,5.0,1,1,-0.8822166602288939,-0.8822166602288938
2016-01-09,air_232dcee6f7c51d37,0,0,1,0,0,0,0,-0.9764167804033087,-0.9971541758066245,0.0,0.8907378227673213,-1.022860477364633,1,10.0,1,1,-0.6233031986165994,-0.6233031986165993
2016-01-10,air_232dcee6f7c51d37,0,0,0,1,0,0,0,-0.9013283282246852,-0.835337107579826,0.0,0.9405313531962269,-1.0707733557582253,1,18.0,1,1,-0.909939221442784,-0.9099392214427838
2016-01-11,air_232dcee6f7c51d37,0,1,0,0,0,0,0,-1.00144626446285,-1.134076310460069,1.0,-0.5034810292420401,-0.9030782813806516,1,9.0,1,1,-1.2728758714631614,-1.2728758714631612
2016-01-12,air_232dcee6f7c51d37,0,0,0,0,0,1,0,-1.4644917195643612,-1.681764849073848,0.0,-1.325074281318985,-1.2504466497341973,1,9.0,1,1,-1.3267949813470579,-1.3267949813470574
2016-01-13,air_232dcee6f7c51d37,0,0,0,0,0,0,1,-1.3518590412964262,-1.2336560447534834,0.0,0.8409442923384153,-1.4660546025053638,1,11.0,1,1,-1.122309300466621,-1.1223093004666207
2016-01-14,air_232dcee6f7c51d37,0,0,0,0,1,0,0,-1.1391084267903262,-1.022049109379978,0.0,0.9405313531962269,-1.3342941869229845,1,4.0,1,1,-1.029476870713686,-1.0294768707136859
2016-01-15,air_232dcee6f7c51d37,1,0,0,0,0,0,0,-1.1891673949094086,-1.0842864433133619,0.0,0.6915637010516981,-1.118686234151818,1,8.0,1,1,-0.7527599294227467,-0.7527599294227465
2016-01-16,air_232dcee6f7c51d37,0,0,1,0,0,0,0,-1.0765347166414734,-0.9722592422332708,0.0,0.9405313531962269,-1.1426426733486141,1,13.0,1,1,-0.6049910480899932,-0.604991048089993
2016-01-17,air_232dcee6f7c51d37,0,0,0,1,0,0,0,-1.1641379108498675,-1.3705781794069283,0.0,-0.5532745596709457,-1.0827515753566237,1,3.0,1,1,-1.2090376800440201,-1.20903768004402
2016-01-18,air_232dcee6f7c51d37,0,1,0,0,0,0,0,-1.539580171742985,-1.6693173822871712,0.0,-0.9765195683166448,-1.3342941869229845,1,9.0,1,1,-1.4928760132064176,-1.4928760132064174
2016-01-19,air_232dcee6f7c51d37,0,0,0,0,0,1,0,-1.2517411050582614,-1.3705781794069283,0.0,0.9405313531962269,-1.2504466497341973,1,16.0,1,1,-1.256089733480439,-1.2560897334804388
2016-01-20,air_232dcee6f7c51d37,0,0,0,0,0,0,1,-1.3768885253559673,-1.3083408454735443,0.0,0.9654281184106797,-1.4420981633085674,1,8.0,1,1,-1.1309567048819626,-1.1309567048819624
