visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-01-04,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.4645541347665662,-0.3830976291258477,0.0,0.14191582397418945,-0.5596010419174268,1,26.0,1,1,-1.5791620868413012,-1.5791620868413017
2016-01-05,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.6371834185071786,-0.8351976896715617,0.0,-1.0781562313882553,-0.48048730718976845,1,41.0,1,1,-1.4556838945653081,-1.4556838945653083
2016-01-07,air_f927b2da69a82341,0,0,0,0,1,0,0,-0.7752868454996686,-0.8465001911852045,0.0,-0.6108945931643404,-0.6500167387490361,1,33.0,1,1,-1.3290766252920676,-1.3290766252920678
2016-01-08,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.9018816535761177,-0.9821302093489188,0.0,-1.0002792916842695,-0.8082442082043526,1,49.0,1,1,-1.011595659186736,-1.0115956591867363
2016-01-09,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.9824419859884034,-0.9369202032943473,0.0,0.8428082813100619,-0.966471677659669,1,47.0,1,1,-0.7665648604792096,-0.7665648604792098
2016-01-11,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.8443385589959135,-0.891710197239776,1.0,-0.35130479415105426,-0.7404324355806455,1,54.0,1,1,-1.3813081413230432,-1.3813081413230435
2016-01-12,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.9824419859884034,-1.0951552244853473,0.0,-0.03979703533511088,-0.966471677659669,1,30.0,1,1,-1.4323361662012315,-1.4323361662012317
2016-01-14,air_f927b2da69a82341,0,0,0,0,1,0,0,-1.1895971264771383,-1.038642716917133,0.0,-0.09171499513776814,-1.147303071322888,1,35.0,1,1,-1.1509599346795236,-1.1509599346795238
2016-01-15,air_f927b2da69a82341,1,0,0,0,0,0,0,-1.1205454129808934,-1.0838527229717043,0.0,0.9466442009153765,-1.0455854123873274,1,26.0,1,1,-0.8890802598329728,-0.889080259832973
2016-01-16,air_f927b2da69a82341,0,0,1,0,0,0,0,-1.0860195562327708,-1.0047352123762043,0.0,-0.03979703533511088,-1.0681893365952297,1,24.0,1,1,-0.7492345878790702,-0.7492345878790704
2016-01-18,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.8213213211638319,-0.8238951881579188,0.0,-1.0521972514869264,-1.1360011092189366,1,16.0,1,1,-1.5895121107552734,-1.5895121107552737
2016-01-19,air_f927b2da69a82341,0,0,0,0,0,1,0,-1.5233470750423224,-1.5020452789764898,0.0,0.32362868328348976,-1.407248199713765,1,33.0,1,1,-1.3654220581062488,-1.365422058106249
2016-01-22,air_f927b2da69a82341,1,0,0,0,0,0,0,-1.201105745393179,-1.1968777381081328,0.0,0.01212092446754639,-1.0681893365952297,1,31.0,1,1,-0.8394964243381295,-0.8394964243381298
2016-01-23,air_f927b2da69a82341,0,0,1,0,0,0,0,-1.3046833156375466,-1.3890202638400613,0.0,-1.3637050103028698,-1.203812881842644,1,19.0,1,1,-0.7701753339375719,-0.7701753339375722
2016-01-25,air_f927b2da69a82341,0,1,0,0,0,0,0,-1.661450502034812,-1.5359527835174183,0.0,0.6870544019020904,-1.8932325701836654,1,25.0,1,1,-1.453276912259733,-1.4532769122597335
2016-01-26,air_f927b2da69a82341,0,0,0,0,0,1,0,-1.2931746967215059,-1.174272735080847,0.0,0.2717107234808325,-1.3733423134019116,1,34.0,1,1,-1.2898428137111964,-1.2898428137111966
2016-01-28,air_f927b2da69a82341,0,0,0,0,1,0,0,-0.8903730346600769,-0.9143152002670616,0.0,-0.766648472572312,-1.0003775639715227,1,35.0,1,1,-1.1516820293711962,-1.1516820293711965
2016-01-29,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.7637782265836278,-1.02734021540349,0.0,-1.4675409299081845,-0.5482990798134755,1,16.0,1,1,-1.016409623797886,-1.0164096237978861
2016-01-30,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.809812702247791,-0.9934327108625616,0.0,-1.311787050500213,-0.6274128145411337,1,22.0,1,1,-0.7311822205872582,-0.7311822205872586
2016-02-01,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.9248988914081993,-1.02734021540349,0.0,-1.2079511308948983,-0.7856402839964503,1,26.0,1,1,-1.4968432919906391,-1.4968432919906394
2016-02-02,air_f927b2da69a82341,0,0,0,0,0,1,0,-1.0514936994846484,-1.0838527229717043,0.0,-0.19555091474308245,-0.9212638292438644,1,27.0,1,1,-1.356756921806179,-1.3567569218061792
2016-02-04,air_f927b2da69a82341,0,0,0,0,1,0,0,-1.07451093731673,-1.0725502214580616,0.0,0.32362868328348976,-1.1020952229070833,1,36.0,1,1,-1.2503683038997677,-1.250368303899768
2016-02-05,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.947916129240281,-0.9256177017807046,0.0,0.8687672612113905,-0.9438677534517668,1,35.0,1,1,-0.896541904980255,-0.8965419049802553
2016-02-06,air_f927b2da69a82341,0,0,1,0,0,0,0,-1.0399850805686075,-1.0612477199444186,0.0,-0.2474688745457397,-0.9551697155557181,1,19.0,1,1,-0.6854495567813348,-0.6854495567813351
2016-02-08,air_f927b2da69a82341,0,1,0,0,0,0,0,-1.1665798886450567,-1.038642716917133,0.0,1.1802750200273335,-1.339436427090058,1,24.0,1,1,-1.448222249418026,-1.4482222494180261
2016-02-09,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.9594247481563218,-0.959525206321633,0.0,0.03807990436887491,-1.0003775639715227,1,27.0,1,1,-1.242184564060813,-1.2421845640608133
2016-02-11,air_f927b2da69a82341,0,0,0,0,1,0,0,-1.0284764616525668,-0.9482227048079902,1.0,1.1802750200273335,-1.1586050334268392,1,22.0,1,1,-1.0050968069616837,-1.0050968069616841
2016-02-12,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.45304551585052544,-0.27007261398941923,0.0,0.4534235827901328,-0.6839226250608896,1,12.0,1,1,-0.951902498008478,-0.9519024980084784
2016-02-13,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.13080418620138246,-0.12314009431206213,0.0,-1.4675409299081845,-0.06231470934357495,1,16.0,1,1,-0.7723416180125894,-0.7723416180125896
2016-02-15,air_f927b2da69a82341,0,1,0,0,0,0,0,-1.0860195562327708,-0.9708277078352758,0.0,-1.0002792916842695,-1.1133971850110345,1,24.0,1,1,-1.4515920246458307,-1.451592024645831
2016-02-16,air_f927b2da69a82341,0,0,0,0,0,1,0,-1.3046833156375466,-1.3212052547582043,0.0,0.47938256269146134,-1.2942285786742531,1,35.0,1,1,-1.2997114411640536,-1.2997114411640538
2016-02-18,air_f927b2da69a82341,0,0,0,0,1,0,0,-1.132054031896934,-1.0499452184307758,0.0,1.1802750200273335,-1.2490207302584486,1,44.0,1,1,-1.1490343488350638,-1.149034348835064
2016-02-19,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.7062351320034237,-0.5978451578850619,0.0,0.6351364420994329,-0.8760559808280597,1,24.0,1,1,-0.8471987677159692,-0.8471987677159695
2016-02-20,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.6717092752553011,-0.7786851821033475,0.0,-1.4675409299081845,-0.4352794587739637,1,30.0,1,1,-0.8794523306106731,-0.8794523306106734
2016-02-22,air_f927b2da69a82341,0,1,0,0,0,0,0,-1.0975281751488115,-1.2872977502172755,0.0,-1.0521972514869264,-1.0794912986991807,1,27.0,1,1,-1.4393164148873987,-1.439316414887399
2016-02-23,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.8788644157440361,-1.0838527229717043,0.0,-1.233910110796227,-0.6952245871648409,1,24.0,1,1,-1.2347229189135307,-1.2347229189135311
2016-02-25,air_f927b2da69a82341,0,0,0,0,1,0,0,-1.3046833156375466,-1.2194827411354185,0.0,1.102398080323348,-1.271624654466351,1,20.0,1,1,-1.0943958504985132,-1.0943958504985134
2016-02-26,air_f927b2da69a82341,1,0,0,0,0,0,0,-1.1780885075610976,-1.10645772599899,0.0,0.6351364420994329,-1.215114843946595,1,45.0,1,1,-0.7063903028398366,-0.706390302839837
2016-02-27,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.8788644157440361,-0.6995676715078476,0.0,0.03807990436887491,-1.0568873744912786,1,32.0,1,1,-0.5472887724413347,-0.5472887724413349
2016-02-29,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.7983040833317502,-0.733475176048776,0.0,-1.0002792916842695,-1.2829266165703022,1,42.0,1,1,-1.3940651475425903,-1.3940651475425905
2016-03-01,air_f927b2da69a82341,0,0,0,0,0,1,0,-1.4312781237139955,-1.4229277683809898,0.0,0.01212092446754639,-1.3620403512979604,1,21.0,1,1,-1.2908056066334264,-1.2908056066334266
2016-03-03,air_f927b2da69a82341,0,0,0,0,1,0,0,-0.7062351320034237,-0.5752401548577761,0.0,1.3100699195339767,-0.9551697155557181,1,33.0,1,1,-1.1836948940353424,-1.183694894035343
2016-03-04,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.4645541347665662,-0.3039801185303479,0.0,0.2717107234808325,-0.706526549268792,1,23.0,1,1,-0.8305905898075023,-0.8305905898075026
2016-03-07,air_f927b2da69a82341,0,1,0,0,0,0,0,0.21445438127984232,0.18202744655629471,0.0,-0.6887715328683262,0.26544219167100924,1,10.0,1,1,-1.4929921203017193,-1.4929921203017196
2016-03-08,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.09627832945325988,-0.03272008220291926,0.0,0.1159568440728607,-0.06231470934357495,1,34.0,1,1,-1.1750297577352729,-1.175029757735273
2016-03-10,air_f927b2da69a82341,0,0,0,0,1,0,0,-0.947916129240281,-1.0612477199444186,0.0,-1.1819921509935696,-0.7856402839964503,1,38.0,1,1,-1.1047458744124854,-1.1047458744124856
2016-03-11,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.9824419859884034,-0.8125926866442761,0.0,-0.01383805543378236,-0.830848132412255,1,28.0,1,1,-0.783413736618234,-0.7834137366182342
2016-03-12,air_f927b2da69a82341,0,0,1,0,0,0,0,-1.0054592238204851,-1.0160377138898473,0.0,1.4917827788432771,-1.0116795260754738,1,22.0,1,1,-0.6031307619306727,-0.603130761930673
2016-03-14,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.9939506049044443,-1.1968777381081328,0.0,-1.4156229701055272,-0.7743383218924991,1,17.0,1,1,-1.3897325793925555,-1.3897325793925557
2016-03-15,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.8558471779119543,-0.733475176048776,0.0,0.9985621607180335,-0.8195461703083038,1,30.0,1,1,-1.1288156974682344,-1.1288156974682346
2016-03-17,air_f927b2da69a82341,0,0,0,0,1,0,0,-0.36097656452219895,-0.12314009431206213,0.0,1.4658237989419487,-0.638714776645085,1,22.0,1,1,-0.9990793511977465,-0.9990793511977467
2016-03-18,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.09627832945325988,-0.010115079175633642,0.0,-0.42918173385504005,-0.1640323682791354,1,18.0,1,1,-0.6428459699726589,-0.6428459699726591
2016-03-19,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.21136451861366815,-0.3491901245849191,0.0,-1.2598690906975556,-0.27705198931864716,1,23.0,1,1,-0.626237792064192,-0.6262377920641922
2016-03-21,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.6947265130873828,-0.5413326503168476,1.0,1.5437007386459343,-0.638714776645085,1,19.0,1,1,-1.2503683038997677,-1.250368303899768
2016-03-22,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.6717092752553011,-0.5187276472895619,0.0,1.4139058391392911,-0.9212638292438644,1,41.0,1,1,-1.1249645257793146,-1.1249645257793148
2016-03-23,air_f927b2da69a82341,0,0,0,0,0,0,1,-0.3379593266901172,-0.0892325897711335,0.0,1.102398080323348,-0.48048730718976845,1,24.0,1,1,-1.0289259317868755,-1.0289259317868757
2016-03-25,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.9939506049044443,-0.9369202032943473,0.0,-0.3253458142497255,-0.9099618671399131,1,15.0,1,1,-0.5116654343188258,-0.5116654343188262
2016-03-26,air_f927b2da69a82341,0,0,1,0,0,0,0,-0.8903730346600769,-0.891710197239776,0.0,1.4658237989419487,-1.0003775639715227,1,21.0,1,1,-0.5172014936216481,-0.5172014936216485
2016-03-28,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.614166180675097,-0.5639376533441333,0.0,0.6870544019020904,-0.5822049661253291,1,32.0,1,1,-1.1589029762879208,-1.1589029762879213
2016-03-29,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.44153689693448467,-0.4170051336667764,0.0,0.42746460288880406,-0.6613187008529873,1,39.0,1,1,-0.8977453961330425,-0.8977453961330427
2016-03-31,air_f927b2da69a82341,0,0,0,0,1,0,0,0.03031647862318935,0.08030493293350922,0.0,0.47938256269146134,-0.09622059565542837,1,29.0,1,1,-0.9449222493223108,-0.9449222493223112
2016-04-01,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.05024385378909655,-0.29267761701670486,0.0,-1.3896639902041987,0.1863284569433511,1,23.0,1,1,-0.7482717949568402,-0.7482717949568405
2016-04-02,air_f927b2da69a82341,0,0,1,0,0,0,0,0.17992852453171976,0.18202744655629471,0.0,1.024521140619362,0.19763041904730222,1,19.0,1,1,-0.7646392746347496,-0.7646392746347499
2016-04-04,air_f927b2da69a82341,0,1,0,0,0,0,0,0.04182509753922993,0.035094926878937595,0.0,-1.2079511308948983,0.06200687379988817,1,25.0,1,1,-1.370476720947956,-1.3704767209479563
2016-04-05,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.1653300429495048,-0.21356010642120501,0.0,-0.1436329549404254,0.005497063280132278,1,30.0,1,1,-1.1759925506575029,-1.175992550657503
2016-04-07,air_f927b2da69a82341,0,0,0,0,1,0,0,0.1569112866996382,0.09160743444715184,0.0,-1.4675409299081845,0.07330883590383931,1,31.0,1,1,-1.2224473091550987,-1.222447309155099
2016-04-08,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.03873523487305576,-0.19095510339391938,0.0,-0.6368535730656689,0.005497063280132278,1,26.0,1,1,-0.6909856160841572,-0.6909856160841574
2016-04-09,air_f927b2da69a82341,0,0,1,0,0,0,0,0.08785957320339348,0.13681744050172348,0.0,0.5313005224941186,-0.05101274723962361,1,32.0,1,1,-0.6031307619306727,-0.603130761930673
2016-04-11,air_f927b2da69a82341,0,1,0,0,0,0,0,-0.5336058482628113,-0.3830976291258477,0.0,0.8428082813100619,-0.6161108524371827,1,23.0,1,1,-1.3916581652370152,-1.3916581652370157
2016-04-12,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.45304551585052544,-0.37179512761220473,0.0,1.2581519597313195,-0.7291304734766944,1,13.0,1,1,-1.2361671082968757,-1.236167108296876
2016-04-14,air_f927b2da69a82341,0,0,0,0,1,0,0,0.31803195152421,0.6228250055883656,0.0,0.1938337837768467,0.310650040086814,1,28.0,1,1,-1.1208726558598372,-1.1208726558598374
2016-04-15,air_f927b2da69a82341,1,0,0,0,0,0,0,-0.03873523487305576,0.046397428392580604,0.0,1.6215776783499203,-0.0736166714475261,1,34.0,1,1,-0.7174624214454812,-0.7174624214454816
2016-04-16,air_f927b2da69a82341,0,0,1,0,0,0,0,0.04182509753922993,0.1707249450426517,0.0,1.5437007386459343,-0.26575002721469604,1,33.0,1,1,-0.5121468307799408,-0.5121468307799412
2016-04-18,air_f927b2da69a82341,0,1,0,0,0,0,0,0.018807859707148364,-0.14574509733934776,0.0,-1.4156229701055272,0.07330883590383931,1,20.0,1,1,-1.4768653388543673,-1.4768653388543675
2016-04-19,air_f927b2da69a82341,0,0,0,0,0,1,0,-0.03873523487305576,0.15942244352900908,0.0,1.4398648190406198,-0.2318441409028426,1,13.0,1,1,-1.1750297577352729,-1.175029757735273
2016-04-22,air_f927b2da69a82341,1,0,0,0,0,0,0,0.3985922839364957,0.3063549632063662,0.0,1.232192979829991,0.4010657369184235,1,5.0,1,1,-0.6736553434840178,-0.673655343484018
2016-05-02,air_f927b2da69a82341,0,1,0,0,0,0,0,0.5366957109289855,0.9392950479703656,0.0,1.4917827788432771,0.3445559263986676,1,23.0,1,1,-1.111485424868095,-1.1114854248680954
2016-06-06,air_f927b2da69a82341,0,1,0,0,0,0,0,0.7208336135856389,0.7245475192111516,0.0,0.4534235827901328,0.5931990926855935,1,12.0,1,1,-1.4029709820732175,-1.4029709820732177
2016-06-07,air_f927b2da69a82341,0,0,0,0,0,1,0,0.5827301865931487,0.3289599662336518,0.0,-1.4675409299081845,0.7627285242448612,1,20.0,1,1,-1.2645694995026597,-1.26456949950266
2016-06-09,air_f927b2da69a82341,0,0,0,0,1,0,0,0.9049715162422919,0.9279925464567229,0.0,-0.4810996936576973,1.0113716905317869,1,16.0,1,1,-1.155533201060116,-1.1555332010601163
2016-06-10,air_f927b2da69a82341,1,0,0,0,0,0,0,1.0085490864866595,0.9958075555385798,0.0,1.985003396968521,0.8870501073883242,1,30.0,1,1,-0.7367182798900805,-0.7367182798900809
2016-06-11,air_f927b2da69a82341,0,0,1,0,0,0,0,1.0891094188989452,1.063622564620437,0.0,0.6091774621981044,1.0791834631554942,1,17.0,1,1,-0.5833935070249584,-0.5833935070249587
2016-06-13,air_f927b2da69a82341,0,1,0,0,0,0,0,0.8474284216620876,0.7245475192111516,0.0,-1.311787050500213,0.9887677663238846,1,10.0,1,1,-1.461460652098688,-1.4614606520986881
2016-06-14,air_f927b2da69a82341,0,0,0,0,0,1,0,1.0085490864866595,0.9392950479703656,0.0,0.2197927636781752,1.0452775768436406,1,3.0,1,1,-1.1935635214881997,-1.1935635214881999
2016-06-16,air_f927b2da69a82341,0,0,0,0,1,0,0,0.8474284216620876,0.6454300086156517,0.0,-1.4675409299081845,0.9661638421159824,1,10.0,1,1,-1.2041542436327293,-1.2041542436327295
2016-06-17,air_f927b2da69a82341,1,0,0,0,0,0,0,0.9855318486545775,0.8940850419157943,0.0,-0.5849356132630117,0.9774658042199333,1,8.0,1,1,-0.6686006806423105,-0.6686006806423107
2016-06-18,air_f927b2da69a82341,0,0,1,0,0,0,0,1.0891094188989452,1.2105550842977941,0.0,1.8032905376592203,0.9096540315962265,1,25.0,1,1,-0.5809865247193835,-0.5809865247193837
2016-06-20,air_f927b2da69a82341,0,1,0,0,0,0,0,1.0430749432347817,0.9732025525112942,0.0,-0.6368535730656689,1.1243913115712987,1,18.0,1,1,-1.4320954679706739,-1.432095467970674
2016-06-21,air_f927b2da69a82341,0,0,0,0,0,1,0,1.0660921810668635,1.063622564620437,0.0,0.5572595023954471,0.9209559937001774,1,37.0,1,1,-1.226539179074576,-1.2265391790745763
2016-06-23,air_f927b2da69a82341,0,0,0,0,1,0,0,1.1466525134791494,1.1879500812705082,0.0,0.29766970338216103,1.0904854252594451,1,8.0,1,1,-1.1627541479768408,-1.162754147976841
2016-06-24,air_f927b2da69a82341,1,0,0,0,0,0,0,0.8704456594941693,0.7471525222384372,0.0,-1.311787050500213,0.9209559937001774,1,19.0,1,1,-0.6895414267008122,-0.6895414267008125
2016-06-25,air_f927b2da69a82341,0,0,1,0,0,0,0,0.9164801351583328,0.8036650298066514,0.0,-1.4675409299081845,0.875748145284373,1,18.0,1,1,-0.5335689732995577,-0.5335689732995579
2016-06-27,air_f927b2da69a82341,0,1,0,0,0,0,0,0.8704456594941693,0.9732025525112942,0.0,0.29766970338216103,0.683614789517203,1,15.0,1,1,-1.3796232537091406,-1.379623253709141
2016-06-28,air_f927b2da69a82341,0,0,0,0,0,1,0,0.6287646622573122,0.4419849813700803,0.0,-1.4415819500068559,0.7288226379330075,1,11.0,1,1,-1.2395368835246805,-1.239536883524681
2016-06-30,air_f927b2da69a82341,0,0,0,0,1,0,0,1.0545835621508226,0.8601775373748657,0.0,-1.4156229701055272,1.2148070084029083,1,21.0,1,1,-1.0460155061564573,-1.0460155061564576
2016-07-01,air_f927b2da69a82341,1,0,0,0,0,0,0,1.1696697513112309,1.1653450782432224,0.0,0.9466442009153765,1.13569327367525,1,34.0,1,1,1.4199378659050446,1.4199378659050441
2016-07-02,air_f927b2da69a82341,0,0,1,0,0,0,0,1.3538076539678843,1.2331600873250796,0.0,1.5696597185472627,1.4521482125858831,1,7.0,1,1,1.520549726278076,1.5205497262780756
2016-07-04,air_f927b2da69a82341,0,1,0,0,0,0,0,1.4919110809603742,1.5496301297070796,0.0,0.8428082813100619,1.4408462504819317,1,6.0,1,1,-0.22379035057206587,-0.2237903505720662
2016-07-05,air_f927b2da69a82341,0,0,0,0,0,1,0,1.5494541755405782,1.5835376342480079,0.0,1.5696597185472627,1.5425639094174923,1,12.0,1,1,0.19815364759521698,0.19815364759521664
2016-07-07,air_f927b2da69a82341,0,0,0,0,1,0,0,1.4573852242122516,1.447907616084294,0.0,1.959044417067192,1.4860540988977364,1,4.0,1,1,0.44655422153054836,0.446554221530548
2016-07-08,air_f927b2da69a82341,1,0,0,0,0,0,0,1.238721464807476,1.131437573702294,0.0,-1.4675409299081845,1.2374109326108105,1,9.0,1,1,1.289479424942884,1.2894794249428836
2016-07-09,air_f927b2da69a82341,0,0,1,0,0,0,0,0.9394973729904144,0.7245475192111516,0.0,-0.9483613318816122,1.0678815010515428,1,14.0,1,1,1.4817973111583198,1.4817973111583196
2016-07-11,air_f927b2da69a82341,0,1,0,0,0,0,0,1.3883335107160064,1.4818151206252224,0.0,0.1938337837768467,1.4069403641700782,1,14.0,1,1,-0.25580321523621224,-0.2558032152362126
2016-07-12,air_f927b2da69a82341,0,0,0,0,0,1,0,1.376824891799966,1.1879500812705082,0.0,-1.2598690906975556,1.4747521367937855,1,9.0,1,1,0.20778157681751663,0.2077815768175163
