visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-07-01,air_8a59bb0c497b771e,1,0,0,0,0,0,0,1.0419761312507563,1.0480161808407962,0.0,0.9139826185540291,1.01443171061194,1,31.0,1,1,1.3691358220026066,1.3691358220026066
2016-07-02,air_8a59bb0c497b771e,0,0,1,0,0,0,0,1.254672285255929,1.2797028337450618,0.0,1.7334881698665086,1.1627110111824672,1,13.0,1,1,1.525803609923762,1.525803609923762
2016-07-04,air_8a59bb0c497b771e,0,1,0,0,0,0,0,1.318481131457481,1.28977616648003,0.0,1.159834283947773,1.3215816903651747,1,34.0,1,1,-1.1903960529102389,-1.1903960529102389
2016-07-05,air_8a59bb0c497b771e,0,0,0,0,0,1,0,1.318481131457481,1.461022822974487,0.0,1.6242207630248446,1.2580334186920916,1,27.0,1,1,-0.533365832274389,-0.533365832274389
2016-07-06,air_8a59bb0c497b771e,0,0,0,0,0,0,1,1.2227678621551532,1.1588228409254444,0.0,1.2144679873686048,1.22625928285555,1,33.0,1,1,-0.080603421248658,-0.080603421248658
2016-07-07,air_8a59bb0c497b771e,0,0,0,0,1,0,0,1.2865767083567052,1.2998494992149983,0.0,1.5422702078935964,1.2792161759164526,1,29.0,1,1,-0.14656880563651287,-0.14656880563651287
2016-07-08,air_8a59bb0c497b771e,1,0,0,0,0,0,0,1.0100717081499804,0.8566228588764022,0.0,-1.5172171836729937,0.9614748175510375,1,31.0,1,1,1.1659924223536446,1.1659924223536446
2016-07-09,air_8a59bb0c497b771e,0,0,1,0,0,0,0,0.7229319002429969,0.5342762113574235,0.0,-1.216731814858418,0.8131955169805105,1,12.0,1,1,1.46546027534169,1.46546027534169
2016-07-11,air_8a59bb0c497b771e,0,1,0,0,0,0,0,1.201498246754636,1.1991161718653174,0.0,0.03984336382071745,1.2474420400799109,1,28.0,1,1,-1.2402448945215154,-1.2402448945215154
2016-07-12,air_8a59bb0c497b771e,0,0,0,0,0,1,0,1.1483242082533427,0.967429518961051,0.0,-1.2713655182792498,1.2580334186920916,1,36.0,1,1,-0.5183736994589675,-0.5183736994589675
2016-07-13,air_8a59bb0c497b771e,0,0,0,0,0,0,1,1.1164197851525668,0.8264028606714979,0.0,-1.4899003319625779,1.2580334186920916,1,32.0,1,1,-0.4460366586245585,-0.4460366586245585
2016-07-14,air_8a59bb0c497b771e,0,0,0,0,1,0,0,1.0632457466512735,1.0983828445156365,0.0,0.17642762237279738,1.1521196325702865,1,32.0,1,1,-0.23014994608248804,-0.23014994608248804
