visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Toshima-ku Minamiikebukuro,total_area_visitors,total_genre_visitors
2016-01-01,air_cfdeb326418194ff,1,0,0,0,0,0,0,-0.9537640405061717,-0.9351080408278161,1.0,0.907911829368861,-0.9270545326965275,1,4.0,1,1,-1.962515120954581,-1.962515120954581
2016-01-04,air_cfdeb326418194ff,0,1,0,0,0,0,0,-0.7422695686811863,-0.5513681718946141,0.0,0.8831749597273875,-0.8319990978429957,1,8.0,1,1,-1.4886227686626987,-1.4886227686626987
2016-01-05,air_cfdeb326418194ff,0,0,0,0,0,1,0,-0.5307750968562008,-0.5266107609956977,0.0,0.7594906115200197,-0.7488255923461555,1,9.0,1,1,-1.3612083154521455,-1.3612083154521455
2016-01-06,air_cfdeb326418194ff,0,0,0,0,0,0,1,-0.7795921225326542,-1.0341376844234809,0.0,-1.3184064383637581,-0.5111870052123263,1,11.0,1,1,-1.298370388235245,-1.298370388235245
2016-01-07,air_cfdeb326418194ff,0,0,0,0,1,0,0,-0.8044738251002997,-0.8360783972321509,0.0,-0.13103669557302797,-0.8201171684863043,1,4.0,1,1,-1.2305650359419096,-1.2305650359419098
2016-01-08,air_cfdeb326418194ff,1,0,0,0,0,0,0,-1.0408499994929306,-1.0836525062213136,0.0,0.8337012204444402,-0.9864641794799849,1,7.0,1,1,-0.9029633521510331,-0.9029633521510331
2016-01-09,air_cfdeb326418194ff,0,0,1,0,0,0,0,-0.978645743073817,-0.9970015680751066,0.0,0.8831749597273875,-1.0221099675500593,1,7.0,1,1,-0.6501214157605005,-0.6501214157605005
2016-01-11,air_cfdeb326418194ff,0,1,0,0,0,0,0,-1.0035274456414625,-1.133167328019146,1.0,-0.5020897401951311,-0.9032906739831446,1,8.0,1,1,-1.2844615980212275,-1.2844615980212275
2016-01-12,air_cfdeb326418194ff,0,0,0,0,0,1,0,-1.463838943142901,-1.6778303677953037,0.0,-1.3184064383637581,-1.247866625327197,1,17.0,1,1,-1.3371163038314366,-1.3371163038314366
2016-01-13,air_cfdeb326418194ff,0,0,0,0,0,0,1,-1.3518712815884972,-1.2321969716148111,0.0,0.8337012204444402,-1.4617413537476434,1,5.0,1,1,-1.1374258157587567,-1.1374258157587567
2016-01-14,air_cfdeb326418194ff,0,0,0,0,1,0,0,-1.1403768097635116,-1.021758978974023,0.0,0.9326486990103344,-1.3310401308240374,1,22.0,1,1,-1.046770308113821,-1.0467703081138213
2016-01-15,air_cfdeb326418194ff,1,0,0,0,0,0,0,-1.1901402148988025,-1.0836525062213136,0.0,0.685280002595599,-1.1171654024035909,1,18.0,1,1,-0.7765423839557668,-0.7765423839557668
