visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,total_area_visitors,total_genre_visitors
2016-01-02,air_1653a6c513865af3,0,0,1,0,0,0,0,-0.654892952365089,-0.5729255350209642,1.0,-0.7213848493458648,-0.7406001596551252,1,35.0,1,1,-1.8032000533584547,-1.8032000533584545
2016-01-03,air_1653a6c513865af3,0,0,0,1,0,0,0,-0.7965101836993663,-0.9257796251258866,1.0,-0.7946444575725751,-0.8297104331950607,1,43.0,1,1,-1.669555784940319,-1.669555784940319
2016-01-04,air_1653a6c513865af3,0,1,0,0,0,0,0,-1.0392825802724133,-0.9925358043349262,0.0,-0.7213848493458648,-1.0673378293015554,1,38.0,1,1,-1.4760448460969593,-1.4760448460969593
2016-01-05,air_1653a6c513865af3,0,0,0,0,0,1,0,-1.099975679415675,-1.0879017746335538,0.0,-0.28182719998560307,-1.1069423953193045,1,34.0,1,1,-1.3486108132001127,-1.3486108132001127
2016-01-06,air_1653a6c513865af3,0,0,0,0,0,0,1,-0.9887049976530284,-0.8780966399765728,0.0,-0.6237053717102511,-1.2554595178858639,1,29.0,1,1,-1.2857632297246697,-1.2857632297246697
2016-01-07,air_1653a6c513865af3,0,0,0,0,1,0,0,-1.0089360307007822,-1.1069749686932793,0.0,-0.8190643269814785,-0.9188207067349962,1,27.0,1,1,-1.2179474578321958,-1.2179474578321958
2016-01-08,air_1653a6c513865af3,1,0,0,0,0,0,0,-0.9583584480813976,-0.8876332370064356,0.0,-0.37950667762121676,-0.8891172822216843,1,31.0,1,1,-0.8902954317289973,-0.8902954317289974
2016-01-09,air_1653a6c513865af3,0,0,1,0,0,0,0,-1.0797446463679208,-1.0497553865141027,0.0,0.18215031878356205,-1.1366458198326164,1,41.0,1,1,-0.6374146413021163,-0.6374146413021164
2016-01-10,air_1653a6c513865af3,0,0,0,1,0,0,0,-1.0190515472246593,-0.9734626102752005,0.0,-0.013208636487665345,-0.8792161407172471,1,37.0,1,1,-0.9173720586018166,-0.9173720586018166
2016-01-11,air_1653a6c513865af3,0,1,0,0,0,0,0,-1.3528635925125987,-1.48843884988779,1.0,-1.1609424987061265,-1.097041253814867,1,19.0,1,1,-1.2718523021569828,-1.2718523021569828
2016-01-12,air_1653a6c513865af3,0,0,0,0,0,1,0,-1.3427480759887218,-1.3263167003801228,0.0,-0.4039265470301202,-1.3742732159391111,1,27.0,1,1,-1.324515099377512,-1.3245150993775119
2016-01-13,air_1653a6c513865af3,0,0,0,0,0,0,1,-1.2112463611783213,-1.1355847597828674,0.0,0.2798297964191758,-1.3742732159391111,1,46.0,1,1,-1.1247939250128633,-1.1247939250128633
2016-01-14,air_1653a6c513865af3,0,0,0,0,1,0,0,-0.9583584480813976,-1.0211455954245143,0.0,-1.1121027598883195,-0.8792161407172471,1,28.0,1,1,-1.0341244864020465,-1.0341244864020465
2016-01-15,air_1653a6c513865af3,1,0,0,0,0,0,0,-1.271939460321583,-1.3549264914697112,0.0,-0.5992855023013476,-1.2554595178858639,1,24.0,1,1,-0.7638550365155569,-0.7638550365155569
2016-01-16,air_1653a6c513865af3,0,0,1,0,0,0,0,-1.3832101420842293,-1.2214141330516326,0.0,0.792647054006148,-1.5524937630189821,1,45.0,1,1,-0.6195291630008045,-0.6195291630008046
