visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Toshima-ku Higashiikebukuro,total_area_visitors,total_genre_visitors
2016-07-01,air_2545dd3a00f265e2,1,0,0,0,0,0,0,1.0817386650117535,1.172555298169461,0.0,-0.1742955364388307,1.0218764283806216,1,22.0,1,1,1.3175393398966644,1.3175393398966642
2016-07-02,air_2545dd3a00f265e2,0,0,1,0,0,0,0,1.2453001294703299,1.313881541618118,0.0,0.5014491903962089,1.1773460648612277,1,32.0,1,1,1.4697971345631997,1.4697971345631995
2016-07-03,air_2545dd3a00f265e2,0,0,0,1,0,0,0,1.5023252879052356,1.7378602719640888,0.0,0.69065771391002,1.3106057532731763,1,23.0,1,1,-0.4312397801847618,-0.4312397801847619
2016-07-04,air_2545dd3a00f265e2,0,1,0,0,0,0,0,1.3387638234466592,1.5494252806992126,0.0,0.555508768543012,1.1995560129298861,1,17.0,1,1,-1.16994506148556,-1.16994506148556
2016-07-05,air_2545dd3a00f265e2,0,0,0,0,0,1,0,0.6261031568771473,0.5836959504667235,0.0,-1.3636062556685007,0.8219868957626991,1,11.0,1,1,-0.5314093819390614,-0.5314093819390614
2016-07-06,air_2545dd3a00f265e2,0,0,0,0,0,0,1,0.7896646213357241,0.7367993808694349,0.0,-0.25538490365903566,0.8553018178656863,1,10.0,1,1,-0.09139164041472,-0.09139164041472009
2016-07-08,air_2545dd3a00f265e2,1,0,0,0,0,0,0,1.0466897797706298,1.078337802537023,0.0,-0.7959806851270673,1.0329814024149508,1,21.0,1,1,1.120114161166372,1.120114161166372
2016-07-09,air_2545dd3a00f265e2,0,0,1,0,0,0,0,0.7078838891064355,0.5012556417883399,0.0,-1.3636062556685007,0.8330918697970282,1,25.0,1,1,1.4111523858997734,1.4111523858997732
2016-07-10,air_2545dd3a00f265e2,0,0,0,1,0,0,0,1.0817386650117535,1.2549956068478443,0.0,1.7988790659194849,0.8219868957626991,1,47.0,1,1,-0.27752497312907304,-0.2775249731290731
2016-07-11,air_2545dd3a00f265e2,0,1,0,0,0,0,0,1.3621297469407416,1.5140937198370485,0.0,2.015117378506698,1.0551913504836088,1,16.0,1,1,-1.2183907234249123,-1.2183907234249123
2016-07-12,air_2545dd3a00f265e2,0,0,0,0,0,1,0,1.2569830912173712,1.313881541618118,0.0,0.3392704559557993,1.3106057532731763,1,22.0,1,1,-0.5168392580475268,-0.516839258047527
2016-07-13,air_2545dd3a00f265e2,0,0,0,0,0,0,1,1.0233238562765476,0.8192396895478185,0.0,-1.3636062556685007,1.188451038895557,1,19.0,1,1,-0.446538410270873,-0.44653841027087304
2016-07-15,air_2545dd3a00f265e2,1,0,0,0,0,0,0,0.6845179656123532,0.39526095920184734,0.0,-1.3636062556685007,0.9108266880373314,1,19.0,1,1,0.9139469081011593,0.9139469081011591
2016-07-16,air_2545dd3a00f265e2,0,0,1,0,0,0,0,0.9064942388061359,0.831016876501873,0.0,-0.9311296304940753,0.8108819217283703,1,34.0,1,1,1.3539646496255007,1.3539646496255004
2016-07-17,air_2545dd3a00f265e2,0,0,0,1,0,0,0,1.1167875502528766,0.9605659329964754,0.0,-1.3365764665950992,1.1995560129298861,1,35.0,1,1,0.45425949932324633,0.4542594993232462
2016-07-18,air_2545dd3a00f265e2,0,1,0,0,0,0,0,1.4439104791700297,1.5140937198370485,1.0,0.6636279248366185,1.3550256494104922,1,26.0,1,1,-1.028979112834964,-1.028979112834964
2016-07-19,air_2545dd3a00f265e2,0,0,0,0,0,1,0,1.2803490147114533,1.3727674763883913,0.0,0.3122406668823978,1.2106609869642149,1,20.0,1,1,-0.8585086633040105,-0.8585086633040105
2016-07-20,air_2545dd3a00f265e2,0,0,0,0,0,0,1,1.1635193972410416,1.0901149894910773,0.0,-0.12023595829202773,1.166241090826899,1,22.0,1,1,-0.39080768638575364,-0.3908076863857537
2016-07-22,air_2545dd3a00f265e2,1,0,0,0,0,0,0,0.5910542716360238,0.2421575287991355,0.0,-1.3636062556685007,0.8441968438313571,1,12.0,1,1,0.9758699346401808,0.9758699346401807
2016-07-23,air_2545dd3a00f265e2,0,0,1,0,0,0,0,0.7078838891064355,0.7603537547775447,0.0,-0.9851892086408784,0.7775669996253831,1,34.0,1,1,1.2829352956542701,1.28293529565427
2016-07-24,air_2545dd3a00f265e2,0,0,0,1,0,0,0,0.8831283153120532,0.9841203069045849,0.0,0.6095683466898152,0.6887272073507509,1,33.0,1,1,-0.4527307129247752,-0.45273071292477524
