visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-01-04,air_6d65542aa43b598b,0,1,0,0,0,0,0,-0.4885449819276759,-0.42927575443643246,0.0,0.7338437759171959,-0.6766578457886623,1,29.0,1,1,-1.56822471760586,-1.56822471760586
2016-01-05,air_6d65542aa43b598b,0,0,0,0,0,1,0,-0.5263021308312692,-0.6175113045013487,0.0,0.09689160132139997,-0.5214527850606091,1,12.0,1,1,-1.4400835127069394,-1.4400835127069394
2016-01-06,air_6d65542aa43b598b,0,0,0,0,0,0,1,-0.6899164427468409,-0.8308449279082538,0.0,-1.372998032361206,-0.5095139342353742,1,13.0,1,1,-1.3768871679907073,-1.3768871679907073
2016-01-08,air_6d65542aa43b598b,1,0,0,0,0,0,0,-1.0800736480839732,-1.094374697999137,0.0,-0.1725881648537444,-1.0825787738466475,1,29.0,1,1,-0.9792247933336279,-0.9792247933336279
2016-01-09,air_6d65542aa43b598b,0,0,1,0,0,0,0,-1.0549022154815777,-1.0190804779731701,0.0,0.8073382576013264,-0.9990068180700036,1,33.0,1,1,-0.724940686926023,-0.724940686926023
2016-01-10,air_6d65542aa43b598b,0,0,0,1,0,0,0,-1.0423164991803797,-1.1194727713411257,0.0,0.831836418162703,-1.0109456688952383,1,20.0,1,1,-1.0064516770256013,-1.0064516770256013
2016-01-11,air_6d65542aa43b598b,0,1,0,0,0,0,0,-1.0297307828791822,-1.0190804779731701,1.0,0.19488424356690712,-1.0109456688952383,1,34.0,1,1,-1.3628990442590514,-1.3628990442590514
2016-01-12,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.0297307828791822,-1.24496313805107,0.0,-1.3974961929225829,-0.8079852048662457,1,14.0,1,1,-1.4158540841003207,-1.4158540841003207
2016-01-13,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.1933450947947537,-1.1822179546960978,0.0,0.48886217030342816,-1.1303341771475868,1,27.0,1,1,-1.2150245933815444,-1.2150245933815444
2016-01-15,air_6d65542aa43b598b,1,0,0,0,0,0,0,-1.243687959999545,-1.2324141013800756,0.0,0.5868548125489353,-1.0825787738466475,1,12.0,1,1,-0.8520827401298254,-0.8520827401298254
2016-01-16,air_6d65542aa43b598b,0,0,1,0,0,0,0,-1.1933450947947537,-1.1194727713411257,0.0,0.9053308998468335,-1.3691111936522842,1,27.0,1,1,-0.7069559564138937,-0.7069559564138937
2016-01-17,air_6d65542aa43b598b,0,0,0,1,0,0,0,-1.1052450806863687,-1.0567275879861535,0.0,-0.1480900042923677,-1.3452334920018143,1,25.0,1,1,-1.3002022753903786,-1.3002022753903786
2016-01-18,air_6d65542aa43b598b,0,1,0,0,0,0,0,-0.8409450383612147,-1.0316295146441647,0.0,-1.0790201056246849,-0.6885966966138971,1,26.0,1,1,-1.5789655983283817,-1.5789655983283817
2016-01-19,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.583502300131886,-1.7469246048908467,0.0,-0.1725881648537444,-1.4049277461279888,1,11.0,1,1,-1.3464130412895996,-1.3464130412895996
2016-01-20,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.646430881637875,-1.6465323115228914,0.0,-0.3195771282220049,-1.4884997019046329,1,16.0,1,1,-1.2235173827900498,-1.2235173827900498
2016-01-22,air_6d65542aa43b598b,1,0,0,0,0,0,0,-1.2688593926019405,-1.0818256613281423,0.0,0.4643640097420515,-1.1183953263223523,1,25.0,1,1,-0.8006264278312335,-0.8006264278312335
2016-01-23,air_6d65542aa43b598b,0,0,1,0,0,0,0,-1.4198879882163142,-1.4206496514449918,0.0,-1.5199869957294667,-1.1064564754971171,1,24.0,1,1,-0.7286875057827166,-0.7286875057827166
2016-01-24,air_6d65542aa43b598b,0,0,0,1,0,0,0,-1.8855594913606337,-2.1484937783626683,0.0,0.7828400970399496,-1.7392155692345648,1,29.0,1,1,-1.413356204862525,-1.413356204862525
2016-01-25,air_6d65542aa43b598b,0,1,0,0,0,0,0,-1.8981452076618315,-1.7971207515748244,0.0,0.9053308998468335,-1.894420629962618,1,9.0,1,1,-1.4375856334691435,-1.4375856334691435
2016-01-26,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.507988002324699,-1.458296761457975,0.0,0.9053308998468335,-1.4765608510793977,1,20.0,1,1,-1.2679796332228137,-1.2679796332228137
2016-01-27,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.168173662192358,-1.157119881354109,0.0,0.7828400970399496,-1.28553923787564,1,19.0,1,1,-1.1191060306501885,-1.1191060306501885
2016-01-29,air_6d65542aa43b598b,1,0,0,0,0,0,0,-0.9668022013731928,-1.3579044680900196,0.0,-1.5199869957294667,-0.6647189949634275,1,18.0,1,1,-0.9842205518092193,-0.9842205518092193
2016-01-30,air_6d65542aa43b598b,0,0,1,0,0,0,0,-1.0423164991803797,-1.4331986881159862,0.0,-1.5199869957294667,-0.7363520999148365,1,30.0,1,1,-0.6882218621304258,-0.6882218621304258
2016-01-31,air_6d65542aa43b598b,0,0,0,1,0,0,0,-1.0674879317827755,-0.9814333679601871,0.0,0.8563345787240797,-1.0348233705457082,1,35.0,1,1,-1.2330093238936737,-1.2330093238936737
2016-02-01,air_6d65542aa43b598b,0,1,0,0,0,0,0,-1.1555879458911604,-1.4457477247869805,0.0,-1.5199869957294667,-0.8796183098176549,1,12.0,1,1,-1.4827972476732463,-1.4827972476732463
2016-02-02,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.1430022295899624,-0.9939824046311815,0.0,0.611352973110312,-1.0825787738466475,1,17.0,1,1,-1.337420676033535,-1.337420676033535
2016-02-03,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.294030825204336,-1.13202180801212,0.0,0.07239344076002328,-1.2139061329242309,1,13.0,1,1,-1.2639830264423406,-1.2639830264423406
2016-02-05,air_6d65542aa43b598b,1,0,0,0,0,0,0,-0.9416307687707973,-0.8308449279082538,0.0,0.8073382576013264,-0.8915571606428897,1,38.0,1,1,-0.8598261657669921,-0.8598261657669921
2016-02-06,air_6d65542aa43b598b,0,0,1,0,0,0,0,-1.1430022295899624,-1.157119881354109,0.0,-0.44206793102888875,-1.2258449837494658,1,34.0,1,1,-0.640762156612307,-0.640762156612307
2016-02-07,air_6d65542aa43b598b,0,0,0,1,0,0,0,-1.2814451089031385,-1.1445708446831144,0.0,1.0033235420923408,-1.297478088700875,1,33.0,1,1,-1.2402531736832811,-1.2402531736832811
2016-02-08,air_6d65542aa43b598b,0,1,0,0,0,0,0,-1.382130839312721,-1.0441785513151591,0.0,0.9788253815309635,-1.7153378675840953,1,21.0,1,1,-1.4323400870697724,-1.4323400870697724
2016-02-09,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.2688593926019405,-1.1822179546960978,0.0,0.12138976188277686,-1.2736003870504053,1,24.0,1,1,-1.2185216243144583,-1.2185216243144583
2016-02-10,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.3695451230115232,-1.2826102480640533,0.0,1.052319863215094,-1.297478088700875,1,38.0,1,1,-0.9005415973430625,-0.9005415973430625
2016-02-12,air_6d65542aa43b598b,1,0,0,0,0,0,0,-0.9416307687707973,-1.2073160280380866,0.0,-1.5199869957294667,-0.8438017573419503,1,27.0,1,1,-0.9172773882362939,-0.9172773882362939
2016-02-13,air_6d65542aa43b598b,0,0,1,0,0,0,0,-0.3752735352168955,-0.41672671776543785,0.0,-1.275005390115699,-0.5453304867110789,1,25.0,1,1,-0.7309355970967327,-0.7309355970967327
2016-02-14,air_6d65542aa43b598b,0,0,0,1,0,0,0,0.0022979538190390203,-0.22849116770052152,0.0,-1.3974961929225829,0.015795502074959767,1,17.0,1,1,-1.2574885404240717,-1.2574885404240717
2016-02-15,air_6d65542aa43b598b,0,1,0,0,0,0,0,-0.891287903566006,-1.0190804779731701,0.0,0.317375046373791,-1.0945176246718824,1,28.0,1,1,-1.4358371180026865,-1.4358371180026865
2016-02-16,air_6d65542aa43b598b,0,0,0,0,0,1,0,-1.4576451371199077,-1.5084929081419527,0.0,0.8563345787240797,-1.3571723428270492,1,17.0,1,1,-1.2782209380977763,-1.2782209380977763
2016-02-17,air_6d65542aa43b598b,0,0,0,0,0,0,1,-1.3443736904091277,-1.2700612113930587,0.0,0.9053308998468335,-1.3332946411765796,1,25.0,1,1,-1.11236175670814,-1.11236175670814
2016-02-19,air_6d65542aa43b598b,1,0,0,0,0,0,0,-0.8535307546624127,-0.6049622678303544,0.0,0.9788253815309635,-1.1661507296232916,1,30.0,1,1,-0.8086196413921798,-0.8086196413921798
2016-02-20,air_6d65542aa43b598b,0,0,1,0,0,0,0,-0.7150878753492365,-0.6551584145143321,0.0,-1.5199869957294667,-0.6647189949634275,1,41.0,1,1,-0.8420912231786425,-0.8420912231786425
2016-02-21,air_6d65542aa43b598b,0,0,0,1,0,0,0,-0.8535307546624127,-0.9814333679601871,0.0,1.052319863215094,-0.8796183098176549,1,27.0,1,1,-1.2040339247352432,-1.2040339247352432
