visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-01-05,air_eca4a5a191e8d993,0,0,0,0,0,1,0,-0.8778113738531883,-0.9370089959989474,0.0,-0.39055591073864054,-0.7414960264170897,1,9.0,1,1,-1.3791335844110373,-1.3791335844110373
2016-01-06,air_eca4a5a191e8d993,0,0,0,0,0,0,1,-0.9713364655708797,-0.8575692106338728,0.0,-0.6262061928622847,-0.98107758671354,1,26.0,1,1,-1.3161848235755345,-1.3161848235755345
2016-01-07,air_eca4a5a191e8d993,0,0,0,0,1,0,0,-0.9830271020355913,-1.129934189028414,0.0,-0.1549056286149966,-0.8213565465159064,1,23.0,1,1,-1.248259876112719,-1.248259876112719
2016-01-08,air_eca4a5a191e8d993,1,0,0,0,0,0,0,-0.9830271020355913,-0.9710546182982651,0.0,-0.07635553457378173,-0.9012170666147231,1,12.0,1,1,-0.9200803680414609,-0.9200803680414609
2016-01-09,air_eca4a5a191e8d993,0,0,1,0,0,0,0,-1.0999334666827056,-1.0731914851962179,0.0,0.18547811223026725,-0.9924862324419422,1,9.0,1,1,-0.6667924687112555,-0.6667924687112555
2016-01-10,air_eca4a5a191e8d993,0,0,0,1,0,0,0,-0.9947177385003028,-0.8575692106338728,0.0,-0.12872226393459157,-1.038120815355552,1,12.0,1,1,-0.9472005851603139,-0.9472005851603139
2016-01-12,air_eca4a5a191e8d993,0,0,0,0,0,1,0,-1.3571274689063573,-1.4022991674229555,0.0,-0.5214727341406651,-1.2891110213804045,1,22.0,1,1,-1.3549990792685718,-1.3549990792685718
2016-01-13,air_eca4a5a191e8d993,0,0,0,0,0,0,1,-1.1233147396121286,-0.9824031590647042,0.0,0.4211283943539112,-1.2662937299235997,1,18.0,1,1,-1.15495637685061,-1.15495637685061
2016-01-14,air_eca4a5a191e8d993,0,0,0,0,1,0,0,-1.1817679219356856,-1.266116678225685,0.0,0.028377924147837717,-1.0609381068123567,1,34.0,1,1,-1.0641409709021572,-1.0641409709021572
2016-01-15,air_eca4a5a191e8d993,1,0,0,0,0,0,0,-1.345436832441646,-1.2888137597585632,0.0,-0.36437254605823577,-1.1864332098247832,1,31.0,1,1,-0.7934364183763583,-0.7934364183763583
2016-01-16,air_eca4a5a191e8d993,0,0,1,0,0,0,0,-1.4389619241593372,-1.4022991674229555,0.0,-0.4167392754190455,-1.2891110213804045,1,32.0,1,1,-0.6488781968529306,-0.6488781968529306
2016-01-18,air_eca4a5a191e8d993,0,1,0,0,0,0,0,-1.2519117407239542,-1.379602085890077,0.0,-1.3593404039136219,-1.1179813354543686,1,11.0,1,1,-1.5174715726503243,-1.5174715726503243
2016-01-19,air_eca4a5a191e8d993,0,0,0,0,0,1,0,-1.1466960125415513,-1.2434195966928063,0.0,-0.9404065690271434,-1.0038948781703447,1,20.0,1,1,-1.2858300851489284,-1.2858300851489284
2016-01-20,air_eca4a5a191e8d993,0,0,0,0,0,0,1,-1.1817679219356856,-1.220722515159928,0.0,0.7615121351991748,-1.2434764384667951,1,37.0,1,1,-1.1634158941170412,-1.1634158941170412
2016-01-21,air_eca4a5a191e8d993,0,0,0,0,1,0,0,-1.193458558400397,-1.266116678225685,0.0,-0.3381891813778308,-1.1636159183679782,1,26.0,1,1,-1.0439874150615416,-1.0439874150615416
2016-01-22,air_eca4a5a191e8d993,1,0,0,0,0,0,0,-1.2752930136533773,-1.2547681374592456,0.0,0.73532877051877,-1.1636159183679782,1,27.0,1,1,-0.7421816961150397,-0.7421816961150397
2016-01-23,air_eca4a5a191e8d993,0,0,1,0,0,0,0,-1.2986742865828,-1.4022991674229555,0.0,-1.2022402158311924,-1.1864332098247832,1,25.0,1,1,-0.6705246086817399,-0.6705246086817399
