visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Toshima-ku Mejiro,total_area_visitors,total_genre_visitors
2016-01-05,air_a563896da3777078,0,0,0,0,0,1,0,-0.5321522441498467,-0.5317240846612906,0.0,0.7650301552003204,-0.7516005211633143,1,22.0,1,1,-1.4360254463195208,-1.436025446319521
2016-01-06,air_a563896da3777078,0,0,0,0,0,0,1,-0.7849331933501634,-1.0485355112062307,0.0,-1.3243441977781503,-0.510793596187805,1,33.0,1,1,-1.3722109143555048,-1.3722109143555048
2016-01-07,air_a563896da3777078,0,0,0,0,1,0,0,-0.8102112882701952,-0.846853003286254,0.0,-0.1304159960761671,-0.8238425986559671,1,31.0,1,1,-1.30335175535876,-1.3033517553587601
2016-01-08,air_a563896da3777078,1,0,0,0,0,0,0,-1.050353190010496,-1.0989561381862247,0.0,0.8396506678066941,-0.9924074461388237,1,39.0,1,1,-0.9706586025503119,-0.970658602550312
2016-01-09,air_a563896da3777078,0,0,1,0,0,0,0,-0.9871579527104167,-1.0107200409712351,0.0,0.8893976762109437,-1.02852848488515,1,22.0,1,1,-0.7138870865844286,-0.7138870865844287
2016-01-10,air_a563896da3777078,0,0,0,1,0,0,0,-0.9113236679503217,-0.846853003286254,0.0,0.9391446846151927,-1.0766898698802518,1,26.0,1,1,-0.9981518198786825,-0.9981518198786826
2016-01-11,air_a563896da3777078,0,1,0,0,0,0,0,-1.0124360476304484,-1.149376765166219,1.0,-0.5035185591080369,-0.9081250223973955,1,37.0,1,1,-1.3580859586638647,-1.358085958663865
2016-01-12,air_a563896da3777078,0,0,0,0,0,1,0,-1.480080803651034,-1.7040036619461547,0.0,-1.3243441977781503,-1.257295063611884,1,21.0,1,1,-1.4115590052107874,-1.4115590052107876
2016-01-13,air_a563896da3777078,0,0,0,0,0,0,1,-1.3663293765108917,-1.2502180191262073,0.0,0.8396506678066941,-1.4740212960898424,1,44.0,1,1,-1.2087649984950997,-1.2087649984950997
2016-01-14,air_a563896da3777078,0,0,0,0,1,0,0,-1.1514655696906226,-1.0359303544612322,0.0,0.9391446846151927,-1.3415774873533124,1,33.0,1,1,-1.1167005551478035,-1.1167005551478035
2016-01-15,air_a563896da3777078,1,0,0,0,0,0,0,-1.202021759530686,-1.0989561381862247,0.0,0.6904096425939462,-1.1248512548753538,1,37.0,1,1,-0.8422728445673702,-0.8422728445673703
2016-01-16,air_a563896da3777078,0,0,1,0,0,0,0,-1.0882703323905434,-0.9855097274812379,0.0,0.9391446846151927,-1.1489319473729047,1,53.0,1,1,-0.6957264292666058,-0.6957264292666059
2016-01-17,air_a563896da3777078,0,0,0,1,0,0,0,-1.1767436646106544,-1.3888747433211912,0.0,-0.5532655675122861,-1.0887302161290273,1,32.0,1,1,-1.2947758894031214,-1.2947758894031216
2016-01-19,air_a563896da3777078,0,0,0,0,0,1,0,-1.2652169968307652,-1.3888747433211912,0.0,0.9391446846151927,-1.257295063611884,1,29.0,1,1,-1.3414386894558605,-1.3414386894558605
2016-01-20,air_a563896da3777078,0,0,0,0,0,0,1,-1.3916074714309234,-1.3258489595961986,0.0,0.9640181888173173,-1.4499406035922915,1,28.0,1,1,-1.2173408644507382,-1.2173408644507382
2016-01-21,air_a563896da3777078,0,0,0,0,1,0,0,-1.2272998544507174,-1.2754283326162044,0.0,0.516295113179074,-1.2452547173631086,1,46.0,1,1,-1.0962698156652528,-1.096269815665253
2016-01-22,air_a563896da3777078,1,0,0,0,0,0,0,-1.1767436646106544,-1.174587078656216,0.0,0.6904096425939462,-1.0044477923875992,1,46.0,1,1,-0.7903131861302661,-0.7903131861302662
2016-01-23,air_a563896da3777078,0,0,1,0,0,0,0,-1.416885566350955,-1.666188191711159,0.0,-1.2745971893739008,-1.052609177382701,1,34.0,1,1,-0.717670556858975,-0.7176705568589751
2016-01-24,air_a563896da3777078,0,0,0,1,0,0,0,-1.4927198511110502,-1.3132438028512001,0.0,0.9142711804130682,-1.5101423348361689,1,39.0,1,1,-1.409036691694423,-1.4090366916944232
2016-01-26,air_a563896da3777078,0,0,0,0,0,1,0,-1.429524613810971,-1.2628231758712058,0.0,0.8147771636045695,-1.5221826810849444,1,34.0,1,1,-1.2622380450420223,-1.2622380450420223
2016-01-27,air_a563896da3777078,0,0,0,0,0,0,1,-1.1135484273105751,-0.7838272195612613,0.0,1.0137651972215669,-1.4981019885873934,1,23.0,1,1,-1.1119081594667113,-1.1119081594667115
