visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_464a62de0d57be1e,1,0,0,0,0,0,0,1.0731315721003276,1.1482435684017498,0.0,-0.1797041115057927,1.01925345534483,1,12.0,1,1,1.4295742864184242,1.4295742864184244
2016-07-02,air_464a62de0d57be1e,0,0,1,0,0,0,0,1.2351740036291732,1.2873305538380895,0.0,0.48596982913097775,1.1738650276353277,1,24.0,1,1,1.5908379186123296,1.59083791861233
2016-07-03,air_464a62de0d57be1e,0,0,0,1,0,0,0,1.4898121103173596,1.7045915101471085,0.0,0.6723585325092732,1.3063892324557547,1,21.0,1,1,-0.4226426948326294,-0.4226426948326291
2016-07-04,air_464a62de0d57be1e,0,1,0,0,0,0,0,1.3277696787885138,1.5191421962319887,0.0,0.5392237443819192,1.1959523951053992,1,17.0,1,1,-1.2050413696872715,-1.2050413696872713
2016-07-05,air_464a62de0d57be1e,0,0,0,0,0,1,0,0.6217276556985425,0.5687144624170007,0.0,-1.3512902470265087,0.82046714811419,1,28.0,1,1,-0.528737189697041,-0.5287371896970406
2016-07-06,air_464a62de0d57be1e,0,0,0,0,0,0,1,0.7837700872273886,0.7193920299730352,0.0,-0.25958498438220534,0.8535981993192967,1,23.0,1,1,-0.06269300861991686,-0.06269300861991654
2016-07-07,air_464a62de0d57be1e,0,0,0,0,1,0,0,1.2814718412088433,1.8552690777031438,0.0,2.056960329033756,1.0082097716097944,1,20.0,1,1,-0.13059348533314025,-0.1305934853331399
2016-07-08,air_464a62de0d57be1e,1,0,0,0,0,0,0,1.038408193915575,1.0555189114441899,0.0,-0.7921241368916215,1.0302971390798659,1,26.0,1,1,1.2204716819947476,1.220471681994748
2016-07-09,air_464a62de0d57be1e,0,0,1,0,0,0,0,0.7027488714629654,0.4875803875791356,0.0,-1.3512902470265087,0.8315108318492257,1,17.0,1,1,1.528724414346256,1.5287244143462564
2016-07-10,air_464a62de0d57be1e,0,0,0,1,0,0,0,1.0731315721003276,1.2293776432396146,0.0,1.7640637951535767,0.82046714811419,1,25.0,1,1,-0.25983586998615066,-0.2598358699861503
