visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Kōtō-ku Tōyō,total_area_visitors,total_genre_visitors
2016-01-06,air_0e1eae99b8723bc1,0,0,0,0,0,0,1,-0.7642540801665364,-0.9890821371925628,0.0,-1.326783207236353,-0.5095683454148976,1,14.0,1,1,-1.2286205322546242,-1.2286205322546242
2016-01-07,air_0e1eae99b8723bc1,0,0,0,0,1,0,0,-0.7376272604691392,-0.6942844897205488,0.0,0.08948501697957718,-0.8455586289454378,1,1.0,1,1,-1.160297972178829,-1.160297972178829
2016-01-09,air_0e1eae99b8723bc1,0,0,1,0,0,0,0,-0.8840747688048246,-0.8952828857241946,0.0,0.919711217382019,-0.9326672209718742,1,16.0,1,1,-0.5754268260354833,-0.5754268260354833
2016-01-10,air_0e1eae99b8723bc1,0,0,0,1,0,0,0,-0.7775674900152353,-0.7478840619881877,0.0,0.9441296350409142,-0.9202231363966689,1,11.0,1,1,-0.8574763689124839,-0.857476368912484
2016-01-11,air_0e1eae99b8723bc1,0,1,0,0,0,0,0,-0.9772686377457154,-1.1364809609285698,1.0,-0.8628332717173414,-0.9326672209718742,1,22.0,1,1,-1.2146056481365122,-1.2146056481365124
2016-01-12,air_0e1eae99b8723bc1,0,0,0,0,0,1,0,-1.456551392298868,-1.5786774321365906,0.0,-1.351201624895248,-1.1691048279007727,1,3.0,1,1,-1.2676619951550785,-1.2676619951550785
2016-01-13,air_0e1eae99b8723bc1,0,0,0,0,0,0,1,-1.2967904741144836,-1.069481495594021,0.0,0.7976191290875423,-1.6046477880329544,1,7.0,1,1,-1.0664483017450443,-1.0664483017450443
2016-01-14,air_0e1eae99b8723bc1,0,0,0,0,1,0,0,-1.0172088672918114,-0.8818829926572849,0.0,0.9685480526998095,-1.455318773130492,1,8.0,1,1,-0.975101289189494,-0.975101289189494
2016-01-15,air_0e1eae99b8723bc1,1,0,0,0,0,0,0,-1.163656375627497,-1.0560816025271114,0.0,0.6022717878163794,-1.057108066723926,1,4.0,1,1,-0.702812112037607,-0.702812112037607
2016-01-16,air_0e1eae99b8723bc1,0,0,1,0,0,0,0,-1.083775916535305,-0.8416833134565559,0.0,0.9441296350409142,-1.0322198975735157,1,19.0,1,1,-0.5574076893121966,-0.5574076893121966
2016-01-17,air_0e1eae99b8723bc1,0,0,0,1,0,0,0,-1.1503429657787982,-1.3374793569322154,0.0,-0.76515960108176,-1.1068844050247466,1,18.0,1,1,-1.1517889353928323,-1.1517889353928326
2016-01-18,air_0e1eae99b8723bc1,0,1,0,0,0,0,0,-1.4299245726014704,-1.3240794638653057,0.0,-1.2535279542596667,-1.318433842803235,1,4.0,1,1,-1.4310855546037753,-1.4310855546037755
2016-01-19,air_0e1eae99b8723bc1,0,0,0,0,0,1,0,-1.083775916535305,-1.2034804262631182,0.0,0.9685480526998095,-1.0695521512991313,1,11.0,1,1,-1.1980881061401663,-1.1980881061401663
2016-01-21,air_0e1eae99b8723bc1,0,0,0,0,1,0,0,-1.1503429657787982,-1.2436801054638476,0.0,0.2115771052740539,-1.119328489599952,1,8.0,1,1,-0.9548297603757965,-0.9548297603757966
