visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Fukuoka-ken Fukuoka-shi Imaizumi,total_area_visitors,total_genre_visitors
2016-07-01,air_800c02226e2e0288,1,0,0,0,0,0,0,1.1426315078587423,1.269219470065352,0.0,0.6178522087611741,0.9737434352117518,1,19.0,1,1,1.3288549822390872,1.3288549822390872
2016-07-03,air_800c02226e2e0288,0,0,0,1,0,0,0,1.3978941908379003,1.3027281797544767,0.0,-0.10058791373207387,1.5115880266058037,1,10.0,1,1,-0.47793868279490054,-0.47793868279490065
2016-07-05,air_800c02226e2e0288,0,0,0,0,0,1,0,1.4443055877432016,1.4926108679928463,0.0,1.4132680586644129,1.3098963048330343,1,5.0,1,1,-0.5814313422167598,-0.58143134221676
2016-07-07,air_800c02226e2e0288,0,0,0,0,1,0,0,1.1774400555377185,1.1463542012052308,0.0,0.6691693603678347,1.1978453482926068,1,2.0,1,1,-0.19305161667727322,-0.1930516166772733
2016-07-08,air_800c02226e2e0288,1,0,0,0,0,0,0,0.8061488802953062,0.632553985971994,0.0,-1.3065409764885973,0.9065128612874951,1,10.0,1,1,1.1248803589421863,1.1248803589421863
2016-07-09,air_800c02226e2e0288,0,0,1,0,0,0,0,0.9569859202375361,0.9006236634849869,0.0,-0.04927076212541326,0.9849485308657946,1,9.0,1,1,1.4255735766806066,1.4255735766806066
2016-07-11,air_800c02226e2e0288,0,1,0,0,0,0,0,1.0730144125007899,0.8671149537958627,0.0,-1.2295652490786064,1.2090504439466496,1,2.0,1,1,-1.2912028173790386,-1.2912028173790389
2016-07-12,air_800c02226e2e0288,0,0,0,0,0,1,0,1.2006457539903692,1.280389039961727,0.0,-0.5367837023886888,1.2090504439466496,1,3.0,1,1,-0.5663778644826712,-0.5663778644826714
2016-07-14,air_800c02226e2e0288,0,0,0,0,1,0,0,1.1658372063113929,1.1575237711016049,0.0,1.1310237248277797,1.1754351569845214,1,7.0,1,1,-0.27697475504481733,-0.27697475504481744
2016-07-15,air_800c02226e2e0288,1,0,0,0,0,0,0,0.945383071011211,0.9006236634849869,0.0,1.4132680586644129,1.0521791047900508,1,11.0,1,1,0.9118736490048321,0.9118736490048321
