visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_7dacea2f22afccfb,1,0,0,0,0,0,0,1.0690435557482045,1.1429433722584295,0.0,-0.16739330514752065,1.0170989086201567,1,39.0,1,1,1.497109520161181,1.497109520161181
2016-07-02,air_7dacea2f22afccfb,0,0,1,0,0,0,0,1.2306544111927964,1.2815836683738069,0.0,0.49375853998500935,1.171275648579152,1,2.0,1,1,1.6605450173065934,1.6605450173065934
2016-07-04,air_7dacea2f22afccfb,0,1,0,0,0,0,0,1.323003471446849,1.5126508285661024,0.0,0.5466506875956115,1.193300897144723,1,23.0,1,1,-1.1729885899010697,-1.1729885899010697
2016-07-05,air_7dacea2f22afccfb,0,0,0,0,0,1,0,0.6188418870096981,0.5652754717776896,0.0,-1.3310205525807735,0.8188716715300196,1,32.0,1,1,-0.4875760863223429,-0.4875760863223429
2016-07-06,air_7dacea2f22afccfb,0,0,0,0,0,0,1,0.7804527424542903,0.7154691259026816,0.0,-0.24673152656342445,0.8519095443783758,1,44.0,1,1,-0.015255319452347434,-0.015255319452347434
2016-07-07,air_7dacea2f22afccfb,0,0,0,0,1,0,0,1.2768289413198224,1.8476982108449322,0.0,2.05407689449778,1.006086284337371,1,34.0,1,1,-0.08407026561883683,-0.08407026561883683
2016-07-08,air_7dacea2f22afccfb,1,0,0,0,0,0,0,1.0344126581529347,1.050516508181511,0.0,-0.7756530026694484,1.0281115329029422,1,45.0,1,1,1.2851907654893786,1.2851907654893786
2016-07-09,air_7dacea2f22afccfb,0,0,1,0,0,0,0,0.699647314731994,0.4844019657103857,0.0,-1.3310205525807735,0.8298842958128051,1,1.0,1,1,1.597594981324748,1.597594981324748
2016-07-11,air_7dacea2f22afccfb,0,1,0,0,0,0,0,1.346090736510362,1.4779907545372584,0.0,1.9747386730818763,1.050136781468513,1,12.0,1,1,-1.2249907935382465,-1.2249907935382465
2016-07-12,air_7dacea2f22afccfb,0,0,0,0,0,1,0,1.242198043724553,1.2815836683738069,0.0,0.335082097153202,1.303427139972577,1,24.0,1,1,-0.4719363258299589,-0.4719363258299589
2016-07-13,air_7dacea2f22afccfb,0,0,0,0,0,0,1,1.0113253930894217,0.7963426319699856,0.0,-1.3310205525807735,1.1822882728619375,1,27.0,1,1,-0.3964744814542064,-0.3964744814542064
2016-07-14,air_7dacea2f22afccfb,0,0,0,0,1,0,0,1.103674453343474,1.4086706064795695,0.0,-0.29962367417402674,0.940010538640659,1,35.0,1,1,-0.1712619303638774,-0.1712619303638774
2016-07-15,air_7dacea2f22afccfb,1,0,0,0,0,0,0,0.6765600496684809,0.38042174362385267,0.0,-1.3310205525807735,0.9069726657923027,1,13.0,1,1,1.0638881545221455,1.0638881545221455
2016-07-16,air_7dacea2f22afccfb,0,0,1,0,0,0,0,0.8958890677718561,0.8078959899796001,0.0,-0.9078833716959543,0.8078590472472345,1,1.0,1,1,1.536208921392141,1.536208921392141
2016-07-19,air_7dacea2f22afccfb,0,0,0,0,0,1,0,1.2652853087880662,1.3393504584218805,0.0,0.3086360233479009,1.2043135214275082,1,4.0,1,1,-0.8386887093763628,-0.8386887093763628
2016-07-20,air_7dacea2f22afccfb,0,0,0,0,0,0,1,1.1498489834705004,1.0620698661911256,0.0,-0.11450115753691845,1.1602630242963667,1,6.0,1,1,-0.3366523975708377,-0.3366523975708377
2016-07-21,air_7dacea2f22afccfb,0,0,0,0,1,0,0,0.6303855195414548,0.41508181765269714,0.0,-1.3310205525807735,0.8959600415095172,1,31.0,1,1,-0.10635692432048398,-0.10635692432048398
2016-07-22,air_7dacea2f22afccfb,1,0,0,0,0,0,0,0.5842109894144283,0.23022808949886023,0.0,-1.3310205525807735,0.8408969200955903,1,41.0,1,1,1.1303571366147773,1.1303571366147773
2016-07-23,air_7dacea2f22afccfb,0,0,1,0,0,0,0,0.699647314731994,0.7385758419219116,0.0,-0.9607755193065568,0.7748211743988782,1,1.0,1,1,1.4599650889917692,1.4599650889917692
2016-07-25,air_7dacea2f22afccfb,0,1,0,0,0,0,0,0.9651508629623952,0.8310027059988296,0.0,-1.119451962138364,0.9179852900750883,1,1.0,1,1,-1.0744580987990509,-1.0744580987990509
2016-07-26,air_7dacea2f22afccfb,0,0,0,0,0,1,0,0.8612581701765862,0.7732359159507556,0.0,-1.3045744787754725,0.9510231629234441,1,48.0,1,1,-0.3116287807830234,-0.3116287807830234
2016-07-27,air_7dacea2f22afccfb,0,0,0,0,0,0,1,0.9420635978988822,0.761682557941141,0.0,-1.25168233116487,1.061149405751298,1,41.0,1,1,-0.0993190320989112,-0.0993190320989112
2016-07-28,air_7dacea2f22afccfb,0,0,0,0,1,0,0,1.1729362485340136,1.2007101623065035,0.0,0.04417528529488889,1.1602630242963667,1,37.0,1,1,0.13566836929915774,0.13566836929915774
2016-07-29,air_7dacea2f22afccfb,1,0,0,0,0,0,0,1.2537416762563094,1.3509038164314955,0.0,1.7102779350288644,1.116212527165225,1,17.0,1,1,1.3876311967144934,1.3876311967144934
2016-07-30,air_7dacea2f22afccfb,0,0,1,0,0,0,0,1.2537416762563094,1.4086706064795695,0.0,1.5251554183917562,1.0281115329029422,1,1.0,1,1,1.5111853046043267,1.5111853046043267
2016-08-01,air_7dacea2f22afccfb,0,1,0,0,0,0,0,1.2768289413198224,1.2469235943449626,0.0,-0.8285451502800507,1.303427139972577,1,29.0,1,1,-1.1315432245962522,-1.1315432245962522
2016-08-02,air_7dacea2f22afccfb,0,0,0,0,0,1,0,1.103674453343474,1.0043030761430516,0.0,-0.8814372978906531,1.0721620300340835,1,30.0,1,1,-0.7600989129021334,-0.7600989129021334
2016-08-03,air_7dacea2f22afccfb,0,0,0,0,0,0,1,1.2075671461292834,1.3046903843930364,0.0,-0.24673152656342445,1.171275648579152,1,15.0,1,1,-0.28895112806906664,-0.28895112806906664
2016-08-04,air_7dacea2f22afccfb,0,0,0,0,1,0,0,1.3576343690421189,1.4202239644891845,0.0,0.9168957208698284,1.2814018914070058,1,39.0,1,1,-0.15562216987149344,-0.15562216987149344
2016-08-05,air_7dacea2f22afccfb,1,0,0,0,0,0,0,1.4268961642326579,1.4664373965276436,0.0,1.5251554183917562,1.303427139972577,1,39.0,1,1,0.9504998909523619,0.9504998909523619
2016-08-06,air_7dacea2f22afccfb,0,0,1,0,0,0,0,1.4730706943596845,1.5588642606045624,0.0,0.9962339422857323,1.4355786313660015,1,1.0,1,1,0.6955717949265033,0.6955717949265033
