visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-07-01,air_9efaa7ded03c5a71,1,0,0,0,0,0,0,1.0894080386605403,1.1327913515533523,0.0,2.0419668417662593,0.9374706037156829,1,39.0,1,1,1.3613109077157266,1.3613109077157266
2016-07-02,air_9efaa7ded03c5a71,0,0,1,0,0,0,0,1.036005683824239,0.8516711097436285,0.0,-1.2477904725442095,1.1249647244588197,1,55.0,1,1,1.520780561935326,1.520780561935326
2016-07-04,air_9efaa7ded03c5a71,0,1,0,0,0,0,0,1.0894080386605403,1.18485065559219,0.0,-0.5229286914249536,0.9062215835918267,1,43.0,1,1,-1.243995955120746,-1.243995955120746
2016-07-05,air_9efaa7ded03c5a71,0,0,0,0,0,1,0,0.5233430773957496,0.2790187653164132,0.0,-1.387186968913297,0.7499764829725462,1,21.0,1,1,-0.5752153239079276,-0.5752153239079276
2016-07-06,air_9efaa7ded03c5a71,0,0,0,0,0,0,1,0.6515087290028718,0.40396109500962374,0.0,-1.387186968913297,0.7499764829725462,1,28.0,1,1,-0.11435565334028097,-0.11435565334028097
2016-07-07,air_9efaa7ded03c5a71,0,0,0,0,1,0,0,0.7049110838391729,0.6330220327805098,0.0,-1.080514676901304,0.8124745232202586,1,14.0,1,1,-0.18150077090642816,-0.18150077090642816
2016-07-08,air_9efaa7ded03c5a71,1,0,0,0,0,0,0,0.7903548515772545,0.7787880840892557,0.0,-0.2998942972344134,0.7916418431376879,1,65.0,1,1,1.154534466119978,1.154534466119978
2016-07-09,air_9efaa7ded03c5a71,0,0,1,0,0,0,0,0.9292009741516372,0.789199944897023,0.0,-1.2756697718180268,1.1249647244588197,1,52.0,1,1,1.4593580396162937,1.4593580396162937
2016-07-10,air_9efaa7ded03c5a71,0,0,0,1,0,0,0,1.1962127483331422,1.3097929852854007,0.0,0.8710362722659227,1.0624666842111072,1,29.0,1,1,-0.3093053980919924,-0.3093053980919924
2016-07-11,air_9efaa7ded03c5a71,0,1,0,0,0,0,0,1.132129922529581,1.4139115933630761,0.0,1.9025703453971716,1.0728830242523928,1,23.0,1,1,-1.294736299645164,-1.294736299645164
2016-07-12,air_9efaa7ded03c5a71,0,0,0,0,0,1,0,0.9719228580206778,1.0286727434756768,0.0,1.7910531483019014,0.9166379236331123,1,23.0,1,1,-0.5599550699156214,-0.5599550699156214
