visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.0881383454587914,1.1779027862084106,0.0,-0.16854795725240515,1.0300491828580238,1,11.0,1,1,1.3509542844140614,1.3509542844140616
2016-07-02,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,1.2503932940124098,1.3193065730188358,0.0,0.48463941507834485,1.1824540560832697,1,2.0,1,1,1.5122775442026521,1.5122775442026526
2016-07-04,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,1.3431104074716207,1.5549795510362103,0.0,0.5368944048648047,1.2042261808297337,1,3.0,1,1,-1.284635526821075,-1.284635526821075
2016-07-05,air_e524c6a9e06cc3a1,0,0,0,0,0,1,0,0.6361424173451394,0.5887203411649728,0.0,-1.3181577325545253,0.8341000601398503,1,4.0,1,1,-0.6080812818225109,-0.6080812818225108
2016-07-06,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,0.7983973658987582,0.7419077768762663,0.0,-0.24693044193209535,0.8667582472595459,1,3.0,1,1,-0.14186477984974113,-0.14186477984974097
2016-07-08,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.0533694279115873,1.0836335950014606,0.0,-0.7694803397966953,1.0409352452312557,1,15.0,1,1,1.141774363826941,1.1417743638269415
2016-07-09,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,0.7172698916219487,0.5062347988588912,0.0,-1.3181577325545253,0.8449861225130822,1,6.0,1,1,1.4501410733271423,1.4501410733271427
2016-07-11,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,1.366289685836423,1.5196286043336045,0.0,1.9477791290992248,1.0627073699777194,1,9.0,1,1,-1.3359656549356267,-1.3359656549356265
2016-07-12,air_e524c6a9e06cc3a1,0,0,0,0,0,1,0,1.2619829331948114,1.3193065730188358,0.0,0.3278744457189647,1.3130868045620523,1,15.0,1,1,-0.5926436493068563,-0.5926436493068561
2016-07-13,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,1.030190149546785,0.824393319182348,0.0,-1.3181577325545253,1.1933401184565016,1,5.0,1,1,-0.5181570724188227,-0.5181570724188226
2016-07-14,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,1.122907263005995,1.4489267109283919,0.0,-0.2991854317185553,0.9538467462454008,1,5.0,1,1,-0.295855164193396,-0.2958551641933959
2016-07-15,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,0.694090613257146,0.40018195875107254,0.0,-1.3181577325545253,0.9211885591257052,1,15.0,1,1,0.9233318637304282,0.9233318637304284
2016-07-20,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,1.1692658197356007,1.095417243902329,0.0,-0.11629296746594535,1.171567993710038,1,2.0,1,1,-0.45910812804644374,-0.4591081280464436
2016-07-21,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,0.6477320565275408,0.4355329054536789,0.0,-1.3181577325545253,0.9103024967524732,1,15.0,1,1,-0.23178898925342933,-0.2317889892534292
2016-07-22,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,0.6013734997979353,0.24699452303977862,0.0,-1.3181577325545253,0.8558721848863139,1,8.0,1,1,0.9889418019219604,0.9889418019219606
2016-07-25,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,0.9838315928171792,0.8597442658849539,0.0,-1.1091377734086854,0.9320746214989372,1,4.0,1,1,-1.187378441972451,-1.1873784419724507
2016-07-26,air_e524c6a9e06cc3a1,0,0,0,0,0,1,0,0.8795248401755674,0.8008260213806101,0.0,-1.2920302376612953,0.9647328086186324,1,9.0,1,1,-0.43440791602139633,-0.43440791602139617
2016-07-27,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,0.9606523144523766,0.7890423724797416,0.0,-1.2397752478748354,1.073593432350951,1,6.0,1,1,-0.22484205462138476,-0.2248420546213846
2016-07-28,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,1.1924450981004033,1.2368210307127545,0.0,0.04047200189343479,1.171567993710038,1,8.0,1,1,0.007108373926326027,0.007108373926326199
2016-07-29,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.2735725723772124,1.390008466424048,0.0,1.6865041801669247,1.1280237442171104,1,6.0,1,1,1.242890856804479,1.2428908568044792
2016-07-30,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,1.2735725723772124,1.4489267109283919,0.0,1.503611715914315,1.0409352452312557,1,10.0,1,1,1.3648481536781505,1.3648481536781507
2016-08-01,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,1.296751850742015,1.2839556263162293,0.0,-0.8217353295831553,1.3130868045620523,1,5.0,1,1,-1.2437258006545902,-1.2437258006545902
2016-08-04,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,1.3778793250188246,1.4607103598292608,0.0,0.9026793333700248,1.2913146798155881,1,4.0,1,1,-0.2804175316777414,-0.28041753167774125
2016-08-05,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.4474171601132324,1.5078449554327356,0.0,1.503611715914315,1.3130868045620523,1,9.0,1,1,0.8114090279919322,0.8114090279919324
2016-08-06,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,1.493775716842838,1.6021141466396862,0.0,0.9810618180497149,1.4437195530408344,1,3.0,1,1,0.5597756179867617,0.5597756179867619
2016-08-08,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,1.4242378817484298,1.4842776576309986,0.0,-0.11629296746594535,1.3892892411746751,1,7.0,1,1,-1.2244287600100219,-1.2244287600100219
2016-08-09,air_e524c6a9e06cc3a1,0,0,0,0,0,1,0,1.8182856139500747,2.0145418581700927,0.0,0.7981693537971046,1.4328334906676023,1,9.0,1,1,-0.35992133913336277,-0.3599213391333626
2016-08-10,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,1.493775716842838,1.5785468488379484,0.0,-0.03791048278625516,1.465491677787298,1,11.0,1,1,0.6832766781119988,0.683276678111999
2016-08-17,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,1.4474171601132324,1.6138977955405542,0.0,1.2945917567684748,1.1389098065903422,1,9.0,1,1,-0.8956071874265783,-0.8956071874265782
2016-08-18,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,1.2388036548300083,1.2957392752170982,0.0,-1.0307552887289952,1.378403178801443,1,6.0,1,1,-0.609239104261185,-0.6092391042611849
2016-08-19,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.319931129106818,1.378224817523179,0.0,0.48463941507834485,1.3566310540549795,1,12.0,1,1,0.7732008875156869,0.7732008875156872
2016-08-20,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,1.0997279846411925,1.107200892803198,0.0,-0.9001178142628452,1.258656492695893,1,4.0,1,1,0.6512435906420154,0.6512435906420155
2016-08-22,air_e524c6a9e06cc3a1,0,1,0,0,0,0,0,1.0997279846411925,0.9068788614884292,0.0,-1.3181577325545253,1.160681931336806,1,2.0,1,1,-2.115952037789077,-2.115952037789077
2016-08-23,air_e524c6a9e06cc3a1,0,0,0,0,0,1,0,1.2272140156476072,1.1543354884066728,0.0,-0.8739903193696152,1.2695425550691246,1,11.0,1,1,-0.6763928057042826,-0.6763928057042825
2016-08-24,air_e524c6a9e06cc3a1,0,0,0,0,0,0,1,1.1924450981004033,1.248604679613623,0.0,-0.8217353295831553,1.1933401184565016,1,3.0,1,1,-0.47917705031679475,-0.4791770503167946
2016-08-25,air_e524c6a9e06cc3a1,0,0,0,0,1,0,0,1.366289685836423,1.4253594131266547,0.0,1.7910141597398448,1.1933401184565016,1,2.0,1,1,-0.3448696474305995,-0.34486964743059934
2016-08-26,air_e524c6a9e06cc3a1,1,0,0,0,0,0,0,1.4010586033836272,1.437143062027523,0.0,1.3468467465549345,1.2477704303226609,1,8.0,1,1,1.082339478641671,1.0823394786416711
2016-08-27,air_e524c6a9e06cc3a1,0,0,1,0,0,0,0,0.937473036087574,0.7536914257771353,0.0,-1.3181577325545253,0.9865049333650965,1,10.0,1,1,1.1475634760203117,1.147563476020312
2016-08-28,air_e524c6a9e06cc3a1,0,0,0,1,0,0,0,0.7404491699867516,0.47088385215628525,0.0,-1.3181577325545253,0.9538467462454008,1,4.0,1,1,-0.31245061914772476,-0.3124506191477246
