visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_a9178f19da58fe99,1,0,0,0,0,0,0,1.0657439064174672,1.1422287139681198,0.0,-0.19800210103707938,1.0096734029102608,1,2.0,1,1,1.2673414271745382,1.2673414271745382
2016-07-02,air_a9178f19da58fe99,0,0,1,0,0,0,0,1.2274309917303943,1.2810727663358814,0.0,0.470147223942906,1.1637425234012255,1,3.0,1,1,1.4232563805898473,1.4232563805898473
2016-07-04,air_a9178f19da58fe99,0,1,0,0,0,0,0,1.31982361190921,1.5124795202821506,0.0,0.5235991699413046,1.185752397757078,1,2.0,1,1,-1.2798911490770049,-1.2798911490770049
2016-07-05,air_a9178f19da58fe99,0,0,0,0,0,1,0,0.6153298830457408,0.5637118291024454,0.0,-1.3739449130018537,0.8115845337075912,1,13.0,1,1,-0.6260181506630417,-0.6260181506630417
2016-07-06,air_a9178f19da58fe99,0,0,0,0,0,0,1,0.7770169683586683,0.7141262191675204,0.0,-0.2781800200346778,0.8445993452413695,1,5.0,1,1,-0.17543139533841667,-0.17543139533841667
2016-07-07,air_a9178f19da58fe99,0,0,0,0,1,0,0,1.2736273018198019,1.8480193135042424,0.0,2.0469796308956716,0.9986684657323345,1,9.0,1,1,-0.2410797967764415,-0.2410797967764415
2016-07-08,air_a9178f19da58fe99,1,0,0,0,0,0,0,1.0310966738504113,1.0496660123896118,0.0,-0.812699480018666,1.020678340088187,1,11.0,1,1,1.0651741909278936,1.0651741909278936
2016-07-09,air_a9178f19da58fe99,0,0,1,0,0,0,0,0.6961734257022043,0.4827194652212507,0.0,-1.3739449130018537,0.8225894708855175,1,8.0,1,1,1.3632030133652904,1.3632030133652904
2016-07-11,air_a9178f19da58fe99,0,1,0,0,0,0,0,1.342921766953914,1.4777685071902105,0.0,1.966801711898073,1.042688214444039,1,2.0,1,1,-1.3295004524364213,-1.3295004524364213
2016-07-12,air_a9178f19da58fe99,0,0,0,0,0,1,0,1.2389800692527464,1.2810727663358814,0.0,0.30979138594770933,1.2958017695363389,1,7.0,1,1,-0.6110980594271269,-0.6110980594271269
2016-07-13,air_a9178f19da58fe99,0,0,0,0,0,0,1,1.0079985188057075,0.7951185830487151,0.0,-1.3739449130018537,1.174747460579152,1,9.0,1,1,-0.5391086192138383,-0.5391086192138383
2016-07-14,air_a9178f19da58fe99,0,0,0,0,1,0,0,1.1003911389845227,1.4083464810063295,0.0,-0.33163196603307654,0.9326388426647783,1,9.0,1,1,-0.32425930541666614,-0.32425930541666614
2016-07-15,air_a9178f19da58fe99,1,0,0,0,0,0,0,0.6730752706575005,0.3785864259454295,0.0,-1.3739449130018537,0.8996240311309999,1,6.0,1,1,0.8540548999397001,0.8540548999397001
2016-07-16,air_a9178f19da58fe99,0,0,1,0,0,0,0,0.8925077435821879,0.8066889207460284,0.0,-0.946329345014663,0.8005795965296654,1,15.0,1,1,1.304641655264325,1.304641655264325
2016-07-19,air_a9178f19da58fe99,0,0,0,0,0,1,0,1.2620782242974502,1.3389244548224484,0.0,0.28306541294851,1.1967573349350038,1,2.0,1,1,-0.9609741989093274,-0.9609741989093274
2016-07-20,air_a9178f19da58fe99,0,0,0,0,0,0,1,1.1465874490739307,1.0612363500869249,0.0,-0.14455015503868074,1.1527375862232998,1,7.0,1,1,-0.4820392702364645,-0.4820392702364645
2016-07-21,air_a9178f19da58fe99,0,0,0,0,1,0,0,0.6268789605680929,0.41329743903737004,0.0,-1.3739449130018537,0.8886190939530737,1,12.0,1,1,-0.26234092678762,-0.26234092678762
2016-07-22,air_a9178f19da58fe99,1,0,0,0,0,0,0,0.5806826504786848,0.22817203588035415,0.0,-1.3739449130018537,0.8335944080634433,1,3.0,1,1,0.9174652876923377,0.9174652876923377
2016-07-23,air_a9178f19da58fe99,0,0,1,0,0,0,0,0.6961734257022043,0.7372668945621477,0.0,-0.9997812910130619,0.7675647849958871,1,5.0,1,1,1.2319062104892406,1.2319062104892406
2016-07-25,air_a9178f19da58fe99,0,1,0,0,0,0,0,0.9618022087162993,0.8298295961406552,0.0,-1.1601371290082583,0.9106289683089261,1,5.0,1,1,-1.185894574290742,-1.185894574290742
2016-07-26,air_a9178f19da58fe99,0,0,0,0,0,1,0,0.8578605110151319,0.7719779076540878,0.0,-1.3472189400026544,0.9436437798427041,1,8.0,1,1,-0.4581671242590009,-0.4581671242590009
2016-07-27,air_a9178f19da58fe99,0,0,0,0,0,0,1,0.9387040536715955,0.7604075699567746,0.0,-1.2937669940042555,1.0536931516219648,1,9.0,1,1,-0.25562688573145836,-0.25562688573145836
2016-07-29,air_a9178f19da58fe99,1,0,0,0,0,0,0,1.250529146775098,1.3504947925197621,0.0,1.6995419819060789,1.1087178375115951,1,25.0,1,1,1.162900788523135,1.162900788523135
