visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-01-05,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-0.5517598853373405,-0.6414312021325345,0.0,0.08575638390476639,-0.5497601837264933,1,12.0,1,1,-1.381225891278462,-1.381225891278462
2016-01-06,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-0.7144133261938356,-0.8526024027029393,0.0,-1.3707955095218252,-0.5378827527420111,1,2.0,1,1,-1.3173461321797537,-1.3173461321797537
2016-01-07,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-0.8520431607647159,-0.9271334146689648,0.0,0.7169288710562893,-0.7873088034161341,1,2.0,1,1,-1.2484165897530843,-1.2484165897530841
2016-01-08,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-1.1022792236208618,-1.113460944584028,0.0,-0.1812781298901086,-1.1079994399971493,1,8.0,1,1,-0.9153833792740473,-0.9153833792740472
2016-01-09,air_41bbf6e1d9814c4b,0,0,1,0,0,0,0,-1.0772556173352474,-1.0389299326180026,0.0,0.789756465727619,-1.024857423105775,1,9.0,1,1,-0.6583494078808255,-0.6583494078808254
2016-01-11,air_41bbf6e1d9814c4b,0,1,0,0,0,0,0,-1.0522320110496326,-1.0389299326180026,1.0,0.18285984346653925,-1.0367348540902568,1,9.0,1,1,-1.3032067388614625,-1.3032067388614625
2016-01-12,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-1.0522320110496326,-1.2625229685160784,0.0,-1.3950713744122683,-0.8348185273540621,1,11.0,1,1,-1.3567344421378507,-1.3567344421378504
2016-01-13,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-1.2148854519061276,-1.200413791877724,0.0,0.4741702221518574,-1.1555091639350772,1,2.0,1,1,-1.153733152353813,-1.1537331523538128
2016-01-14,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-1.2524208613345498,-1.3743194864651163,0.0,0.5955495466040733,-1.2030188878730057,1,3.0,1,1,-1.0615746066185223,-1.061574606618522
2016-01-15,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-1.2649326644773569,-1.2501011331884075,0.0,0.5712736817136302,-1.1079994399971493,1,6.0,1,1,-0.7868663935774365,-0.7868663935774364
2016-01-16,air_41bbf6e1d9814c4b,0,0,1,0,0,0,0,-1.2148854519061276,-1.1383046152393697,0.0,0.8868599252893918,-1.3930577836247182,1,7.0,1,1,-0.6401701879001654,-0.6401701879001653
2016-01-19,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-1.602751349333154,-1.7593963816229135,0.0,-0.1812781298901086,-1.4286900765781643,1,11.0,1,1,-1.2865424538791908,-1.2865424538791908
2016-01-20,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-1.6653103650471905,-1.6600216990015464,0.0,-0.3269333192327677,-1.5118320934695386,1,8.0,1,1,-1.162317784011347,-1.1623177840113468
2016-01-21,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-1.4025624990482373,-1.411584992448129,0.0,0.11003224879520972,-1.2980383357488618,1,3.0,1,1,-1.0411229841402796,-1.0411229841402796
2016-01-22,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-1.2899562707629715,-1.101039109256357,0.0,0.44989435726141425,-1.1436317329505954,1,5.0,1,1,-0.7348536252994368,-0.7348536252994367
2016-01-23,air_41bbf6e1d9814c4b,0,0,1,0,0,0,0,-1.4400979084766592,-1.4364286631034708,0.0,-1.5164506988644841,-1.1317543019661132,1,11.0,1,1,-0.6621367453767965,-0.6621367453767962
2016-01-25,air_41bbf6e1d9814c4b,0,1,0,0,0,0,0,-1.9155464279033365,-1.8090837229335972,0.0,0.8868599252893918,-1.9156647469419281,1,5.0,1,1,-1.3787009996144814,-1.3787009996144814
2016-01-26,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-1.5276805304763101,-1.4736941690864833,0.0,0.8868599252893918,-1.4999546624850564,1,12.0,1,1,-1.207260855630201,-1.207260855630201
2016-01-27,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-1.1898618456205132,-1.1755701212223824,0.0,0.765480600837176,-1.3099157667333439,1,3.0,1,1,-1.056777312456959,-1.056777312456959
2016-01-28,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-0.9020903733359451,-0.9271334146689648,0.0,0.7412047359467329,-0.9179605442454365,1,11.0,1,1,-1.0623320741177165,-1.0623320741177162
2016-01-29,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-0.9896729953355962,-1.3743194864651163,0.0,-1.5164506988644841,-0.6922893555402778,1,9.0,1,1,-0.9204331626020085,-0.9204331626020084
2016-01-30,air_41bbf6e1d9814c4b,0,0,1,0,0,0,0,-1.0647438141924401,-1.4488504984311417,0.0,-1.5164506988644841,-0.7635539414471699,1,17.0,1,1,-0.6212335004203112,-0.6212335004203111
2016-02-01,air_41bbf6e1d9814c4b,0,1,0,0,0,0,0,-1.1773500424777057,-1.4612723337588125,0.0,-1.5164506988644841,-0.9060831132609545,1,4.0,1,1,-1.4244015387325297,-1.4244015387325297
2016-02-02,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-1.1648382393348984,-1.014086261962661,0.0,0.5955495466040733,-1.1079994399971493,1,19.0,1,1,-1.2774528438888608,-1.2774528438888606
2016-02-03,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-1.314979877048586,-1.1507264505670405,0.0,0.06148051901432329,-1.2386511808264515,1,7.0,1,1,-1.203221028967832,-1.203221028967832
2016-02-04,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-1.2649326644773569,-1.1755701212223824,0.0,0.8383081955085052,-1.381180352640236,1,6.0,1,1,-1.1658526323409197,-1.1658526323409195
2016-02-05,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-0.9646493890499817,-0.8526024027029393,0.0,0.789756465727619,-0.9179605442454365,1,9.0,1,1,-0.7946935577357762,-0.7946935577357761
2016-02-06,air_41bbf6e1d9814c4b,0,0,1,0,0,0,0,-1.1648382393348984,-1.1755701212223824,0.0,-0.44831264368498364,-1.2505286118109336,1,11.0,1,1,-0.5732605588046804,-0.5732605588046803
2016-02-08,air_41bbf6e1d9814c4b,0,1,0,0,0,0,0,-1.4025624990482373,-1.0637736032733445,0.0,0.9596875199607212,-1.7375032821746976,1,7.0,1,1,-1.3733987271201225,-1.3733987271201222
2016-02-09,air_41bbf6e1d9814c4b,0,0,0,0,0,1,0,-1.2899562707629715,-1.200413791877724,0.0,0.11003224879520972,-1.2980383357488618,1,12.0,1,1,-1.1572680006833858,-1.1572680006833855
2016-02-10,air_41bbf6e1d9814c4b,0,0,0,0,0,0,1,-1.39005069590543,-1.299788474499091,0.0,1.032515114632051,-1.3217931977178259,1,8.0,1,1,-0.8358492918586595,-0.8358492918586593
2016-02-11,air_41bbf6e1d9814c4b,0,0,0,0,1,0,0,-1.1773500424777057,-0.9519770853243065,1.0,1.0082392497416077,-1.5237095244540206,1,9.0,1,1,-0.9085661717812998,-0.9085661717812997
2016-02-12,air_41bbf6e1d9814c4b,1,0,0,0,0,0,0,-0.9646493890499817,-1.2252574625330657,0.0,-1.5164506988644841,-0.8704508203075084,1,12.0,1,1,-0.8527660660073293,-0.8527660660073292
