visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Kōtō-ku Tōyō,total_area_visitors,total_genre_visitors
2016-07-01,air_5dea8a7a5bf5eb71,1,0,0,0,0,0,0,1.07870786076967,1.1720154939991423,0.0,0.9191267198678214,1.038476135974763,1,37.0,1,1,1.4363824009262682,1.4363824009262682
2016-07-02,air_5dea8a7a5bf5eb71,0,0,1,0,0,0,0,0.9957921067220481,0.8474573571993799,0.0,0.3390755821579583,1.0606363030790662,1,27.0,1,1,1.5974826996991387,1.5974826996991387
2016-07-03,air_5dea8a7a5bf5eb71,0,0,0,1,0,0,0,1.114243183932937,1.2922222113323876,0.0,0.8182482611356716,1.1381968879441282,1,34.0,1,1,-0.4139585904817487,-0.4139585904817484
2016-07-04,air_5dea8a7a5bf5eb71,0,1,0,0,0,0,0,1.3748355537968922,1.5927390046655006,0.0,0.9695659492338967,1.2822379741221008,1,34.0,1,1,-1.195564824719503,-1.1955648247195025
2016-07-05,air_5dea8a7a5bf5eb71,0,0,0,0,0,1,0,0.6167486596472038,0.6070439225328891,0.0,-1.4010778309716316,0.7725541307231212,1,26.0,1,1,-0.5199456291481108,-0.5199456291481105
2016-07-06,air_5dea8a7a5bf5eb71,0,0,0,0,0,0,1,0.7351997368580925,0.6310852659995381,0.0,-0.2661951702349426,0.783634214275273,1,24.0,1,1,-0.05437347384278187,-0.05437347384278159
2016-07-07,air_5dea8a7a5bf5eb71,0,0,0,0,1,0,0,1.1497785070962032,1.472532287332255,0.0,1.5243974722607223,1.0163159688704595,1,53.0,1,1,-0.12220517858925364,-0.12220517858925335
2016-07-08,air_5dea8a7a5bf5eb71,1,0,0,0,0,0,0,0.9484116758376924,0.9556434027993005,0.0,-0.7958070785787308,0.949835467557549,1,45.0,1,1,1.2274915829002018,1.2274915829002018
2016-07-09,air_5dea8a7a5bf5eb71,0,0,1,0,0,0,0,0.7351997368580925,0.49885787693296807,0.0,-1.4010778309716316,0.8501147155881836,1,30.0,1,1,1.5354321061526504,1.5354321061526501
2016-07-10,air_5dea8a7a5bf5eb71,0,0,0,1,0,0,0,1.0313274298853143,1.1720154939991423,0.0,1.3982993988455346,0.8390346320360317,1,44.0,1,1,-0.25131666205554937,-0.25131666205554903
2016-07-11,air_5dea8a7a5bf5eb71,0,1,0,0,0,0,0,1.2090040457016475,1.4605116155989313,0.0,1.8774720778232479,0.9941558017661557,1,61.0,1,1,-1.246824010692689,-1.2468240106926884
2016-07-12,air_5dea8a7a5bf5eb71,0,0,0,0,0,1,0,1.197158937980559,1.232118852665765,0.0,0.9695659492338967,1.237917639913494,1,32.0,1,1,-0.5045293326148218,-0.5045293326148215
2016-07-13,air_5dea8a7a5bf5eb71,0,0,0,0,0,0,1,1.066862753048581,0.8113953419994061,0.0,-1.4010778309716316,1.2046773892570388,1,27.0,1,1,-0.4301457018417022,-0.43014570184170187
2016-07-14,air_5dea8a7a5bf5eb71,0,0,0,0,1,0,0,1.1616236148172923,1.436470272132282,0.0,-0.11487748213671747,0.9609155511097008,1,45.0,1,1,-0.20815103176234004,-0.20815103176233973
