visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Ōsaka-fu Neyagawa-shi Honmachi,total_area_visitors,total_genre_visitors
2016-01-04,air_79afb3f52b4d062c,0,1,0,0,0,0,0,-0.6206443535374401,-0.5224447144559536,0.0,0.5153106953226256,-0.7609740560287411,1,1.0,1,1,-1.5409810445868084,-1.5409810445868082
2016-01-05,air_79afb3f52b4d062c,0,0,0,0,0,1,0,-0.7903781174323833,-0.9367964860225014,0.0,-0.835302014192321,-0.772126190454705,1,8.0,1,1,-1.4093736859567834,-1.4093736859567834
2016-01-06,air_79afb3f52b4d062c,0,0,0,0,0,0,1,-0.7338001961340689,-0.7950445641707878,0.0,-0.5381672180990327,-0.5825399052133178,1,4.0,1,1,-1.3444679125973364,-1.3444679125973364
2016-01-07,air_79afb3f52b4d062c,0,0,0,0,1,0,0,-0.9148495442886749,-1.0131244439426552,0.0,-1.1594490644759081,-0.7386697871768132,1,9.0,1,1,-1.2744312480632296,-1.2744312480632296
2016-01-08,air_79afb3f52b4d062c,1,0,0,0,0,0,0,-1.005374218365978,-1.067644413885622,0.0,-0.4841427097184348,-1.0509295511038037,1,4.0,1,1,-0.9360489750944133,-0.9360489750944132
2016-01-09,air_79afb3f52b4d062c,0,0,1,0,0,0,0,-1.0619521396642924,-1.0240284379312485,0.0,0.8124454914159138,-1.028625282251876,1,12.0,1,1,-0.6748866143042275,-0.6748866143042274
2016-01-10,air_79afb3f52b4d062c,0,0,0,1,0,0,0,-1.0280053868853036,-0.9586044739996883,0.0,0.3262249159905333,-1.0620816855297677,1,13.0,1,1,-0.9640123319963094,-0.9640123319963093
2016-01-11,air_79afb3f52b4d062c,0,1,0,0,0,0,0,-1.005374218365978,-0.9149884980453148,1.0,0.19116364503903865,-1.0509295511038037,1,10.0,1,1,-1.330101417308289,-1.3301014173082888
2016-01-12,air_79afb3f52b4d062c,0,0,0,0,0,1,0,-1.0280053868853036,-1.1330683778171822,0.0,-0.1599956594348477,-1.0620816855297677,1,1.0,1,1,-1.3844888637596833,-1.384488863759683
2016-01-13,air_79afb3f52b4d062c,0,0,0,0,0,0,1,-1.2543170720785612,-1.1221643838285889,0.0,-0.24103242200574446,-1.1736030297894071,1,10.0,1,1,-1.1782270385383578,-1.1782270385383575
