visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Shinmachi,total_area_visitors,total_genre_visitors
2016-07-01,air_81c2600146d07d16,1,0,0,0,0,0,0,0.9706392302311159,0.9738861974675844,0.0,0.8417903945235417,0.9440049154594807,1,9.0,1,1,1.2661935102938897,1.266193510293889
2016-07-02,air_81c2600146d07d16,0,0,1,0,0,0,0,1.1802805326568429,1.201198786687743,0.0,1.6690576527362382,1.090437942676567,1,3.0,1,1,1.4352342747225026,1.435234274722502
2016-07-03,air_81c2600146d07d16,0,0,0,1,0,0,0,1.2117267280207018,1.1320166943163898,0.0,1.3105751741774028,1.2682494757258853,1,2.0,1,1,-0.6753488581792446,-0.6753488581792451
2016-07-06,air_81c2600146d07d16,0,0,0,0,0,0,1,1.1488343372929837,1.0826009140511381,0.0,1.1451217225348636,1.153194954341032,1,1.0,1,1,-0.29804016628475716,-0.2980401662847576
2016-07-07,air_81c2600146d07d16,0,0,0,0,1,0,0,1.2117267280207018,1.2209650987938439,0.0,1.476028625819942,1.2054924640614197,1,8.0,1,1,-0.3692152249915415,-0.36921522499154197
2016-07-08,air_81c2600146d07d16,1,0,0,0,0,0,0,0.9391930348672567,0.786106232459627,0.0,-1.6124358048407912,0.8917074057390929,1,5.0,1,1,1.047006681776406,1.0470066817764054
2016-07-09,air_81c2600146d07d16,0,0,1,0,0,0,0,0.6561772765925254,0.4698452387620149,0.0,-1.3091044768294693,0.7452743785220071,1,8.0,1,1,1.370125272155501,1.3701252721555004
2016-07-11,air_81c2600146d07d16,0,1,0,0,0,0,0,1.127870207050411,1.1221335382633402,0.0,-0.04062801423666792,1.174113958229187,1,5.0,1,1,-1.5492653460506138,-1.549265346050614
2016-07-12,air_81c2600146d07d16,0,0,0,0,0,1,0,1.0754598814439793,0.894820949043181,0.0,-1.3642556273769821,1.1845734601732647,1,4.0,1,1,-0.7703837377025078,-0.7703837377025082
2016-07-13,air_81c2600146d07d16,0,0,0,0,0,0,1,1.0440136860801201,0.7564567643004758,0.0,-1.5848602295670349,1.1845734601732647,1,5.0,1,1,-0.6923338153706363,-0.6923338153706368
2016-07-14,air_81c2600146d07d16,0,0,0,0,1,0,0,0.9916033604736885,1.0233019777328363,0.0,0.09724986213211483,1.079978440732489,1,2.0,1,1,-0.4593972596029785,-0.45939725960297895
2016-07-15,air_81c2600146d07d16,1,0,0,0,0,0,0,0.7819620580479615,0.5587936432394681,0.0,-1.5572846542932781,0.9440049154594807,1,3.0,1,1,0.8181141634352701,0.8181141634352695
2016-07-16,air_81c2600146d07d16,0,0,1,0,0,0,0,0.9287109697459702,0.9047041050962314,0.0,-0.3439593422479901,0.8812479037950155,1,7.0,1,1,1.3066338845591081,1.3066338845591075
2016-07-17,air_81c2600146d07d16,0,0,0,1,0,0,0,1.0649778163226928,0.8651714808840301,0.0,-1.391831202650739,1.100897444620644,1,3.0,1,1,0.3077566402082142,0.30775664020821364
2016-07-18,air_81c2600146d07d16,0,1,0,0,0,0,0,1.0754598814439793,1.0134188216797857,1.0,1.25542402362989,1.0485999349002564,1,4.0,1,1,-1.3389753998714782,-1.3389753998714786
2016-07-20,air_81c2600146d07d16,0,0,0,0,0,0,1,1.0335316209588337,1.1814324745816418,0.0,2.110266857116343,0.9021669076831705,1,7.0,1,1,-0.6304600427448522,-0.6304600427448527
2016-07-21,air_81c2600146d07d16,0,0,0,0,1,0,0,1.002085425594975,1.0233019777328363,0.0,0.8417903945235417,0.912626409627248,1,3.0,1,1,-0.39226623832271595,-0.39226623832271645
2016-07-22,air_81c2600146d07d16,1,0,0,0,0,0,0,1.0335316209588337,1.1913156306346924,0.0,1.1175461472611072,0.912626409627248,1,4.0,1,1,0.8868627996861413,0.8868627996861408
2016-07-24,air_81c2600146d07d16,0,0,0,1,0,0,0,0.9287109697459702,0.894820949043181,0.0,-0.28880819170047695,0.9440049154594807,1,11.0,1,1,-0.6992086789957235,-0.6992086789957239
2016-07-25,air_81c2600146d07d16,0,1,0,0,0,0,0,0.9496750999885432,0.8157557006187782,0.0,-1.2815289015557125,1.1218164485087991,1,3.0,1,1,-1.3935699051295232,-1.3935699051295234
2016-07-27,air_81c2600146d07d16,0,0,0,0,0,0,1,1.0230495558375476,1.0233019777328363,0.0,0.2902788890484107,0.9858429232357911,1,5.0,1,1,-0.3849869709549767,-0.38498697095497714
2016-07-28,air_81c2600146d07d16,0,0,0,0,1,0,0,1.127870207050411,1.0924840701041885,0.0,-0.3439593422479901,1.1218164485087991,1,7.0,1,1,-0.1419403216210142,-0.1419403216210147
2016-07-29,air_81c2600146d07d16,1,0,0,0,0,0,0,1.1173881419291245,1.102367226157239,0.0,0.6487613676072456,1.079978440732489,1,6.0,1,1,1.1529604623512784,1.1529604623512777
2016-07-30,air_81c2600146d07d16,0,0,1,0,0,0,0,1.2012446628994153,1.3296798153773977,0.0,1.6966332280099947,1.2368709698936526,1,5.0,1,1,1.2807520450293683,1.2807520450293677
2016-07-31,air_81c2600146d07d16,0,0,0,1,0,0,0,1.222208793141988,1.2802640351121457,0.0,1.3105751741774028,1.2368709698936526,1,2.0,1,1,-0.6506802298774614,-0.6506802298774619
2016-08-03,air_81c2600146d07d16,0,0,0,0,0,0,1,1.2117267280207018,1.2506145669529949,0.0,0.6487613676072456,1.1636544562851097,1,3.0,1,1,-0.5811227861412858,-0.5811227861412862
2016-08-04,air_81c2600146d07d16,0,0,0,0,1,0,0,1.2955832489909924,1.3889787516957,0.0,1.0899705719873507,1.1950329621173426,1,8.0,1,1,-0.4432211098968911,-0.44322110989689156
2016-08-05,air_81c2600146d07d16,1,0,0,0,0,0,0,1.2955832489909924,1.3790955956426494,0.0,0.952092695618568,1.3310064873903507,1,2.0,1,1,0.7008370780661368,0.7008370780661363
2016-08-06,air_81c2600146d07d16,0,0,1,0,0,0,0,1.2641370536271337,1.438394531960952,0.0,0.3454300395959236,1.3623849932225833,1,3.0,1,1,0.437165837856913,0.43716583785691243
2016-08-07,air_81c2600146d07d16,0,0,0,1,0,0,0,1.3165473792335654,1.4285113759079013,0.0,1.4484530505461857,1.2577899737818077,1,5.0,1,1,-0.8654186172257711,-0.8654186172257714
2016-08-10,air_81c2600146d07d16,0,0,0,0,0,0,1,1.1907625977781289,1.2703808790590958,0.0,1.6966332280099947,1.153194954341032,1,7.0,1,1,0.5665750355056118,0.5665750355056112
2016-08-11,air_81c2600146d07d16,0,0,0,0,1,0,0,1.1697984675355562,1.3692124395895997,1.0,1.8345111043787774,0.9963024251798686,1,3.0,1,1,0.22849350664838616,0.2284935066483856
2016-08-13,air_81c2600146d07d16,0,0,1,0,0,0,0,1.2641370536271337,1.3000303472182466,1.0,1.6690576527362382,1.2054924640614197,1,10.0,1,1,-0.06186838057588181,-0.061868380575882315
2016-08-17,air_81c2600146d07d16,0,0,0,0,0,0,1,1.1383522721716972,1.1122503822102896,0.0,-0.7851685466280948,1.1427354523969546,1,4.0,1,1,-1.087840675684472,-1.0878406756844725
