visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Minato-ku Akasaka,total_area_visitors,total_genre_visitors
2016-07-01,air_3980af67be35afdb,1,0,0,0,0,0,0,1.0598535285443889,1.1314167876767012,0.0,-0.20449352791982914,1.0058396334798516,1,28.0,1,1,1.3193694444811046,1.3193694444811048
2016-07-02,air_3980af67be35afdb,0,0,1,0,0,0,0,1.2223307977140074,1.2709065286231436,0.0,0.461017953476065,1.16042975678913,1,12.0,1,1,1.4763976180506317,1.4763976180506317
2016-07-04,air_3980af67be35afdb,0,1,0,0,0,0,0,1.3151749515252182,1.5033894302005473,0.0,0.5142588719877363,1.1825140601190272,1,4.0,1,1,-1.246050166299519,-1.2460501662995185
2016-07-05,air_3980af67be35afdb,0,0,0,0,0,1,0,0.6072382787147367,0.5502095337331905,0.0,-1.375793735176603,0.8070809035107791,1,20.0,1,1,-0.587508567573727,-0.5875085675737267
2016-07-06,air_3980af67be35afdb,0,0,0,0,0,0,1,0.7697155478843556,0.701323419758503,0.0,-0.2843549056873366,0.8402073585056246,1,5.0,1,1,-0.13370465926753383,-0.13370465926753355
2016-07-07,air_3980af67be35afdb,0,0,0,0,1,0,0,1.2687528746196126,1.8404896374877842,0.0,2.0316250495703754,0.9947974818149029,1,15.0,1,1,-0.19982178498101894,-0.19982178498101863
2016-07-08,air_3980af67be35afdb,1,0,0,0,0,0,0,1.0250369708651847,1.0384236270457392,0.0,-0.8167640908040518,1.0168817851448002,1,30.0,1,1,1.1157587505225313,1.1157587505225313
2016-07-09,air_3980af67be35afdb,0,0,1,0,0,0,0,0.688476913299546,0.46884051818109873,0.0,-1.375793735176603,0.8181230551757277,1,4.0,1,1,1.4159154746422733,1.4159154746422733
2016-07-11,air_3980af67be35afdb,0,1,0,0,0,0,0,1.3383859899780208,1.468516994963937,0.0,1.9517636718028677,1.038966088474697,1,12.0,1,1,-1.2960136760716412,-1.2960136760716408
2016-07-12,air_3980af67be35afdb,0,0,0,0,0,1,0,1.233936316940409,1.2709065286231436,0.0,0.30129519794105025,1.2929355767685118,1,20.0,1,1,-0.5724819480933895,-0.5724819480933891
2016-07-13,air_3980af67be35afdb,0,0,0,0,0,0,1,1.0018259324123824,0.7826924353105947,0.0,-1.375793735176603,1.1714719084540786,1,27.0,1,1,-0.49997850910076097,-0.49997850910076064
2016-07-14,air_3980af67be35afdb,0,0,0,0,1,0,0,1.0946700862235925,1.3987721244907156,0.0,-0.3375958241990081,0.9285445718252123,1,13.0,1,1,-0.28359518858390065,-0.2835951885839003
2016-07-15,air_3980af67be35afdb,1,0,0,0,0,0,0,0.6652658748467434,0.364223212471267,0.0,-1.375793735176603,0.8954181168303669,1,17.0,1,1,0.9031320848757552,0.9031320848757555
2016-07-16,air_3980af67be35afdb,0,0,1,0,0,0,0,0.885770740148369,0.7943165803894647,0.0,-0.9498663870832307,0.7960387518458308,1,12.0,1,1,1.3569359931819485,1.3569359931819485
