visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-01-02,air_6b15edd1b4fbb96a,0,0,1,0,0,0,0,-0.9432700221800775,-0.7105445824718768,1.0,0.6996521273679462,-1.2065906349298043,1,96.0,1,1,-1.8332636941889693,-1.8332636941889693
2016-01-03,air_6b15edd1b4fbb96a,0,0,0,1,0,0,0,-0.6425146607848887,-0.5111352187373047,1.0,-0.38327849307999756,-0.7794057238329575,1,60.0,1,1,-1.6960431336254924,-1.6960431336254924
2016-01-04,air_6b15edd1b4fbb96a,0,1,0,0,0,0,0,-0.49213698008729445,-0.43635670733683996,0.0,0.7242641869235812,-0.6726094960587456,1,48.0,1,1,-1.4973538832928743,-1.4973538832928743
2016-01-05,air_6b15edd1b4fbb96a,0,0,0,0,0,1,0,-0.529731400261693,-0.6233029858380015,0.0,0.08435063847706897,-0.5183482781626619,1,56.0,1,1,-1.3665097428299307,-1.3665097428299307
2016-01-06,air_6b15edd1b4fbb96a,0,0,0,0,0,0,1,-0.6926405543507536,-0.8351754348059844,0.0,-1.3923729348610363,-0.5064820306321939,1,26.0,1,1,-1.3019803714125333,-1.3019803714125333
2016-01-07,air_6b15edd1b4fbb96a,0,0,0,0,1,0,0,-0.8304867616568816,-0.9099539462064492,0.0,0.7242641869235812,-0.7556732287720215,1,15.0,1,1,-1.2323498639147095,-1.2323498639147095
2016-01-08,air_6b15edd1b4fbb96a,1,0,0,0,0,0,0,-1.0811162294862056,-1.0969002247076107,0.0,-0.1863820166349169,-1.0760619120946568,1,30.0,1,1,-0.8959299394105718,-0.8959299394105718
2016-01-09,air_6b15edd1b4fbb96a,0,0,1,0,0,0,0,-1.0560532827032734,-1.0221217133071459,0.0,0.7981003655904867,-0.9929981793813808,1,47.0,1,1,-0.6362821129168551,-0.6362821129168551
2016-01-10,air_6b15edd1b4fbb96a,0,0,0,1,0,0,0,-1.043521809311807,-1.1218263951744323,0.0,0.8227124251461216,-1.004864426911849,1,59.0,1,1,-0.923731131048897,-0.923731131048897
2016-01-11,air_6b15edd1b4fbb96a,0,1,0,0,0,0,0,-1.0309903359203407,-1.0221217133071459,1.0,0.18279887669960942,-1.004864426911849,1,25.0,1,1,-1.2876971903873387,-1.2876971903873387
