visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-02,air_e270aff84ac7e4c8,0,0,1,0,0,0,0,-0.9464075677598778,-0.7921093355902458,1.0,-0.8303399813334655,-1.094966588846077,1,30.0,1,1,-1.8226095560829296,-1.8226095560829296
2016-01-03,air_e270aff84ac7e4c8,0,0,0,1,0,0,0,-0.6687718578093736,-0.5244154911841861,1.0,-0.17834893645478797,-0.7231474620508535,1,29.0,1,1,-1.6857010415096267,-1.6857010415096267
2016-01-04,air_e270aff84ac7e4c8,0,1,0,0,0,0,0,-0.5646584665779345,-0.44294345158234166,0.0,0.49871868707306954,-0.5428715217865027,1,23.0,1,1,-1.4874636198505136,-1.4874636198505136
2016-01-05,air_e270aff84ac7e4c8,0,0,0,0,0,1,0,-0.9232712585973357,-1.1063586311973597,0.0,-1.3067949756678838,-0.6893457232512877,1,4.0,1,1,-1.35691702509939,-1.3569170250993903
2016-01-06,air_e270aff84ac7e4c8,0,0,0,0,0,0,1,-0.9232712585973357,-1.036525454395779,0.0,-1.1312589251236245,-0.779483693383463,1,9.0,1,1,-1.2925343964989335,-1.2925343964989335
2016-01-07,air_e270aff84ac7e4c8,0,0,0,0,1,0,0,-0.9464075677598778,-0.8852202379923537,0.0,0.19779974328291064,-0.8808889097821605,1,21.0,1,1,-1.2230622320407334,-1.2230622320407334
2016-01-08,air_e270aff84ac7e4c8,1,0,0,0,0,0,0,-1.0158164952475037,-1.1179974939976232,0.0,-1.1061823464744445,-0.9259578948482481,1,16.0,1,1,-0.8874073422225428,-0.8874073422225429
2016-01-09,air_e270aff84ac7e4c8,0,0,1,0,0,0,0,-1.1199298864789429,-1.0830809055968327,0.0,0.2730294792304503,-1.0611648500465114,1,26.0,1,1,-0.6283499670633935,-0.6283499670633935
2016-01-10,air_e270aff84ac7e4c8,0,0,0,1,0,0,0,-1.0736572681538588,-0.9317756891934076,0.0,0.599025001669789,-1.0724320963130332,1,26.0,1,1,-0.9151453126472455,-0.9151453126472455
2016-01-11,air_e270aff84ac7e4c8,0,1,0,0,0,0,0,-1.0042483406662328,-0.9201368263931442,1.0,0.42348895112552987,-1.0160958649804235,1,21.0,1,1,-1.2782836960972515,-1.2782836960972515
2016-01-12,air_e270aff84ac7e4c8,0,0,0,0,0,1,0,-0.9348394131786067,-1.0132477287952517,0.0,-0.2535786724023276,-0.7682164471169411,1,9.0,1,1,-1.3322327761893336,-1.3322327761893338
2016-01-13,air_e270aff84ac7e4c8,0,0,0,0,0,0,1,-1.2124751231291109,-1.2576638476007846,0.0,-0.9055697172810052,-1.1513028201786866,1,19.0,1,1,-1.1276334347080408,-1.127633434708041
2016-01-14,air_e270aff84ac7e4c8,0,0,0,0,1,0,0,-1.3397248235230919,-1.1994695335994674,0.0,-0.2285020937531478,-1.3203115141765156,1,22.0,1,1,-1.03474940530422,-1.03474940530422
2016-01-15,air_e270aff84ac7e4c8,1,0,0,0,0,0,0,-1.2587477414541948,-1.1179974939976232,0.0,0.6491781589681489,-1.1851045589782525,1,20.0,1,1,-0.7578786546429682,-0.7578786546429682
