visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Minato-ku Akasaka,total_area_visitors,total_genre_visitors
2016-07-01,air_950381108f839348,1,0,0,0,0,0,0,1.0702538423624846,1.145664622483874,0.0,-0.160071313721654,1.0104560807615357,1,49.0,1,1,1.3126072727078293,1.3126072727078297
2016-07-02,air_950381108f839348,0,0,1,0,0,0,0,1.2330282877367587,1.285694929197072,0.0,0.5018269455493202,1.1649407857765597,1,16.0,1,1,1.4665122966773387,1.466512296677339
2016-07-04,air_950381108f839348,0,1,0,0,0,0,0,1.3260422565220582,1.5190787737190685,0.0,0.5547788062909979,1.1870100293501349,1,29.0,1,1,-1.201788441856237,-1.2017884418562363
2016-07-05,air_950381108f839348,0,0,0,0,0,1,0,0.6168107445341486,0.5622050111788818,0.0,-1.3250122500385686,0.8118328885993616,1,27.0,1,1,-0.5563446451611413,-0.5563446451611408
2016-07-06,air_950381108f839348,0,0,0,0,0,0,1,0.7795851899084232,0.7139045101181795,0.0,-0.23949910483417108,0.8449367539597241,1,28.0,1,1,-0.11156648976600408,-0.11156648976600363
2016-07-07,air_950381108f839348,0,0,0,0,1,0,0,1.2795352721294082,1.8574853482759646,0.0,2.063906837428819,0.9994214589747481,1,50.0,1,1,-0.176368605121587,-0.17636860512158653
2016-07-08,air_950381108f839348,1,0,0,0,0,0,0,1.035373604067997,1.0523110846750752,0.0,-0.7690177122509503,1.0214907025483233,1,40.0,1,1,1.113046212919614,1.1130462129196141
2016-07-09,air_950381108f839348,0,0,1,0,0,0,0,0.6981979672212857,0.48052066559618256,0.0,-1.3250122500385686,0.8228675103861492,1,16.0,1,1,1.4072330888804703,1.4072330888804707
2016-07-11,air_950381108f839348,0,1,0,0,0,0,0,1.349295748718383,1.4840711970407692,0.0,1.984479046316302,1.043559946121898,1,10.0,1,1,-1.2507582222101719,-1.2507582222101712
2016-07-12,air_950381108f839348,0,0,0,0,0,1,0,1.2446550338349212,1.285694929197072,0.0,0.3429713633242862,1.2973562472180094,1,20.0,1,1,-0.5416168916712362,-0.5416168916712356
2016-07-13,air_950381108f839348,0,0,0,0,0,0,1,1.0121201118716723,0.7955888557008787,0.0,-1.3250122500385686,1.1759754075633473,1,43.0,1,1,-0.4705554810824435,-0.470555481082443
2016-07-14,air_950381108f839348,0,0,0,0,1,0,0,1.1051340806569714,1.41405604368417,0.0,-0.29245096557584893,0.9332137282540237,1,30.0,1,1,-0.2584758308278085,-0.25847583082780806
2016-07-15,air_950381108f839348,1,0,0,0,0,0,0,0.6749444750249609,0.37549793556128414,0.0,-1.3250122500385686,0.9001098628936612,1,45.0,1,1,0.9046485010374552,0.9046485010374555
2016-07-16,air_950381108f839348,0,0,1,0,0,0,0,0.8958526508900477,0.8072580479269782,0.0,-0.9013973641051451,0.8007982668125745,1,17.0,1,1,1.3494266564325923,1.3494266564325927
2016-07-19,air_950381108f839348,0,0,0,0,0,1,0,1.267908526031246,1.3440408903275707,0.0,0.31649543295344734,1.198044651136922,1,13.0,1,1,-0.8869827110095132,-0.8869827110095126
2016-07-20,air_950381108f839348,0,0,0,0,0,0,1,1.1516410650496216,1.0639802769011748,0.0,-0.10711945297997626,1.1539061639897725,1,14.0,1,1,-0.41422182398355606,-0.41422182398355556
2016-07-21,air_950381108f839348,0,0,0,0,1,0,0,0.6284374906323112,0.4105055122395837,0.0,-1.3250122500385686,0.8890752411068736,1,25.0,1,1,-0.1973556538447019,-0.19735565384470144
2016-07-22,air_950381108f839348,1,0,0,0,0,0,0,0.5819305062396612,0.22379843662198606,0.0,-1.3250122500385686,0.8339021321729365,1,37.0,1,1,0.9672414533695523,0.9672414533695526
2016-07-23,air_950381108f839348,0,0,1,0,0,0,0,0.6981979672212857,0.7372428945703794,0.0,-0.954349224846823,0.7676944014522121,1,13.0,1,1,1.2776288581693045,1.2776288581693047
2016-07-25,air_950381108f839348,0,1,0,0,0,0,0,0.9656131274790222,0.8305964323791778,0.0,-1.113204807071857,0.9111444846804488,1,13.0,1,1,-1.1090035948698342,-1.1090035948698336
2016-07-26,air_950381108f839348,0,0,0,0,0,1,0,0.8609724125955602,0.7722504712486786,0.0,-1.2985363196677298,0.9442483500408109,1,24.0,1,1,-0.39065741839970775,-0.39065741839970725
2016-07-27,air_950381108f839348,0,0,0,0,0,0,1,0.9423596352826973,0.760581279022579,0.0,-1.2455844589260516,1.0545945679086852,1,34.0,1,1,-0.19072816477424456,-0.1907281647742441
2016-07-28,air_950381108f839348,0,0,0,0,1,0,0,1.1748945572459464,1.204010583614373,0.0,0.051736129245057674,1.1539061639897725,1,31.0,1,1,0.030556331411581157,0.030556331411581605
2016-07-29,air_950381108f839348,1,0,0,0,0,0,0,1.2562817799330834,1.3557100825536708,0.0,1.7197197426079125,1.1097676768426226,1,54.0,1,1,1.209512998278493,1.2095129982784933
