visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-01-04,air_5e70fe82f9e4fab6,0,1,0,0,0,0,0,-0.58405614882158,-0.5793994344161685,0.0,0.3898807172130953,-0.7291964385353411,1,15.0,1,1,-1.4845133690646624,-1.4845133690646621
2016-01-05,air_5e70fe82f9e4fab6,0,0,0,0,0,1,0,-0.7235913253270851,-0.9424714096818532,0.0,-0.9587641244155395,-0.6945181813293938,1,20.0,1,1,-1.3566078307094387,-1.3566078307094385
2016-01-06,air_5e70fe82f9e4fab6,0,0,0,0,0,0,1,-0.7352192567025438,-0.7664365125833394,0.0,-0.7806412208042105,-0.6020428287802008,1,7.0,1,1,-1.293527711403646,-1.293527711403646
2016-01-07,air_5e70fe82f9e4fab6,0,0,0,0,1,0,0,-0.8514985704571315,-0.9424714096818532,0.0,-0.9587641244155395,-0.6598399241234464,1,6.0,1,1,-1.2254610214017436,-1.2254610214017434
2016-01-08,air_5e70fe82f9e4fab6,1,0,0,0,0,0,0,-0.921266158709884,-1.0965019446430526,0.0,-0.9842102535028723,-0.8679094673591303,1,15.0,1,1,-0.8965966839932836,-0.8965966839932835
2016-01-09,air_5e70fe82f9e4fab6,0,0,1,0,0,0,0,-1.025917541089013,-1.0854997635743957,0.0,0.9242494280470825,-1.0875384296634634,1,15.0,1,1,-0.6427802355612804,-0.6427802355612803
2016-01-10,air_5e70fe82f9e4fab6,0,0,0,1,0,0,0,-0.9445220214608017,-1.0634954014370812,0.0,0.6697881371737553,-0.9719442389769724,1,52.0,1,1,-0.9237734942870836,-0.9237734942870834
2016-01-11,air_5e70fe82f9e4fab6,0,1,0,0,0,0,0,-0.9677778842117191,-0.9864801339564816,1.0,-0.27171863905755583,-1.041300753388867,1,4.0,1,1,-1.279565313454538,-1.2795653134545377
2016-01-13,air_5e70fe82f9e4fab6,0,0,0,0,0,0,1,-1.2817320313491058,-1.2175259363982809,0.0,-0.6279644462802141,-1.1684543631440072,1,13.0,1,1,-1.1319628208496795,-1.1319628208496793
2016-01-14,air_5e70fe82f9e4fab6,0,0,0,0,1,0,0,-1.1538247862190594,-1.1625150310549952,0.0,0.008188780903104344,-1.1915732012813052,1,6.0,1,1,-1.0409579056456706,-1.0409579056456704
2016-01-15,air_5e70fe82f9e4fab6,1,0,0,0,0,0,0,-1.1654527175945182,-1.1735172121236523,0.0,0.6952342662610879,-1.156894944075358,1,1.0,1,1,-0.769688459777282,-0.7696884597772818
2016-01-16,air_5e70fe82f9e4fab6,0,0,1,0,0,0,0,-1.2003365117208944,-1.1075041257117098,0.0,0.41532684630042793,-1.2031326203499546,1,11.0,1,1,-0.6248285810552842,-0.6248285810552839
2016-01-17,air_5e70fe82f9e4fab6,0,0,0,1,0,0,0,-1.1654527175945182,-1.1845193931923095,0.0,-0.47528767175621767,-1.272489134761849,1,6.0,1,1,-1.2169838512183564,-1.2169838512183562
2016-01-18,air_5e70fe82f9e4fab6,0,1,0,0,0,0,0,-0.8980102959589665,-1.019486677162453,0.0,-1.4422405770748614,-0.8679094673591303,1,8.0,1,1,-1.495234496061299,-1.4952344960612989
2016-01-19,air_5e70fe82f9e4fab6,0,0,0,0,0,1,0,-1.5375465216091986,-1.6576131791445652,0.0,-0.3989492844942195,-1.3649644873110418,1,4.0,1,1,-1.2631096301573748,-1.2631096301573745
2016-01-20,air_5e70fe82f9e4fab6,0,0,0,0,0,0,1,-1.4328951392300697,-1.4815782820460515,0.0,-1.0859947698522032,-1.3649644873110418,1,4.0,1,1,-1.1404399910330667,-1.1404399910330665
2016-01-21,air_5e70fe82f9e4fab6,0,0,0,0,1,0,0,-1.316615825475482,-1.3715564713594803,0.0,-0.47528767175621767,-1.272489134761849,1,8.0,1,1,-1.0207622943264247,-1.0207622943264245
2016-01-22,air_5e70fe82f9e4fab6,1,0,0,0,0,0,0,-1.3049878941000232,-1.1955215742609666,0.0,0.2880962008637643,-1.1684543631440072,1,10.0,1,1,-0.7183267816073482,-0.718326781607348
2016-01-23,air_5e70fe82f9e4fab6,0,0,1,0,0,0,0,-1.3863834137282345,-1.5145848252520226,0.0,-1.3659021898128632,-1.2378108775559018,1,10.0,1,1,-0.646520163583363,-0.6465201635833628
2016-01-24,air_5e70fe82f9e4fab6,0,0,0,1,0,0,0,-1.8747565314975025,-1.9106633437236789,0.0,0.33898845903842983,-1.7348658975078133,1,11.0,1,1,-1.3299296774852498,-1.3299296774852496
2016-01-25,air_5e70fe82f9e4fab6,0,1,0,0,0,0,0,-1.6654537667392448,-1.5695957305953083,0.0,0.8224649116977516,-1.8620195072629535,1,10.0,1,1,-1.3541145453613836,-1.3541145453613834
