visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Taitō-ku Higashiueno,total_area_visitors,total_genre_visitors
2016-07-01,air_ad60f6b76c9df7ed,1,0,0,0,0,0,0,1.1113802545003926,1.1993798312829005,0.0,-0.16521821638233797,1.0427829592589077,1,23.0,1,1,1.2385835772460871,1.2385835772460871
2016-07-02,air_ad60f6b76c9df7ed,0,0,1,0,0,0,0,1.2774068557849407,1.342647787630662,0.0,0.5048822622960281,1.2004186650425588,1,44.0,1,1,1.400099674706954,1.400099674706954
2016-07-03,air_ad60f6b76c9df7ed,0,0,0,1,0,0,0,1.5383058006606596,1.7724516566739466,0.0,0.6925103963259703,1.3355349842856887,1,15.0,1,1,-0.616533130671667,-0.616533130671667
2016-07-05,air_ad60f6b76c9df7ed,0,0,0,0,0,1,0,0.6488775794934359,0.6024300131672273,0.0,-1.3445950588562623,0.8401084803942132,1,15.0,1,1,-0.7227937211064478,-0.7227937211064478
2016-07-06,air_ad60f6b76c9df7ed,0,0,0,0,0,0,1,0.8149041807779847,0.757636965877302,0.0,-0.24563027382374206,0.8738875602049956,1,20.0,1,1,-0.2560199274874836,-0.2560199274874836
2016-07-07,air_ad60f6b76c9df7ed,0,0,0,0,1,0,0,1.3248430275805259,1.927658609384022,0.0,2.086319391976972,1.0315232659886466,1,20.0,1,1,-0.3240267053657433,-0.3240267053657433
2016-07-08,air_ad60f6b76c9df7ed,1,0,0,0,0,0,0,1.0758031256537035,1.1038678603843928,0.0,-0.7817106567664347,1.0540426525291686,1,19.0,1,1,1.0291536135528103,1.0291536135528103
2016-07-09,air_ad60f6b76c9df7ed,0,0,1,0,0,0,0,0.7318908801357101,0.5188570386310327,0.0,-1.3445950588562623,0.8513681736644741,1,30.0,1,1,1.3378889290342277,1.3378889290342277
2016-07-12,air_ad60f6b76c9df7ed,0,0,0,0,0,1,0,1.2892658987338372,1.342647787630662,0.0,0.34405814741322005,1.3355349842856887,1,22.0,1,1,-0.7073376352250251,-0.7073376352250251
2016-07-13,air_ad60f6b76c9df7ed,0,0,0,0,0,0,1,1.052085039755911,0.8412099404134966,0.0,-1.3445950588562623,1.2116783583128197,1,11.0,1,1,-0.6327620208471608,-0.6327620208471608
