visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-07-03,air_8e492076a1179383,0,0,0,1,0,0,0,0.8833750710070026,1.0335044887362994,0.0,-0.13987471261935808,0.9761010013322188,1,9.0,1,1,-0.2835010853144252,-0.2835010853144257
2016-07-09,air_8e492076a1179383,0,0,1,0,0,0,0,0.6195097900568588,0.5449628678564558,0.0,0.012115132589078478,0.592075669275339,1,52.0,1,1,1.6847977484745673,1.684797748474567
2016-07-10,air_8e492076a1179383,0,0,0,1,0,0,0,0.8833750710070026,0.7485218765563905,0.0,0.4174213864782422,0.9659950715412484,1,5.0,1,1,-0.119281609660223,-0.11928160966022344
2016-07-23,air_8e492076a1179383,0,0,1,0,0,0,0,0.9138210649627885,0.9215470339513353,0.0,1.4306870212011518,0.8346179842586315,1,3.0,1,1,1.5478184702037636,1.5478184702037634
2016-07-26,air_8e492076a1179383,0,0,0,0,0,1,0,0.8833750710070026,0.7892336782963776,0.0,-0.39319112130008543,0.9862069311231894,1,82.0,1,1,-0.21540059185592902,-0.2154005918559295
2016-07-27,air_8e492076a1179383,0,0,0,0,0,0,1,0.9442670589185743,0.9011911330813415,0.0,0.8227276403674059,0.9761010013322188,1,49.0,1,1,-0.004094489296138024,-0.004094489296138453
2016-07-28,air_8e492076a1179383,0,0,0,0,1,0,0,1.0051590468301457,0.9826147365613158,0.0,1.0507124081800605,1.0266306502870715,1,80.0,1,1,0.22978206252418315,0.22978206252418276
2016-07-30,air_8e492076a1179383,0,0,1,0,0,0,0,1.0356050407859316,1.0233265383013026,0.0,1.405355380333079,0.9659950715412484,1,2.0,1,1,1.5987965538784092,1.598796553878409
2016-07-31,air_8e492076a1179383,0,0,0,1,0,0,0,0.9848617175262886,1.0843942409112832,0.0,0.49341630908246037,1.0266306502870715,1,30.0,1,1,-0.25976319902317796,-0.25976319902317846
2016-08-07,air_8e492076a1179383,0,0,0,1,0,0,0,1.1066456933494317,1.1658178443912568,0.0,0.9240542038396969,1.0670543694509538,1,6.0,1,1,-0.46639955346010065,-0.46639955346010115
