visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-07-01,air_694571ea13fb9e0e,1,0,0,0,0,0,0,1.0003083831024715,1.0130369331826676,0.0,1.0328543559790757,0.9600028161909994,1,11.0,1,1,1.3170682090794772,1.3170682090794772
2016-07-02,air_694571ea13fb9e0e,0,0,1,0,0,0,0,1.1789166663143331,1.0790826946289949,0.0,1.6696173492075363,1.268627104226292,1,22.0,1,1,1.4676459840039262,1.4676459840039264
2016-07-03,air_694571ea13fb9e0e,0,0,0,1,0,0,0,1.2347317548180397,1.189158963706207,0.0,1.0593861473635948,1.2796494002275522,1,27.0,1,1,-0.41241479908387235,-0.4124147990838722
2016-07-04,air_694571ea13fb9e0e,0,1,0,0,0,0,0,1.312872878723229,1.387296248045189,0.0,0.9267271904409987,1.2576048082250315,1,7.0,1,1,-1.1429691712053622,-1.142969171205362
2016-07-05,air_694571ea13fb9e0e,0,0,0,0,0,1,0,1.3686879672269356,1.420319128768352,0.0,1.6696173492075363,1.3568054722363754,1,27.0,1,1,-0.5114791246920625,-0.5114791246920624
2016-07-07,air_694571ea13fb9e0e,0,0,0,0,1,0,0,1.2793838256210048,1.288227605875698,0.0,2.0675942199753243,1.301693992230073,1,19.0,1,1,-0.13971772822787243,-0.13971772822787226
2016-07-08,air_694571ea13fb9e0e,1,0,0,0,0,0,0,1.0672864893069196,0.9800140524595039,0.0,-1.434602242781211,1.0592034802023433,1,25.0,1,1,1.1218214291535167,1.121821429153517
2016-07-09,air_694571ea13fb9e0e,0,0,1,0,0,0,0,0.7770480290876447,0.5837394837815406,0.0,-0.903966415090827,0.8938690401834365,1,18.0,1,1,1.4096483242842222,1.4096483242842224
2016-07-10,air_694571ea13fb9e0e,0,0,0,1,0,0,0,1.15659063091285,1.1231132022598795,0.0,0.44915494551965274,1.1584041442136876,1,38.0,1,1,-0.2603960885142132,-0.26039608851421303
2016-07-11,air_694571ea13fb9e0e,0,1,0,0,0,0,0,1.2124057194165567,1.3212504865988615,0.0,0.2634324058280184,1.22453792022125,1,7.0,1,1,-1.190880281408596,-1.190880281408596
