visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chiyoda-ku Kanda Jinbōchō,total_area_visitors,total_genre_visitors
2016-07-01,air_32b02ba5dc2027f4,1,0,0,0,0,0,0,1.0948712813095163,1.1664431942687732,0.0,-0.18961620098767126,1.0422043306851128,1,69.0,1,1,1.4217870500292142,1.4217870500292145
2016-07-02,air_32b02ba5dc2027f4,0,0,1,0,0,0,0,1.2569635335403977,1.3052793572804986,0.0,0.4765097625062676,1.1971775333617252,1,68.0,1,1,1.584981287497385,1.5849812874973852
2016-07-03,air_32b02ba5dc2027f4,0,0,0,1,0,0,0,1.5116799299032113,1.7217878463156755,0.0,0.6630250322845703,1.330011707084536,1,13.0,1,1,-0.45260417983845874,-0.4526041798384588
2016-07-04,air_32b02ba5dc2027f4,0,1,0,0,0,0,0,1.3495876776723301,1.536672962300041,0.0,0.5297998395857825,1.2193165623155273,1,20.0,1,1,-1.2443695233443202,-1.2443695233443204
2016-07-05,air_32b02ba5dc2027f4,0,0,0,0,0,1,0,0.6433285786663463,0.5879591817199162,0.0,-1.3619978967370037,0.8429530701008967,1,12.0,1,1,-0.5599688097517289,-0.559968809751729
2016-07-06,air_32b02ba5dc2027f4,0,0,0,0,0,0,1,0.805420830897228,0.7383650249826187,0.0,-0.2695513166069441,0.8761616135315995,1,45.0,1,1,-0.08834527180543666,-0.08834527180543669
2016-07-07,air_32b02ba5dc2027f4,0,0,0,0,1,0,0,1.3032756056063637,1.8721936895783786,0.0,2.0485670363519635,1.031134816208212,1,43.0,1,1,-0.15705863494992958,-0.1570586349499296
2016-07-08,air_32b02ba5dc2027f4,1,0,0,0,0,0,0,1.0601372272600416,1.073885752260956,0.0,-0.8024520874020951,1.0532738451620138,1,80.0,1,1,1.2101811248910601,1.2101811248910601
2016-07-09,air_32b02ba5dc2027f4,0,0,1,0,0,0,0,0.7243747047817869,0.5069714199630759,0.0,-1.3619978967370037,0.8540225845777978,1,44.0,1,1,1.5221241768936158,1.522124176893616
2016-07-10,air_32b02ba5dc2027f4,0,0,0,1,0,0,0,1.0948712813095163,1.247430956025613,0.0,1.75547161241463,0.8429530701008967,1,14.0,1,1,-0.28784827502609506,-0.2878482750260951
