visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_e657ca554b0c008c,1,0,0,0,0,0,0,1.0259915489533762,1.0297952041616187,0.0,0.5309104249044675,0.958939689057741,1,22.0,1,1,1.3194397607589066,1.3194397607589066
2016-07-02,air_e657ca554b0c008c,0,0,1,0,0,0,0,1.0896811386958407,0.8166039826572076,0.0,-1.207938214547578,1.2924665828337132,1,47.0,1,1,1.4860836283727257,1.4860836283727257
2016-07-03,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.174600591685794,1.328262914267795,0.0,-0.06681879490717323,1.282043867403214,1,52.0,1,1,-0.5945726995615376,-0.5945726995615376
2016-07-05,air_e657ca554b0c008c,0,0,0,0,0,1,0,1.301979771170724,1.296284231042133,0.0,1.2916567046647376,1.271621151972715,1,17.0,1,1,-0.7042068229916818,-0.7042068229916818
2016-07-06,air_e657ca554b0c008c,0,0,0,0,0,0,1,1.3125947027944682,1.2749651088916922,0.0,0.9112835647846025,1.407116452569204,1,14.0,1,1,-0.22261401897853939,-0.22261401897853939
2016-07-07,air_e657ca554b0c008c,0,0,0,0,1,0,0,1.2595200446757473,1.1896886202899273,0.0,0.7482665048359731,1.3133120136947114,1,5.0,1,1,-0.29277985797383166,-0.29277985797383166
2016-07-08,air_e657ca554b0c008c,1,0,0,0,0,0,0,0.7712331899835162,0.6993488108297816,0.0,-1.3709552744962072,0.9485169736272416,1,9.0,1,1,1.103360870216586,1.103360870216586
2016-07-09,air_e657ca554b0c008c,0,0,1,0,0,0,0,0.898612369468446,0.8166039826572076,0.0,0.09619826504145618,0.885980681044247,1,38.0,1,1,1.4218978324736231,1.4218978324736231
2016-07-10,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.174600591685794,1.0297952041616187,0.0,0.5309104249044675,1.271621151972715,1,44.0,1,1,-0.42633415378873457,-0.42633415378873457
2016-07-12,air_e657ca554b0c008c,0,0,0,0,0,1,0,1.1427557968145616,1.0617738873872806,0.0,-0.6373785047273756,1.2403530056812175,1,9.0,1,1,-0.6882600414018426,-0.6882600414018426
2016-07-13,air_e657ca554b0c008c,0,0,0,0,0,0,1,0.962301959210911,0.6993488108297816,0.0,-1.3709552744962072,1.1673939976677237,1,11.0,1,1,-0.6113168202308688,-0.6113168202308688
2016-07-14,air_e657ca554b0c008c,0,0,0,0,1,0,0,1.174600591685794,1.1790290592147066,0.0,0.3135543449729618,1.198662143959221,1,8.0,1,1,-0.38168316533718494,-0.38168316533718494
2016-07-15,air_e657ca554b0c008c,1,0,0,0,0,0,0,0.898612369468446,0.7206679329802227,0.0,-0.6645480147188138,1.0318986970712347,1,35.0,1,1,0.8777139107203621,0.8777139107203621
2016-07-16,air_e657ca554b0c008c,0,0,1,0,0,0,0,0.8879974378447021,0.7206679329802227,0.0,-0.36568340481299344,0.8338671038917513,1,25.0,1,1,1.3593067147335045,1.3593067147335045
2016-07-17,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.0896811386958407,1.0191356430863985,0.0,0.476571404921591,1.0944349896542298,1,7.0,1,1,0.37459295156093686,0.37459295156093686
2016-07-18,air_e657ca554b0c008c,0,1,0,0,0,0,0,1.1002960703195852,1.0297952041616187,1.0,1.2101481746904228,1.0006305507797373,1,24.0,1,1,-1.2487894142846887,-1.2487894142846887
2016-07-20,air_e657ca554b0c008c,0,0,0,0,0,0,1,1.1852155233095385,1.2216673035155894,0.0,0.8841140547931644,1.198662143959221,1,13.0,1,1,-0.550320380649734,-0.550320380649734
2016-07-21,air_e657ca554b0c008c,0,0,0,0,1,0,0,1.153370728438306,1.200348181365148,0.0,1.9437249444592541,1.1048577050847288,1,17.0,1,1,-0.31550402173935244,-0.31550402173935244
2016-07-22,air_e657ca554b0c008c,1,0,0,0,0,0,0,1.1215259335670733,1.1896886202899273,0.0,0.8297750348102877,1.0318986970712347,1,18.0,1,1,0.9454877324771784,0.9454877324771784
2016-07-23,air_e657ca554b0c008c,0,0,1,0,0,0,0,1.2064453865570266,1.2110077424403687,0.0,1.6176908245619959,1.1361258513762262,1,41.0,1,1,1.2815661544830386,1.2815661544830386
2016-07-24,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.1958304549332823,1.0830930095377216,0.0,-0.8003955646760048,1.2403530056812175,1,18.0,1,1,-0.6180942024065503,-0.6180942024065503
2016-07-26,air_e657ca554b0c008c,0,0,0,0,0,1,0,1.174600591685794,1.0724334484625013,0.0,-0.3385138948215553,1.2924665828337132,1,11.0,1,1,-0.5248055301059913,-0.5248055301059913
2016-07-27,air_e657ca554b0c008c,0,0,0,0,0,0,1,1.2382901814282592,1.1896886202899273,0.0,0.9656225847674788,1.282043867403214,1,25.0,1,1,-0.3083279700239248,-0.3083279700239248
2016-07-28,air_e657ca554b0c008c,0,0,0,0,1,0,0,1.301979771170724,1.2749651088916922,0.0,1.2101481746904228,1.3341574445557096,1,15.0,1,1,-0.06872757663659157,-0.06872757663659157
2016-07-29,air_e657ca554b0c008c,1,0,0,0,0,0,0,1.3338245660419563,1.3176033531925744,0.0,1.3188262146561756,1.3133120136947114,1,28.0,1,1,1.2078122896300325,1.2078122896300325
2016-07-30,air_e657ca554b0c008c,0,0,1,0,0,0,0,1.3338245660419563,1.3176033531925744,0.0,1.5905213145705577,1.271621151972715,1,52.0,1,1,1.3337918641897617,1.3337918641897617
2016-07-31,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.2807499079232356,1.381560719643898,0.0,0.6124189548787821,1.3341574445557096,1,44.0,1,1,-0.5702538576370328,-0.5702538576370328
2016-08-02,air_e657ca554b0c008c,0,0,0,0,0,1,0,1.3338245660419563,1.4028798417943384,0.0,0.5037409149130293,1.2924665828337132,1,13.0,1,1,-0.982079492194629,-0.982079492194629
2016-08-03,air_e657ca554b0c008c,0,0,0,0,0,0,1,1.3125947027944682,1.381560719643898,0.0,0.34072385496439994,1.3341574445557096,1,34.0,1,1,-0.5016826968007245,-0.5016826968007245
2016-08-04,air_e657ca554b0c008c,0,0,0,0,1,0,0,1.323209634418212,1.4455180860952206,0.0,1.6176908245619959,1.2403530056812175,1,13.0,1,1,-0.3657363837473458,-0.3657363837473458
2016-08-05,air_e657ca554b0c008c,1,0,0,0,0,0,0,1.3868992241606772,1.4455180860952206,0.0,1.8350469044935016,1.2924665828337132,1,13.0,1,1,0.7620997441940283,0.7620997441940283
2016-08-06,air_e657ca554b0c008c,0,0,1,0,0,0,0,1.3975141557844215,1.4774967693208827,0.0,1.1829786646989846,1.3341574445557096,1,19.0,1,1,0.50216720427965,0.50216720427965
2016-08-07,air_e657ca554b0c008c,0,0,0,1,0,0,0,1.4081290874081653,1.466837208245662,0.0,1.0743006247332316,1.3758483062777065,1,16.0,1,1,-0.7819473832421476,-0.7819473832421476
2016-08-09,air_e657ca554b0c008c,0,0,0,0,0,1,0,1.4505888139031422,1.5734328189978677,0.0,0.9384530747760406,1.3028892982642126,1,26.0,1,1,-0.4478623089350174,-0.4478623089350174
