visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-07-01,air_229d7e508d9f1b5e,1,0,0,0,0,0,0,1.086499005248362,1.2165110350934132,0.0,-0.6346811427166503,1.0034142275722402,1,23.0,1,1,1.306154252937117,1.306154252937117
2016-07-02,air_229d7e508d9f1b5e,0,0,1,0,0,0,0,1.2088334764178774,1.3387803206981796,0.0,-0.12299017378716105,1.1498270270251507,1,35.0,1,1,1.4826348573371384,1.4826348573371384
2016-07-03,air_229d7e508d9f1b5e,0,0,0,1,0,0,0,1.5758368899264243,1.8056266839163786,0.0,0.3617696915144602,1.254407598062944,1,5.0,1,1,-0.7208394832459023,-0.7208394832459023
2016-07-05,air_229d7e508d9f1b5e,0,0,0,0,0,1,0,0.6194037516920298,0.5273568798665472,0.0,-1.38875204429695,0.8047111426004325,1,11.0,1,1,-0.83694514403539,-0.83694514403539
2016-07-06,air_229d7e508d9f1b5e,0,0,0,0,0,0,1,0.8418300629093309,0.8385877886786801,0.0,-0.9039921789953288,0.8465433710155501,1,15.0,1,1,-0.3269246413673859,-0.3269246413673859
2016-07-07,air_229d7e508d9f1b5e,0,0,0,0,1,0,0,1.297804000904798,1.8945498007198456,0.0,1.3851516293734387,1.0034142275722402,1,13.0,1,1,-0.401232264272658,-0.401232264272658
2016-07-08,air_229d7e508d9f1b5e,1,0,0,0,0,0,0,1.0531350585657668,1.116472528689513,0.0,-0.8231988681117252,1.0243303417797986,1,17.0,1,1,1.0773205505811088,1.0773205505811088
2016-07-09,air_229d7e508d9f1b5e,0,0,1,0,0,0,0,0.7194955917398151,0.438433763063081,0.0,-1.38875204429695,0.8674594852231087,1,28.0,1,1,1.4146602704749294,1.4146602704749294
2016-07-10,air_229d7e508d9f1b5e,0,0,0,1,0,0,0,1.1309842674918222,1.3387803206981796,0.0,1.627531562024249,0.8360853139117707,1,20.0,1,1,-0.5426700692343975,-0.5426700692343975
2016-07-12,air_229d7e508d9f1b5e,0,0,0,0,0,1,0,1.2866826853439333,1.361011099899046,0.0,0.6310807277931387,1.2648656551667234,1,12.0,1,1,-0.8200570479205554,-0.8200570479205554
2016-07-13,air_229d7e508d9f1b5e,0,0,0,0,0,0,1,1.0531350585657668,0.760780061475647,0.0,-1.38875204429695,1.223033426751606,1,13.0,1,1,-0.7385719841664786,-0.7385719841664786
2016-07-14,air_229d7e508d9f1b5e,0,0,0,0,1,0,0,1.075377689687497,1.4832803855038126,0.0,-0.23071458829863253,1.0034142275722402,1,17.0,1,1,-0.49538340011286075,-0.49538340011286075
2016-07-15,air_229d7e508d9f1b5e,1,0,0,0,0,0,0,0.70837427617895,0.33839525665918097,0.0,-1.38875204429695,0.9929561704684606,1,29.0,1,1,0.8383539905561995,0.8383539905561995
2016-07-16,air_229d7e508d9f1b5e,0,0,1,0,0,0,0,0.9196792718353862,0.7718954510760805,0.0,-1.1463721116461394,0.9092917136382259,1,12.0,1,1,1.3483744932242037,1.3483744932242037
2016-07-17,air_229d7e508d9f1b5e,0,0,0,1,0,0,0,1.1643482141744175,0.9830878534843133,0.0,-1.254096526157611,1.2021173125440474,1,16.0,1,1,0.30553455813316877,0.30553455813316877
2016-07-19,air_229d7e508d9f1b5e,0,0,0,0,0,1,0,1.3311679475873932,1.3165495414973127,0.0,0.06552755160791396,1.3066978835818408,1,17.0,1,1,-1.216082901813426,-1.216082901813426
