visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Kita-ku Ōjihonchō,total_area_visitors,total_genre_visitors
2016-01-08,air_26c5bbeb7bb82bf1,1,0,0,0,0,0,0,-1.0188667498302033,-1.0639816044625023,0.0,0.8250409934330014,-0.9568293094588771,1,29.0,1,1,-1.0037523486879456,-1.0037523486879456
2016-01-09,air_26c5bbeb7bb82bf1,0,0,1,0,0,0,0,-0.9552283104006913,-0.9754973228818671,0.0,0.8745777706858738,-0.9932020430271012,1,25.0,1,1,-0.7465669910291819,-0.7465669910291819
2016-01-10,air_26c5bbeb7bb82bf1,0,0,0,1,0,0,0,-0.878862183085277,-0.8111693713749727,0.0,0.9241145479387458,-1.0416990211180668,1,35.0,1,1,-1.0312898771602494,-1.0312898771602492
2016-01-12,air_26c5bbeb7bb82bf1,0,0,0,0,0,1,0,-1.4516081379508838,-1.6707309638725736,0.0,-1.3298088170669367,-1.2235626889591877,1,14.0,1,1,-1.4453633557483767,-1.4453633557483767
2016-01-13,air_26c5bbeb7bb82bf1,0,0,0,0,0,0,1,-1.3370589469777627,-1.2156689443150204,0.0,0.8250409934330014,-1.4417990903685327,1,19.0,1,1,-1.2422425035306497,-1.2422425035306497
2016-01-14,air_26c5bbeb7bb82bf1,0,0,0,0,1,0,0,-1.1206882529174222,-1.00077854619062,0.0,0.9241145479387458,-1.3084324006183774,1,16.0,1,1,-1.150029678829816,-1.150029678829816
2016-01-15,air_26c5bbeb7bb82bf1,1,0,0,0,0,0,0,-1.1715990044610316,-1.0639816044625023,0.0,0.676430661674385,-1.0901959992090324,1,20.0,1,1,-0.8751596698585637,-0.8751596698585636
2016-01-16,air_26c5bbeb7bb82bf1,0,0,1,0,0,0,0,-1.0570498134879103,-0.9502160995731139,0.0,0.9241145479387458,-1.114444488254515,1,33.0,1,1,-0.7283770639649079,-0.7283770639649078
2016-01-17,air_26c5bbeb7bb82bf1,0,0,0,1,0,0,0,-1.146143628689227,-1.3547156725131615,0.0,-0.5619887696474184,-1.0538232656408082,1,35.0,1,1,-1.328392019210059,-1.3283920192100587
2016-01-19,air_26c5bbeb7bb82bf1,0,0,0,0,0,1,0,-1.2352374438905436,-1.3547156725131615,0.0,0.9241145479387458,-1.2235626889591877,1,15.0,1,1,-1.3751300262502075,-1.3751300262502073
2016-01-20,air_26c5bbeb7bb82bf1,0,0,0,0,0,0,1,-1.3625143227495673,-1.2915126142412792,0.0,0.9488829365651817,-1.4175506013230499,1,21.0,1,1,-1.2508321913110014,-1.2508321913110014
2016-01-21,air_26c5bbeb7bb82bf1,0,0,0,0,1,0,0,-1.1970543802328364,-1.240950167623773,0.0,0.5030519412893327,-1.2114384444364463,1,17.0,1,1,-1.1295660108825079,-1.1295660108825076
2016-01-22,air_26c5bbeb7bb82bf1,1,0,0,0,0,0,0,-1.146143628689227,-1.1398252743887611,0.0,0.676430661674385,-0.9689535539816185,1,18.0,1,1,-0.8231162674246686,-0.8231162674246685
2016-01-23,air_26c5bbeb7bb82bf1,0,0,1,0,0,0,0,-1.387969698521372,-1.632809128909444,0.0,-1.2802720398140646,-1.0174505320725842,1,30.0,1,1,-0.7503565591675724,-0.7503565591675723
2016-01-24,air_26c5bbeb7bb82bf1,0,0,0,1,0,0,0,-1.4643358258367865,-1.2788720025869027,0.0,0.8993461593123098,-1.4781718239367567,1,41.0,1,1,-1.4428369769894498,-1.4428369769894496
