visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_aed3a8b49abe4a48,1,0,0,0,0,0,0,0.9880239550126162,0.9934235602893777,0.0,0.8833222429440498,0.959840570040044,1,13.0,1,1,1.4335281496112742,1.4335281496112742
2016-07-02,air_aed3a8b49abe4a48,0,0,1,0,0,0,0,1.2022296905167065,1.226240558419405,0.0,1.6884827095934765,1.1089601602068806,1,14.0,1,1,1.5955255181752714,1.5955255181752714
2016-07-03,air_aed3a8b49abe4a48,0,0,0,1,0,0,0,1.2343605508423199,1.1553832111624398,0.0,1.339579840712058,1.2900339482666106,1,5.0,1,1,-0.42711626779482925,-0.42711626779482925
2016-07-04,air_aed3a8b49abe4a48,0,1,0,0,0,0,0,1.2664914111679333,1.2363630365989715,0.0,1.124870382938878,1.2687311496713483,1,14.0,1,1,-1.213074792789534,-1.213074792789534
2016-07-05,air_aed3a8b49abe4a48,0,0,0,0,0,1,0,1.2664914111679333,1.4084451656516002,0.0,1.5811279807068863,1.2048227538855611,1,13.0,1,1,-0.5336934839553538,-0.5336934839553538
2016-07-06,air_aed3a8b49abe4a48,0,0,0,0,0,0,1,1.1700988301910928,1.1047708202646078,0.0,1.1785477473821728,1.1728685559926675,1,16.0,1,1,-0.06552883987566772,-0.06552883987566772
2016-07-07,air_aed3a8b49abe4a48,0,0,0,0,1,0,0,1.2343605508423199,1.246485514778538,0.0,1.5006119340419433,1.2261255524808232,1,14.0,1,1,-0.13373825821840346,-0.13373825821840346
2016-07-08,air_aed3a8b49abe4a48,1,0,0,0,0,0,0,0.9558930946870026,0.8010964748776157,0.0,-1.505320474782583,0.9065835735518881,1,14.0,1,1,1.223474145396713,1.223474145396713
2016-07-09,air_aed3a8b49abe4a48,0,0,1,0,0,0,0,0.6667153517564809,0.4771771731314905,0.0,-1.2100949703444597,0.7574639833850519,1,12.0,1,1,1.5331294025322006,1.5331294025322006
2016-07-10,air_aed3a8b49abe4a48,0,0,0,1,0,0,0,1.0737062492142524,1.0237909948280768,0.0,0.48074200961933644,1.0557031637187249,1,7.0,1,1,-0.2635686851775879,-0.2635686851775879
2016-07-11,air_aed3a8b49abe4a48,0,1,0,0,0,0,0,1.148678256640684,1.145260732982874,0.0,0.024484411851327912,1.1941713545879298,1,13.0,1,1,-1.2646194100598969,-1.2646194100598969
2016-07-12,air_aed3a8b49abe4a48,0,0,0,0,0,1,0,1.0951268227646613,0.912443734852846,0.0,-1.2637723347877547,1.2048227538855611,1,11.0,1,1,-0.5181913434229138,-0.5181913434229138
2016-07-13,air_aed3a8b49abe4a48,0,0,0,0,0,0,1,1.0629959624390477,0.7707290403389163,0.0,-1.4784817925609355,1.2048227538855611,1,12.0,1,1,-0.44339351535389115,-0.44339351535389115
