visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Toshima-ku Higashiikebukuro,total_area_visitors,total_genre_visitors
2016-01-04,air_b1d822f75c9fc615,0,1,0,0,0,0,0,-0.7550908950454159,-0.5631501624904641,0.0,0.8952853933624816,-0.8459907025975723,1,8.0,1,1,-1.494243405124741,-1.494243405124741
2016-01-05,air_b1d822f75c9fc615,0,0,0,0,0,1,0,-0.5416355773819429,-0.5381904294542048,0.0,0.770711764089414,-0.7619610265797799,1,15.0,1,1,-1.363783196353125,-1.3637831963531253
2016-01-06,air_b1d822f75c9fc615,0,0,0,0,0,0,1,-0.7927594805154404,-1.0498649566975182,0.0,-1.3221252076981211,-0.5218762379575158,1,23.0,1,1,-1.2994431713643944,-1.2994431713643946
2016-01-07,air_b1d822f75c9fc615,0,0,0,0,1,0,0,-0.8178718708287902,-0.8501870924074447,0.0,-0.12621836667667258,-0.8339864631664591,1,10.0,1,1,-1.230016978392365,-1.2300169783923651
2016-01-08,air_b1d822f75c9fc615,1,0,0,0,0,0,0,-1.056439578805613,-1.0997844227700366,0.0,0.8454559416532542,-1.002045815202044,1,5.0,1,1,-0.8945841998938049,-0.894584199893805
2016-01-09,air_b1d822f75c9fc615,0,0,1,0,0,0,0,-0.9936586030222384,-1.0124253571431296,0.0,0.8952853933624816,-1.0380585334953836,1,16.0,1,1,-0.6356982495438926,-0.6356982495438929
2016-01-10,air_b1d822f75c9fc615,0,0,0,1,0,0,0,-0.9183214320821891,-0.8501870924074447,0.0,0.9451148450717084,-1.0860754912198365,1,24.0,1,1,-0.9223038154027837,-0.9223038154027838
2016-01-11,air_b1d822f75c9fc615,0,1,0,0,0,0,0,-1.0187709933355882,-1.149703888842555,1.0,-0.49993925449587523,-0.9180161391842515,1,18.0,1,1,-1.2852019010111577,-1.2852019010111577
2016-01-12,air_b1d822f75c9fc615,0,0,0,0,0,1,0,-1.4833502141325583,-1.6988180156402575,0.0,-1.3221252076981211,-1.2661390826865344,1,16.0,1,1,-1.3391152816341256,-1.3391152816341256
2016-01-13,air_b1d822f75c9fc615,0,0,0,0,0,0,1,-1.3703444577224846,-1.249542820987592,0.0,0.8454559416532542,-1.4822153924465722,1,9.0,1,1,-1.1346513287055113,-1.1346513287055113
2016-01-14,air_b1d822f75c9fc615,0,0,0,0,1,0,0,-1.1568891400590118,-1.0373850901793886,0.0,0.9451148450717084,-1.350168758704327,1,9.0,1,1,-1.041828763010307,-1.0418287630103071
2016-01-15,air_b1d822f75c9fc615,1,0,0,0,0,0,0,-1.2071139206857113,-1.0997844227700366,0.0,0.6959675865255732,-1.1340924489442892,1,12.0,1,1,-0.7651412247188487,-0.7651412247188489
