visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-07-07,air_5cb030b9f0b91537,0,0,0,0,1,0,0,1.2957356264204314,1.8765139769625014,0.0,2.0590695532193473,1.0184062083636065,1,5.0,1,1,-0.1878180372865316,-0.1878180372865316
2016-07-08,air_5cb030b9f0b91537,1,0,0,0,0,0,0,1.0529192997398042,1.0740407773068867,0.0,-0.7676063138348955,1.0403621792945996,1,11.0,1,1,1.100602661200116,1.100602661200116
2016-07-09,air_5cb030b9f0b91537,0,0,1,0,0,0,0,0.7176015152760806,0.5041685050876821,0.0,-1.3223744746586255,0.8427584409156634,1,15.0,1,1,1.394562723476196,1.394562723476196
2016-07-10,air_5cb030b9f0b91537,0,0,0,1,0,0,0,1.0876073464084655,1.2484914728841943,0.0,1.7684767070735836,0.8317804554501668,1,35.0,1,1,-0.3110678756626101,-0.3110678756626101
2016-07-11,air_5cb030b9f0b91537,0,1,0,0,0,0,0,1.3651117197577536,1.5043524930642451,0.0,1.979816958815957,1.0623181502255925,1,12.0,1,1,-1.2613793160369708,-1.2613793160369708
2016-07-12,air_5cb030b9f0b91537,0,0,0,0,0,1,0,1.2610475797517706,1.3066417047432968,0.0,0.34193000781256416,1.314811815932011,1,5.0,1,1,-0.5527847228658447,-0.5527847228658447
2016-07-13,air_5cb030b9f0b91537,0,0,0,0,0,0,1,1.0297939352940304,0.8181797571268359,0.0,-1.3223744746586255,1.1940539758115498,1,10.0,1,1,-0.4817780995626114,-0.4817780995626114
2016-07-14,air_5cb030b9f0b91537,0,0,0,0,1,0,0,1.1222953930771262,1.434572214833322,0.0,-0.29209074741455565,0.952538295570628,1,11.0,1,1,-0.2698619595488167,-0.2698619595488167
2016-07-15,air_5cb030b9f0b91537,1,0,0,0,0,0,0,0.6944761508303067,0.39949808774129775,0.0,-1.3223744746586255,0.9196043391741385,1,11.0,1,1,0.8923656208393387,0.8923656208393387
2016-07-16,air_5cb030b9f0b91537,0,0,1,0,0,0,0,0.9141671130651603,0.8298098034986562,0.0,-0.8996939711738787,0.8208024699846705,1,14.0,1,1,1.3368008589238247,1.3368008589238247
