visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-01-05,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-0.49318591584632177,-0.49387687762744703,0.0,0.7931577015071652,-0.7080728162554052,1,16.0,1,1,-1.3482934792390207,-1.3482934792390204
2016-01-06,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-0.7439655471443405,-1.0087832425777112,0.0,-1.260454584811345,-0.4698501809247693,1,21.0,1,1,-1.2796114109552428,-1.2796114109552426
2016-01-07,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-0.7690435102741425,-0.8078441733288277,0.0,-0.08696184977219644,-0.7795396068545959,1,7.0,1,1,-1.2054999301589135,-1.205499930158913
2016-01-08,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-1.0072841600072604,-1.0590180098899322,0.0,0.8665009974471117,-0.9462954515860411,1,12.0,1,1,-0.8474301749561353,-0.847430174956135
2016-01-09,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-0.9445892521827556,-0.9711071670935458,0.0,0.9153965280737433,-0.9820288468856363,1,4.0,1,1,-0.5710730780672586,-0.5710730780672585
2016-01-12,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.4336095332138923,-1.6618352176365834,0.0,-1.260454584811345,-1.2083403504497405,1,14.0,1,1,-1.3219608285531455,-1.321960828553145
2016-01-13,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.320758699129784,-1.2097223118265952,0.0,0.8665009974471117,-1.4227407222473127,1,9.0,1,1,-1.103698445548571,-1.1036984455485706
2016-01-14,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-1.1075960125264679,-0.9962245507496562,0.0,0.9642920587003743,-1.291718272815463,1,9.0,1,1,-1.0046116671945042,-1.004611667194504
2016-01-15,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-1.1577519387860715,-1.0590180098899322,0.0,0.7198144055672183,-1.0773179010178908,1,17.0,1,1,-0.7092516265116969,-0.7092516265116967
2016-01-16,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-1.0449011047019632,-0.9459897834374352,0.0,0.9642920587003743,-1.1011401645509542,1,7.0,1,1,-0.5515271930220729,-0.5515271930220726
2016-01-18,air_5f3a3ef4cba110a4,0,1,0,0,0,0,0,-1.508843422603298,-1.6492765258085282,0.0,-0.9181858704249267,-1.291718272815463,1,14.0,1,1,-1.4992311470879551,-1.499231147087955
2016-01-19,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.2204468466105762,-1.3478679219352026,0.0,0.9642920587003743,-1.2083403504497405,1,32.0,1,1,-1.246491994628678,-1.2464919946286779
2016-01-20,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.3458366622595856,-1.2850744627949264,0.0,0.9887398240136898,-1.3989184587142491,1,16.0,1,1,-1.1129284468199088,-1.1129284468199083
2016-01-21,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-1.1828299019158734,-1.2348396954827054,0.0,0.5486800483740093,-1.1964292186832086,1,10.0,1,1,-0.9826225465186702,-0.9826225465186699
2016-01-22,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-1.1326739756562698,-1.1343701608582637,0.0,0.7198144055672183,-0.9582065833525728,1,26.0,1,1,-0.6533286776324154,-0.6533286776324152
2016-01-23,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-1.3709146253893876,-1.6241591421524175,0.0,-1.2115590541847139,-1.0058511104187,1,1.0,1,1,-0.5751451374516724,-0.5751451374516722
2016-01-25,air_5f3a3ef4cba110a4,0,1,0,0,0,0,0,-1.4963044410383968,-1.372985305591313,0.0,1.0865308852669522,-1.6252299622783533,1,14.0,1,1,-1.3455787729827449,-1.3455787729827446
2016-01-26,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.3834536069542887,-1.2222810036546503,0.0,0.8420532321337962,-1.47038524931344,1,38.0,1,1,-1.161250218181618,-1.1612502181816176
2016-01-27,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.069979067831765,-0.7450507141885516,0.0,1.0376353546403212,-1.4465629857803763,1,38.0,1,1,-0.9994537253075801,-0.9994537253075799
2016-01-28,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-0.881894344358251,-0.6696985632202203,0.0,1.0376353546403212,-1.065406769251359,1,17.0,1,1,-1.005426079071387,-1.0054260790713867
2016-01-29,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-1.1828299019158734,-1.4483374565596443,0.0,-1.260454584811345,-1.0058511104187,1,26.0,1,1,-0.8528595874686868,-0.8528595874686866
2016-02-01,air_5f3a3ef4cba110a4,0,1,0,0,0,0,0,-1.2706027728701799,-1.586483066668252,0.0,-1.260454584811345,-1.0058511104187,1,17.0,1,1,-1.3947149562213368,-1.3947149562213366
2016-02-02,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.1075960125264679,-1.084135393546043,0.0,0.8176054668204807,-1.0058511104187,1,23.0,1,1,-1.2367190521060851,-1.236719052106085
2016-02-03,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.2329858281754773,-1.2725157709668713,0.0,0.4753367524340623,-1.1368735598505497,1,46.0,1,1,-1.1569066881715766,-1.1569066881715764
2016-02-04,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-1.2204468466105762,-1.2348396954827054,0.0,0.18196356867427527,-1.184518086916677,1,11.0,1,1,-1.1167290355786947,-1.1167290355786945
2016-02-05,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-0.9195112890529538,-0.7576094060166068,0.0,0.9398442933870588,-1.2440737457493358,1,27.0,1,1,-0.7176672159061519,-0.7176672159061517
2016-02-06,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-1.019823141572161,-1.1846049281704845,0.0,-1.015976931678189,-0.7914507386211277,1,12.0,1,1,-0.4795874772307641,-0.47958747723076395
2016-02-08,air_5f3a3ef4cba110a4,0,1,0,0,0,0,0,-1.3082197175648829,-1.259957079138816,0.0,0.0841725074210128,-1.1606958233836133,1,13.0,1,1,-1.3398778898445656,-1.3398778898445654
2016-02-09,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.0323621231370623,-0.5817877204238338,0.0,0.8420532321337962,-1.2440737457493358,1,18.0,1,1,-1.107499034307357,-1.1074990343073567
2016-02-10,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.1075960125264679,-1.0715767017179876,0.0,1.1598741812068993,-1.124962428084018,1,17.0,1,1,-0.7619169278834476,-0.7619169278834473
2016-02-11,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-1.1075960125264679,-0.983665858921601,1.0,1.1598741812068993,-1.1130512963174861,1,1.0,1,1,-0.8401004680641906,-0.8401004680641904
2016-02-12,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-0.9571282337476565,-0.93343109160938,0.0,-0.6737082172917708,-1.1368735598505497,1,13.0,1,1,-0.7801054598004954,-0.7801054598004952
2016-02-13,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-0.1044774873343927,0.30987939936808756,0.0,-0.13585738039882767,-0.32691659972638765,1,2.0,1,1,-0.5775883730823206,-0.5775883730823204
2016-02-15,air_5f3a3ef4cba110a4,0,1,0,0,0,0,0,-0.8442773996635481,-0.4813181857993919,0.0,-1.1626635235580827,-0.9343843198195092,1,12.0,1,1,-1.3436784786033518,-1.3436784786033515
2016-02-16,air_5f3a3ef4cba110a4,0,0,0,0,0,1,0,-1.1577519387860715,-1.1720462363424293,0.0,1.0376353546403212,-1.1726069551501452,1,9.0,1,1,-1.1723805138323486,-1.1723805138323484
2016-02-17,air_5f3a3ef4cba110a4,0,0,0,0,0,0,1,-1.0825180493966657,-0.7450507141885516,0.0,0.8176054668204807,-1.1606958233836133,1,18.0,1,1,-0.9921240184156355,-0.9921240184156352
2016-02-18,air_5f3a3ef4cba110a4,0,0,0,0,1,0,0,-1.0825180493966657,-1.084135393546043,0.0,0.40199345649411555,-1.184518086916677,1,19.0,1,1,-1.0024399021894834,-1.0024399021894832
2016-02-19,air_5f3a3ef4cba110a4,1,0,0,0,0,0,0,-0.6436536946251331,-0.3557312675188396,0.0,1.0131875893270057,-1.0296733739517636,1,21.0,1,1,-0.662015737652498,-0.6620157376524978
2016-02-20,air_5f3a3ef4cba110a4,0,0,1,0,0,0,0,-0.856816381228449,-1.0213419344057668,0.0,-1.1137679929314517,-0.54131697152396,1,5.0,1,1,-0.6983928014865938,-0.6983928014865936
